timestamp,run_id,command,cv_scheme,model,local_macro_f1,local_weighted_f1,submission_path,online_score,notes
2026-05-01T23:30:00+08:00,groupcv_blend_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_groupcv_candidates.py","5-fold GroupKFold by exact feature combo","0.4*rf + 0.1*lgbm + 0.5*xgb, class weights [1.0,0.95,1.05]",0.7385682761,,"work/data_security/powershell_malicious_script_detection/submissions/submission_groupcv_blend_v1.csv",,"Best macro F1 on exact-combo GroupKFold."
2026-05-01T23:30:00+08:00,groupcv_compromise_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_groupcv_candidates.py","group-by-combo + density-top compromise","0.7*groupcv_best + 0.3*old density-top blend, class weights [1.0,0.95,1.125]",0.7371982002,,"work/data_security/powershell_malicious_script_detection/submissions/submission_groupcv_compromise_v1.csv",,"Best average across GroupKFold and density-top proxies."
2026-05-01T23:30:00+08:00,groupcv_equal_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_groupcv_candidates.py","5-fold GroupKFold by exact feature combo","mean(rf,lgbm,xgb), class weights [1.0,0.85,0.95]",0.7380387350,,"work/data_security/powershell_malicious_script_detection/submissions/submission_groupcv_equal_v1.csv",,"Simple strong ensemble close to the best GroupKFold score."
2026-05-01T23:50:00+08:00,groupcv_compromise_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_groupcv_compromise_v1.csv",0.69438,"Lower than the first blend score 0.69678. Increasing class 2 again did not help online."
2026-05-02T00:15:00+08:00,seen_exact_mode_group_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_seen_exact_candidates.py","10 stratified shuffle pseudo-tests for ranking only","Seen exact combo posterior without smoothing or class weights; unseen 1089 rows fallback = 0.4*rf + 0.1*lgbm + 0.5*xgb",0.745633,,"work/data_security/powershell_malicious_script_detection/submissions/submission_seen_exact_mode_group_v1.csv",,"Proxy std 0.002119. Test prediction counts: 0=13223,1=3377,2=3400. Recommended next submit."
2026-05-02T00:15:00+08:00,seen_exact_s0_w120080090_group_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_seen_exact_candidates.py","10 stratified shuffle pseudo-tests for ranking only","Seen exact combo posterior no smoothing, class weights [1.2,0.8,0.9]; unseen fallback = group blend",0.739522,,"work/data_security/powershell_malicious_script_detection/submissions/submission_seen_exact_s0_w120080090_group_v1.csv",,"Proxy std 0.002922. Test prediction counts: 0=13655,1=3091,2=3254."
2026-05-02T00:15:00+08:00,seen_exact_s1_w120080090_group_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_seen_exact_candidates.py","10 stratified shuffle pseudo-tests for ranking only","Seen exact combo posterior smoothing=1, class weights [1.2,0.8,0.9]; unseen fallback = group blend",0.738858,,"work/data_security/powershell_malicious_script_detection/submissions/submission_seen_exact_s1_w120080090_group_v1.csv",,"Proxy std 0.002795. Test prediction counts: 0=13809,1=3085,2=3106."
2026-05-02T00:20:00+08:00,seen_exact_proxy_validation,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\validate_seen_exact_proxy.py","10 stratified shuffle pseudo-tests, test_size=20000","Reproducible proxy validation for seen-exact candidate ranking",0.745633,,"work/data_security/powershell_malicious_script_detection/reports/seen_exact_proxy_validation.csv",,"Best spec is mode_w111. Detailed fold scores saved to seen_exact_proxy_validation_detailed.csv."
2026-05-02T09:10:00+08:00,seen_exact_mode_group_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_seen_exact_mode_group_v1.csv",0.69177,"Lower than blend_v1 and groupcv_compromise. Direct seen-exact replacement is not reliable online."
2026-05-02T09:35:00+08:00,prior_quota_em001_blend_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_prior_quota_candidates.py","test-prior estimation and least-loss quota adjustment","Start from best blend_v1 scores; flip least-loss rows to EM(alpha=0.01) prior 13411/3125/3464",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_prior_quota_em001_blend_v1.csv",,"Diff vs blend_v1: 667. Generated after online failures showed broad replacement strategies hurt."
2026-05-02T09:35:00+08:00,prior_quota_13500_3000_3500_blend_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_prior_quota_candidates.py","name-gap prior + least-loss quota adjustment","Start from best blend_v1 scores; flip least-loss rows to conservative prior 13500/3000/3500",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_prior_quota_13500_3000_3500_blend_v1.csv",,"Diff vs blend_v1: 756. Recommended next submit."
2026-05-02T09:35:00+08:00,prior_quota_missing_14000_2500_3500_blend_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_prior_quota_candidates.py","name-gap prior + least-loss quota adjustment","Start from best blend_v1 scores; flip least-loss rows to inferred missing-id prior 14000/2500/3500",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_prior_quota_missing_14000_2500_3500_blend_v1.csv",,"Diff vs blend_v1: 1256. Higher-upside, higher-risk follow-up if conservative prior improves."
2026-05-02T09:45:00+08:00,mlp_onehot_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_mlp_candidates.py","3-fold StratifiedKFold random CV","OneHotEncoder + StandardScaler + MLPClassifier(128,64)",0.748917,,"work/data_security/powershell_malicious_script_detection/submissions/submission_mlp_onehot_v1.csv",,"Test counts 0=13183,1=3318,2=3499. Diff vs blend_v1: 550."
2026-05-02T09:45:00+08:00,blend_mlp_a020_w100105_v1,"scripts\run_py.cmd work\data_security\powershell_malicious_script_detection\src\generate_mlp_candidates.py","3-fold StratifiedKFold random CV for MLP only","0.8*blend_v1_prob + 0.2*MLP, class weights [1,1,1.05]",0.748917,,"work/data_security/powershell_malicious_script_detection/submissions/submission_blend_mlp_a020_w100105_v1.csv",,"Low-risk neural blend. Test counts 0=12775,1=3403,2=3822. Diff vs blend_v1: 76."
2026-05-02T12:00:00+08:00,prior_quota_13500_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission.csv",0.69772,"This was the short LF copy of the old tree-blend prior quota 13500/3000/3500."
2026-05-02T12:00:00+08:00,mlp_onehot_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_mlp_onehot_v1.csv",0.70201,"New best online score. Confirms independent neural one-hot MLP is currently the strongest direction."
2026-05-02T12:00:00+08:00,blend_mlp_a020_online,,,,,,"work/data_security/powershell_malicious_script_detection/submissions/submission_blend_mlp_a020_w100105_v1.csv",0.69821,"Blending the neural signal into the old tree baseline diluted the MLP advantage."
2026-05-02T12:25:00+08:00,mlp_quota_13500_3000_3500_v1,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\generate_mlp_refine_candidates.py","online-guided neural refinement","sklearn MLP one-hot proba adjusted by least-loss quota to 13500/3000/3500",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_mlp_quota_13500_3000_3500_v1.csv",,"Short copy now at submissions/submission.csv. Diff vs online-best MLP: 318. Counts 0=13500,1=3000,2=3500."
2026-05-02T12:45:00+08:00,torch_onehot_mlp_cv_v1,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\train_torch_tabular.py","3-fold StratifiedKFold random CV","PyTorch one-hot MLP CV ensemble",0.751913,,"work/data_security/powershell_malicious_script_detection/submissions/submission_torch_onehot_mlp_cv_v1.csv",,"Counts 0=13272,1=3332,2=3396. Short copy: sub_torch_onehot.csv."
2026-05-02T12:45:00+08:00,torch_emb_res_cv_v1,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\train_torch_tabular.py","3-fold StratifiedKFold random CV","PyTorch embedding residual MLP CV ensemble",0.752688,,"work/data_security/powershell_malicious_script_detection/submissions/submission_torch_emb_res_cv_v1.csv",,"Highest torch OOF. Counts 0=12971,1=3346,2=3683."
2026-05-02T12:45:00+08:00,torch_sklearn_nn_ensemble_v1,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\train_torch_tabular.py","neural ensemble","0.5*torch_nn_ensemble + 0.5*sklearn_mlp_onehot",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_torch_sklearn_nn_ensemble_v1.csv",,"Short copy: sub_torch_nn.csv. Counts 0=13255,1=3320,2=3425. Diff vs online-best MLP: 172."
2026-05-02T13:10:00+08:00,sklearn_mlp_hybrid_v1,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\generate_sklearn_mlp_ensemble.py","multi-seed neural ensemble","0.5*online-best sklearn MLP + 0.5*8-model sklearn MLP ensemble",,,"work/data_security/powershell_malicious_script_detection/submissions/submission_sklearn_mlp_hybrid_v1.csv",,"Recommended next submit. Short copy: sub_sklearn_hybrid.csv. Counts 0=13254,1=3316,2=3430. Diff vs online-best MLP: 159."
2026-05-02T13:20:00+08:00,nn_local1,"inline via scripts\run_torch.cmd","online-best MLP neighborhood","0.65*mlp + 0.35*torch_ensemble, class weights [1.05,0.98,1.02]",,,"work/data_security/powershell_malicious_script_detection/submissions/sub_nn_local1.csv",,"Counts 0=13261,1=3316,2=3423. Diff vs online-best MLP: 158."
2026-05-02T13:20:00+08:00,mlp_w102,"inline via scripts\run_torch.cmd","online-best MLP neighborhood","MLP one-hot proba, class weights [1.02,1,1]",,,"work/data_security/powershell_malicious_script_detection/submissions/sub_mlp_w102.csv",,"Counts 0=13257,1=3318,2=3425. Diff vs online-best MLP: 74."
2026-05-02T14:05:00+08:00,prefix_weighted_torch,"scripts\run_torch.cmd work\data_security\powershell_malicious_script_detection\src\train_prefix_weighted_torch.py","prefix holdout guided training","5-seed prefix-weighted torch one-hot MLP, sample weights exp(-1.5*position), class weights [1.15,0.75,0.95]",,,"work/data_security/powershell_malicious_script_detection/submissions/sub_prefix_weighted_raw.csv",,"Counts 0=13562,1=3253,2=3185. Prefix proxy improved but full-test distribution may be aggressive."
2026-05-02T14:20:00+08:00,mlp_quota_13600_2900_3500_v1,"inline via scripts\run_torch.cmd","prefix holdout quota search","Online-best MLP proba adjusted by least-loss quota to 13600/2900/3500",,,"work/data_security/powershell_malicious_script_detection/submissions/submission.csv",,"Recommended single next submit. Same as submission_mlp_quota_13600_2900_3500_v1.csv. Diff vs online-best MLP: 418. SHA256 BB77C8A70C07DDF4D64B2A83BF68CC2CB126B8A1B624B62D71F9841611AA6E97."
