time,run_id,model,features,seed,local_score,public_score,submission,notes
2026-05-02T00:25:00,raw_xgb_soft_uniform_a1p5,probability_blend+soft_prior,lgbm_base_f5_s42+xgb_base_f5_s42,42,changes_vs_r03=196,0.69266,upload_ready_next/n01_raw_xgb_uniform_a1p5.csv,"public score below r03; stronger uniform prior is not helpful"
2026-05-02T00:26:00,raw_xgb_soft_uniform_a2p0,probability_blend+soft_prior,lgbm_base_f5_s42+xgb_base_f5_s42,42,changes_vs_r03=461,,upload_ready_next/n02_raw_xgb_uniform_a2p0.csv,"stronger uniform-prior candidate"
2026-05-02T00:27:00,raw_xgb_soft_uniform_a1p25,probability_blend+soft_prior,lgbm_base_f5_s42+xgb_base_f5_s42,42,changes_vs_r03=102,,upload_ready_next/n03_raw_xgb_uniform_a1p25.csv,"conservative uniform-prior candidate"
2026-05-02T00:28:00,raw_xgb_cw_soft_uniform_a1p5,probability_blend+soft_prior,lgbm_base+xgb_base+lgbm_class_weight,42,changes_vs_r03=236,,upload_ready_next/n04_raw_xgb_cw_uniform_a1p5.csv,"class-weighted blend with uniform-prior alpha 1.5"
2026-05-02T00:29:00,raw_xgb_cw_rank_soft_uniform_a1p5,probability_blend+soft_prior,lgbm_base+xgb_base+lgbm_class_weight+combined_rank,42,changes_vs_r03=247,,upload_ready_next/n06_raw_xgb_cw_rank_uniform_a1p5.csv,"class-weight and rank diversity blend"
2026-05-02T00:35:00,target_class1_11_high,probability_bias,lgbm_base_f5_s42+xgb_base_f5_s42,42,changes_vs_r03=152,0.69186,upload_ready_next/n13_target_class1_11_high.csv,"public score below r03; targeted class_1/class_11 bias is not helpful"
2026-05-02T00:36:00,target_class1_extreme,probability_bias,lgbm_base_f5_s42+xgb_base_f5_s42,42,changes_vs_r03=198,,upload_ready_next/n14_target_class1_extreme.csv,"stronger class_1-focused targeted bias"
2026-05-02T10:20:00,torch_resnet_raw_rank_dann015_cw_f5_s42,torch_resnet,raw_standard+combined_rank+domain_adversarial+class_weight,42,0.8927968364,,,"PyTorch ResNet with DANN; useful only as small diversity component"
2026-05-02T10:35:00,torch_ft_raw_dann010_cw_f5_s42,torch_fttransformer,raw_standard+domain_adversarial+class_weight,42,0.9011105898,,,"best deep single model at this point"
2026-05-02T11:05:00,pseudo_lgbm_ftblend_t098_w035_f5_s42,pseudo_lgbm,high_conf_test_pseudo_labels_from_lgbm+xgb+ft,42,0.9306613353,,upload_ready_deep/d05_pseudo_lgbm_t098_w035.csv,"9438 pseudo test rows threshold 0.98 weight 0.35"
2026-05-02T11:20:00,blend_raw_xgb_ft_pseudo_45_15_10_30,probability_blend,lgbm+xgb+ft+pseudo_lgbm,42,0.9313339513,,upload_ready_deep/d01_raw_xgb_ft_pseudo.csv,"highest OOF blend; large change from r03"
2026-05-02T11:22:00,blend_raw_xgb_ft_pseudo_uniform_a1,probability_blend+soft_prior,lgbm+xgb+ft+pseudo_lgbm,42,changes_vs_r03=262,0.69616,upload_ready_deep/d02_raw_xgb_ft_pseudo_uniform_a1p0.csv,"public score improves over r03 but still below 0.71522"
2026-05-02T11:45:00,torch_ft_raw_dann030_cw_f5_s43,torch_fttransformer,raw_standard+stronger_domain_adversarial+class_weight,43,0.9012668211,,,"second FT-Transformer with stronger domain adversarial loss"
2026-05-02T11:55:00,blend_raw_xgb_ft2_pseudo_uniform_a1,probability_blend+soft_prior,lgbm+xgb+two_ft+pseudo_lgbm,42/43,changes_vs_r03=318,,upload_ready_deep/d08_raw_xgb_ft2_pseudo_uniform_a1p0.csv,"two-FT deep pseudo blend"
2026-05-02T09:40:00,pseudo_lgbm_ftblend_uniform100_t098_w035_f5_s42,pseudo_lgbm,soft_uniform_source_lgbm+xgb+ft,42,0.9304804945,,,"9260 pseudo rows; source probabilities calibrated with uniform alpha 1.0 before pseudo-labeling"
2026-05-02T09:50:00,pseudo_lgbm_ftblend_uniform075_t098_w035_f5_s42,pseudo_lgbm,soft_uniform_source_lgbm+xgb+ft,42,0.9302880820,,,"9312 pseudo rows; source probabilities calibrated with uniform alpha 0.75 before pseudo-labeling"
2026-05-02T09:35:00,catboost_raw_bal_d6_lr005_f5_s42,catboost,raw_numeric_balanced,42,0.9102305212,,,"CatBoost diversity check; weak single model and not used in final upload"
2026-05-02T09:45:00,pseudo_lgbm_iter2_twoft_uniform100_t097_w045_f5_s42,pseudo_lgbm,iter2_two_ft_soft_uniform_source,42,0.9308982992,,,"10119 pseudo rows; second-generation pseudo-label model"
2026-05-02T09:57:00,m01_proxy_iter2_uniform_a1,probability_blend+soft_prior,lgbm+xgb+two_ft+old_pseudo+uniform_pseudo+iter2_pseudo,42/43,0.9319473752,0.69848,upload_ready_main/m01_proxy_iter2_uniform_a1.csv,"current best public; diff_vs_d02=184; proxy-selected on test-like train subsets; format validated"
2026-05-02T09:57:00,m02_conservative_twoft_uniform_a1,probability_blend+soft_prior,lgbm+xgb+two_ft+uniform_pseudo,42/43,0.9318369336,,upload_ready_main/m02_conservative_twoft_uniform_a1.csv,"backup only; diff_vs_d02=107; format validated"
2026-05-02T10:25:00,target_aug_lgbm_m01_pow2_aug045_t097_w035_f5_s42,target_aug_lgbm,class_conditional_target_moment_aug+pseudo,42,0.9313765419,,,"target-domain feature moment augmentation from m01 probabilities; 9740 pseudo rows"
2026-05-02T10:36:00,target_aug_lgbm_m01_pow1p5_aug060_t095_w045_f5_s42,target_aug_lgbm,class_conditional_target_moment_aug+pseudo,42,0.9316003006,,,"more aggressive target-domain augmentation; 11035 pseudo rows"
2026-05-02T10:42:00,b01_target_aug_high,probability_blend+soft_prior,m01_family+two_target_aug_lgbm,42/43,0.9328080314,0.70584,upload_ready_breakthrough/b01_target_aug_high.csv,"current best public; diff_vs_m01=516; diff_vs_d02=594; proxy dom10=0.920679 dom05=0.923864; format validated"
2026-05-02T10:42:00,b02_target_aug_mid,probability_blend+soft_prior,m01_family+two_target_aug_lgbm,42/43,0.9326931022,,upload_ready_breakthrough/b02_target_aug_mid.csv,"safer target-augmentation candidate; diff_vs_m01=397; diff_vs_d02=480; proxy dom10=0.920850 dom05=0.923325; format validated"
2026-05-02T23:22:00,pseudo_lgbm_iter3_b01_uniform100_t095_w050_f5_s42,pseudo_lgbm,b01_teacher_soft_uniform_source,42,0.9312698260,,,"11928 pseudo rows; third-generation pseudo-label model from b01 teacher"
2026-05-02T23:37:00,target_aug_lgbm_b01_pow1p2_aug080_t093_w055_f5_s42,target_aug_lgbm,b01_teacher_class_conditional_target_aug,42,0.9323161136,,,"12785 pseudo rows; stronger target-domain augmentation from b01 teacher"
2026-05-02T23:40:00,target_aug_lgbm_b01_pow0p8_aug100_t090_w065_f5_s42,target_aug_lgbm,b01_teacher_more_aggressive_target_aug,42,0.9318755648,,,"13670 pseudo rows; over-aggressive variant, only for diversity"
2026-05-02T23:42:00,c01_b01_iter_target_aug_high,probability_blend+soft_prior,b01_family+iter3_pseudo+b01_target_aug,42/43,0.9330872501,0.71035,upload_ready_breakthrough2/c01_b01_iter_target_aug_high.csv,"submitted; diff_vs_b01=408; diff_vs_m01=866; proxy dom10=0.920860 dom05=0.925736; format validated"
2026-05-03T01:25:00,local_cluster_diag_c01_k3_pow1p2_aug075_t093_w055_n700_f5_s42,local_target_aug_lgbm,c01_teacher+class_local_k3_target_aug+pseudo,42,0.9318447231,,,"screening only; target-like proxy top20=0.920422 top30=0.920494 below c01; rejected as standalone"
2026-05-03T01:34:00,target_aug_domain_c01_pow1p2_aug080_t093_w055_g050_n700_f5_s42,target_aug_lgbm,c01_teacher+class_target_aug+domain_focus_g050+pseudo,42,0.9321018054,,,"screening only; domain-focus gamma 0.5 did not beat c01 proxy top20/top30; rejected as standalone"
2026-05-03T01:44:00,lgbm_stable_drop10_smdstd_n700_f5_s42,stable_subset_lgbm,drop_top10_drift_features_smdstd,42,0.9073602925,,,"adversarial feature selection test; removing top drift features destroyed OOF and target-like proxy; rejected"
2026-05-03T02:05:00,c03_c01_target_b01_proxy_reblend,probability_blend+soft_prior,c01_raw_blend_0p60+target_aug_lgbm_b01_pow1p2_0p40,42/43,0.9332779796,0.71059,upload_ready_breakthrough3/c03_c01_target_b01_proxy_reblend.csv,"submitted; adversarial proxy top20=0.925217 top30=0.924993 vs c01 top20=0.923573 top30=0.923755; diff_vs_c01=130; only +0.00024 public over c01, proxy over-optimistic"
2026-05-02T23:42:00,c02_b01_iter_target_aug_safe,probability_blend+soft_prior,b01_family+iter3_pseudo+b01_target_aug,42/43,0.9330908438,,upload_ready_breakthrough2/c02_b01_iter_target_aug_safe.csv,"safer candidate; diff_vs_b01=136; diff_vs_m01=620; proxy dom10=0.920895 dom05=0.925248; format validated"
