binary_id,sid,s15,k,majority,maj_count,counts
BIN_2861522,46573,CWE-676,7,CWE-675,7,"{'CWE-675': 7, 'CWE-676': 7}"
BIN_2861522,46573,CWE-676,11,CWE-675,11,"{'CWE-675': 11, 'CWE-676': 9, 'CWE-680': 2}"
BIN_3049998,506,CWE-126,11,CWE-121,12,"{'CWE-121': 12, 'CWE-126': 10}"
BIN_3124360,28227,CWE-196,11,CWE-197,11,"{'CWE-195': 4, 'CWE-196': 7, 'CWE-197': 11}"
BIN_3180210,41577,CWE-479,11,CWE-478,8,"{'CWE-478': 8, 'CWE-479': 8, 'CWE-480': 6}"
BIN_3588807,4962,CWE-126,3,CWE-122,4,"{'CWE-122': 4, 'CWE-126': 2}"
BIN_3588807,4962,CWE-126,5,CWE-122,7,"{'CWE-122': 7, 'CWE-126': 3}"
BIN_3588807,4962,CWE-126,7,CWE-122,8,"{'CWE-126': 6, 'CWE-122': 8}"
BIN_3588807,4962,CWE-126,11,CWE-122,12,"{'CWE-121': 2, 'CWE-126': 8, 'CWE-122': 12}"
BIN_3786684,4940,CWE-121,3,CWE-126,3,"{'CWE-126': 3, 'CWE-121': 3}"
BIN_3918710,18958,CWE-188,3,CWE-134,3,"{'CWE-134': 3, 'CWE-188': 3}"
BIN_3918710,18958,CWE-188,5,CWE-134,5,"{'CWE-134': 5, 'CWE-188': 5}"
BIN_3918710,18958,CWE-188,7,CWE-134,7,"{'CWE-134': 7, 'CWE-188': 7}"
BIN_3918710,18958,CWE-188,11,CWE-134,11,"{'CWE-134': 11, 'CWE-188': 11}"
BIN_4023229,35296,CWE-397,11,CWE-396,9,"{'CWE-396': 9, 'CWE-397': 8, 'CWE-398': 5}"
BIN_4025173,10855,CWE-126,3,CWE-122,3,"{'CWE-122': 3, 'CWE-126': 3}"
BIN_4025173,10855,CWE-126,11,CWE-122,11,"{'CWE-122': 11, 'CWE-126': 9, 'CWE-123': 2}"
BIN_4135362,40995,CWE-464,3,CWE-459,3,"{'CWE-459': 3, 'CWE-464': 3}"
BIN_4135362,40995,CWE-464,5,CWE-459,5,"{'CWE-459': 5, 'CWE-464': 5}"
BIN_4135362,40995,CWE-464,7,CWE-459,7,"{'CWE-459': 7, 'CWE-464': 7}"
BIN_4135362,40995,CWE-464,11,CWE-459,11,"{'CWE-459': 11, 'CWE-464': 11}"
BIN_4184059,40994,CWE-464,3,CWE-459,3,"{'CWE-459': 3, 'CWE-464': 3}"
BIN_4184059,40994,CWE-464,5,CWE-459,5,"{'CWE-459': 5, 'CWE-464': 5}"
BIN_4184059,40994,CWE-464,7,CWE-459,7,"{'CWE-459': 7, 'CWE-464': 7}"
BIN_4184059,40994,CWE-464,11,CWE-459,11,"{'CWE-459': 11, 'CWE-464': 11}"
BIN_4229523,42482,CWE-571,11,CWE-570,10,"{'CWE-570': 10, 'CWE-571': 8, 'CWE-587': 4}"
BIN_4360396,41586,CWE-479,11,CWE-480,9,"{'CWE-478': 5, 'CWE-479': 8, 'CWE-480': 9}"
BIN_4517610,516,CWE-126,3,CWE-121,3,"{'CWE-121': 3, 'CWE-126': 3}"
BIN_4615687,4970,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_4615687,4970,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_4615687,4970,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_4653141,28213,CWE-196,11,CWE-195,10,"{'CWE-195': 10, 'CWE-196': 7, 'CWE-197': 5}"
BIN_4865561,42497,CWE-587,3,CWE-571,3,"{'CWE-571': 3, 'CWE-587': 3}"
BIN_4865561,42497,CWE-587,5,CWE-571,5,"{'CWE-571': 5, 'CWE-587': 5}"
BIN_4865561,42497,CWE-587,7,CWE-571,7,"{'CWE-571': 7, 'CWE-587': 7}"
BIN_5472113,47238,CWE-685,11,CWE-688,11,"{'CWE-681': 1, 'CWE-685': 10, 'CWE-688': 11}"
BIN_5474899,41589,CWE-480,3,CWE-479,3,"{'CWE-479': 3, 'CWE-480': 3}"
BIN_5474899,41589,CWE-480,5,CWE-479,5,"{'CWE-479': 5, 'CWE-480': 5}"
BIN_5474899,41589,CWE-480,7,CWE-479,7,"{'CWE-479': 7, 'CWE-480': 7}"
BIN_5502682,41571,CWE-479,3,CWE-478,3,"{'CWE-478': 3, 'CWE-479': 3}"
BIN_5502682,41571,CWE-479,5,CWE-478,5,"{'CWE-478': 5, 'CWE-479': 5}"
BIN_5502682,41571,CWE-479,7,CWE-478,7,"{'CWE-478': 7, 'CWE-479': 7}"
BIN_5502682,41571,CWE-479,11,CWE-478,11,"{'CWE-478': 11, 'CWE-479': 8, 'CWE-480': 3}"
BIN_5812351,47239,CWE-688,3,CWE-685,3,"{'CWE-685': 3, 'CWE-688': 3}"
BIN_5812351,47239,CWE-688,5,CWE-685,5,"{'CWE-685': 5, 'CWE-688': 5}"
BIN_5812351,47239,CWE-688,7,CWE-685,7,"{'CWE-685': 7, 'CWE-688': 7}"
BIN_6244783,4961,CWE-126,3,CWE-122,4,"{'CWE-122': 4, 'CWE-126': 2}"
BIN_6244783,4961,CWE-126,5,CWE-122,7,"{'CWE-122': 7, 'CWE-126': 3}"
BIN_6244783,4961,CWE-126,7,CWE-122,8,"{'CWE-126': 6, 'CWE-122': 8}"
BIN_6244783,4961,CWE-126,11,CWE-122,12,"{'CWE-121': 2, 'CWE-126': 8, 'CWE-122': 12}"
BIN_6436285,46579,CWE-676,11,CWE-675,9,"{'CWE-675': 9, 'CWE-676': 9, 'CWE-680': 4}"
BIN_6455415,41585,CWE-479,11,CWE-480,9,"{'CWE-478': 5, 'CWE-479': 8, 'CWE-480': 9}"
BIN_6559975,46580,CWE-676,11,CWE-675,9,"{'CWE-675': 9, 'CWE-676': 9, 'CWE-680': 4}"
BIN_6634258,18995,CWE-190,3,CWE-188,3,"{'CWE-188': 3, 'CWE-190': 3}"
BIN_6634258,18995,CWE-190,5,CWE-188,5,"{'CWE-188': 5, 'CWE-190': 5}"
BIN_6634258,18995,CWE-190,7,CWE-188,7,"{'CWE-188': 7, 'CWE-190': 7}"
BIN_6634258,18995,CWE-190,11,CWE-188,11,"{'CWE-188': 11, 'CWE-190': 11}"
BIN_6848141,22954,CWE-191,3,CWE-190,3,"{'CWE-190': 3, 'CWE-191': 3}"
BIN_6848141,22954,CWE-191,5,CWE-190,5,"{'CWE-190': 5, 'CWE-191': 5}"
BIN_6848141,22954,CWE-191,7,CWE-190,7,"{'CWE-190': 7, 'CWE-191': 7}"
BIN_6848141,22954,CWE-191,11,CWE-190,11,"{'CWE-190': 11, 'CWE-191': 11}"
BIN_7402061,35294,CWE-397,11,CWE-396,9,"{'CWE-396': 9, 'CWE-397': 8, 'CWE-398': 5}"
BIN_7434751,42486,CWE-571,11,CWE-570,9,"{'CWE-570': 9, 'CWE-571': 8, 'CWE-587': 5}"
BIN_7613973,48169,CWE-758,3,CWE-690,3,"{'CWE-690': 3, 'CWE-758': 3}"
BIN_7613973,48169,CWE-758,5,CWE-690,5,"{'CWE-690': 5, 'CWE-758': 5}"
BIN_7613973,48169,CWE-758,7,CWE-690,7,"{'CWE-690': 7, 'CWE-758': 7}"
BIN_7613973,48169,CWE-758,11,CWE-690,11,"{'CWE-690': 11, 'CWE-758': 11}"
BIN_7746098,35299,CWE-397,11,CWE-396,8,"{'CWE-396': 8, 'CWE-397': 8, 'CWE-398': 6}"
BIN_7764839,55977,CWE-835,5,CWE-078,4,"{'CWE-078': 4, 'CWE-835': 4, 'CWE-843': 2}"
BIN_7764839,55977,CWE-835,7,CWE-078,6,"{'CWE-078': 6, 'CWE-835': 4, 'CWE-843': 4}"
BIN_7764839,55977,CWE-835,11,CWE-078,10,"{'CWE-078': 10, 'CWE-835': 4, 'CWE-843': 8}"
BIN_7993862,501,CWE-126,3,CWE-121,3,"{'CWE-121': 3, 'CWE-126': 3}"
BIN_7993862,501,CWE-126,5,CWE-121,5,"{'CWE-121': 5, 'CWE-126': 5}"
BIN_7993862,501,CWE-126,7,CWE-121,8,"{'CWE-121': 8, 'CWE-126': 6}"
BIN_7993862,501,CWE-126,11,CWE-121,14,"{'CWE-121': 14, 'CWE-126': 8}"
BIN_8020251,28222,CWE-196,11,CWE-197,10,"{'CWE-195': 5, 'CWE-196': 7, 'CWE-197': 10}"
BIN_8249526,504,CWE-126,7,CWE-121,7,"{'CWE-121': 7, 'CWE-126': 7}"
BIN_8249526,504,CWE-126,11,CWE-121,13,"{'CWE-121': 13, 'CWE-126': 9}"
BIN_8289624,22955,CWE-191,3,CWE-190,3,"{'CWE-190': 3, 'CWE-191': 3}"
BIN_8289624,22955,CWE-191,5,CWE-190,5,"{'CWE-190': 5, 'CWE-191': 5}"
BIN_8289624,22955,CWE-191,7,CWE-190,7,"{'CWE-190': 7, 'CWE-191': 7}"
BIN_8289624,22955,CWE-191,11,CWE-190,11,"{'CWE-190': 11, 'CWE-191': 11}"
BIN_8309456,35237,CWE-396,3,CWE-391,3,"{'CWE-391': 3, 'CWE-396': 3}"
BIN_8309456,35237,CWE-396,5,CWE-391,5,"{'CWE-391': 5, 'CWE-396': 5}"
BIN_8309456,35237,CWE-396,7,CWE-391,7,"{'CWE-391': 7, 'CWE-396': 7}"
BIN_8309456,35237,CWE-396,11,CWE-391,11,"{'CWE-391': 11, 'CWE-396': 11}"
BIN_8317956,28221,CWE-196,11,CWE-197,10,"{'CWE-195': 5, 'CWE-196': 7, 'CWE-197': 10}"
BIN_8386492,29092,CWE-023,3,CWE-197,3,"{'CWE-197': 3, 'CWE-023': 3}"
BIN_8386492,29092,CWE-023,5,CWE-197,5,"{'CWE-197': 5, 'CWE-023': 5}"
BIN_8386492,29092,CWE-023,7,CWE-197,7,"{'CWE-197': 7, 'CWE-023': 7}"
BIN_8386492,29092,CWE-023,11,CWE-197,11,"{'CWE-197': 11, 'CWE-023': 11}"
BIN_8389703,10849,CWE-126,3,CWE-122,4,"{'CWE-122': 4, 'CWE-126': 2}"
BIN_8389703,10849,CWE-126,5,CWE-122,5,"{'CWE-122': 5, 'CWE-126': 5}"
BIN_8389703,10849,CWE-126,7,CWE-122,8,"{'CWE-122': 8, 'CWE-126': 6}"
BIN_8389703,10849,CWE-126,11,CWE-122,13,"{'CWE-122': 13, 'CWE-126': 9}"
BIN_8532208,4941,CWE-121,3,CWE-126,3,"{'CWE-126': 3, 'CWE-121': 3}"
BIN_8556812,41857,CWE-526,11,CWE-546,11,"{'CWE-511': 2, 'CWE-526': 9, 'CWE-546': 11}"
BIN_8596009,42515,CWE-588,3,CWE-587,3,"{'CWE-587': 3, 'CWE-588': 3}"
BIN_8596009,42515,CWE-588,5,CWE-587,5,"{'CWE-587': 5, 'CWE-588': 5}"
BIN_8596009,42515,CWE-588,7,CWE-587,7,"{'CWE-587': 7, 'CWE-588': 7}"
BIN_8596009,42515,CWE-588,11,CWE-587,11,"{'CWE-587': 11, 'CWE-588': 11}"
BIN_8628679,52886,CWE-773,3,CWE-762,3,"{'CWE-762': 3, 'CWE-773': 3}"
BIN_8628679,52886,CWE-773,5,CWE-762,5,"{'CWE-762': 5, 'CWE-773': 5}"
BIN_8628679,52886,CWE-773,7,CWE-762,7,"{'CWE-762': 7, 'CWE-773': 7}"
BIN_8628679,52886,CWE-773,11,CWE-762,11,"{'CWE-762': 11, 'CWE-773': 11}"
BIN_8832271,37868,CWE-404,3,CWE-401,3,"{'CWE-401': 3, 'CWE-404': 3}"
BIN_8832271,37868,CWE-404,5,CWE-401,5,"{'CWE-401': 5, 'CWE-404': 5}"
BIN_8832271,37868,CWE-404,7,CWE-401,7,"{'CWE-401': 7, 'CWE-404': 7}"
BIN_8832271,37868,CWE-404,11,CWE-401,11,"{'CWE-401': 11, 'CWE-404': 11}"
BIN_8921984,35490,CWE-400,3,CWE-398,3,"{'CWE-398': 3, 'CWE-400': 3}"
BIN_8921984,35490,CWE-400,5,CWE-398,5,"{'CWE-398': 5, 'CWE-400': 5}"
BIN_8921984,35490,CWE-400,7,CWE-398,7,"{'CWE-398': 7, 'CWE-400': 7}"
BIN_8921984,35490,CWE-400,11,CWE-398,11,"{'CWE-398': 11, 'CWE-400': 11}"
BIN_8950290,408,CWE-135,3,CWE-121,3,"{'CWE-121': 3, 'CWE-135': 3}"
BIN_8950290,408,CWE-135,5,CWE-121,5,"{'CWE-121': 5, 'CWE-135': 5}"
BIN_8950290,408,CWE-135,7,CWE-121,7,"{'CWE-121': 7, 'CWE-135': 7}"
BIN_8950290,408,CWE-135,11,CWE-121,11,"{'CWE-121': 11, 'CWE-135': 11}"
BIN_9041329,10856,CWE-126,3,CWE-122,3,"{'CWE-122': 3, 'CWE-126': 3}"
BIN_9041329,10856,CWE-126,11,CWE-122,11,"{'CWE-122': 11, 'CWE-126': 9, 'CWE-123': 2}"
BIN_9118746,28225,CWE-196,11,CWE-197,10,"{'CWE-195': 5, 'CWE-196': 7, 'CWE-197': 10}"
BIN_9273197,35092,CWE-390,3,CWE-377,3,"{'CWE-377': 3, 'CWE-390': 3}"
BIN_9273197,35092,CWE-390,5,CWE-377,5,"{'CWE-377': 5, 'CWE-390': 5}"
BIN_9273197,35092,CWE-390,7,CWE-377,7,"{'CWE-377': 7, 'CWE-390': 7}"
BIN_9273197,35092,CWE-390,11,CWE-377,11,"{'CWE-377': 11, 'CWE-390': 11}"
BIN_9311336,28216,CWE-196,11,CWE-195,8,"{'CWE-195': 8, 'CWE-196': 7, 'CWE-197': 7}"
BIN_9516766,35292,CWE-397,11,CWE-396,10,"{'CWE-396': 10, 'CWE-397': 8, 'CWE-398': 4}"
BIN_9698941,37869,CWE-404,3,CWE-401,3,"{'CWE-401': 3, 'CWE-404': 3}"
BIN_9698941,37869,CWE-404,5,CWE-401,5,"{'CWE-401': 5, 'CWE-404': 5}"
BIN_9698941,37869,CWE-404,7,CWE-401,7,"{'CWE-401': 7, 'CWE-404': 7}"
BIN_9698941,37869,CWE-404,11,CWE-401,11,"{'CWE-401': 11, 'CWE-404': 11}"
BIN_1258319,4973,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_1258319,4973,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_1258319,4973,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_1401778,46577,CWE-676,11,CWE-675,9,"{'CWE-675': 9, 'CWE-676': 9, 'CWE-680': 4}"
BIN_1445445,25906,CWE-194,3,CWE-191,3,"{'CWE-191': 3, 'CWE-194': 3}"
BIN_1445445,25906,CWE-194,5,CWE-191,5,"{'CWE-191': 5, 'CWE-194': 5}"
BIN_1445445,25906,CWE-194,7,CWE-191,7,"{'CWE-191': 7, 'CWE-194': 7}"
BIN_1445445,25906,CWE-194,11,CWE-191,11,"{'CWE-191': 11, 'CWE-194': 11}"
BIN_1574217,41949,CWE-561,3,CWE-546,2,"{'CWE-546': 2, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 2}"
BIN_1574217,41949,CWE-561,5,CWE-546,4,"{'CWE-546': 4, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 4}"
BIN_1574217,41949,CWE-561,7,CWE-546,6,"{'CWE-546': 6, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 6}"
BIN_1574217,41949,CWE-561,11,CWE-546,10,"{'CWE-546': 10, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 10}"
BIN_1606490,18994,CWE-190,3,CWE-188,3,"{'CWE-188': 3, 'CWE-190': 3}"
BIN_1606490,18994,CWE-190,5,CWE-188,5,"{'CWE-188': 5, 'CWE-190': 5}"
BIN_1606490,18994,CWE-190,7,CWE-188,7,"{'CWE-188': 7, 'CWE-190': 7}"
BIN_1606490,18994,CWE-190,11,CWE-188,11,"{'CWE-188': 11, 'CWE-190': 11}"
BIN_2011998,35182,CWE-391,3,CWE-390,3,"{'CWE-390': 3, 'CWE-391': 3}"
BIN_2011998,35182,CWE-391,5,CWE-390,5,"{'CWE-390': 5, 'CWE-391': 5}"
BIN_2011998,35182,CWE-391,7,CWE-390,7,"{'CWE-390': 7, 'CWE-391': 7}"
BIN_2011998,35182,CWE-391,11,CWE-390,11,"{'CWE-390': 11, 'CWE-391': 11}"
BIN_2112798,41578,CWE-479,11,CWE-478,8,"{'CWE-478': 8, 'CWE-479': 8, 'CWE-480': 6}"
BIN_2150059,31012,CWE-242,3,CWE-023,3,"{'CWE-023': 3, 'CWE-242': 3}"
BIN_2150059,31012,CWE-242,5,CWE-023,5,"{'CWE-023': 5, 'CWE-242': 5}"
BIN_2150059,31012,CWE-242,7,CWE-023,7,"{'CWE-023': 7, 'CWE-242': 7}"
BIN_2150059,31012,CWE-242,11,CWE-023,11,"{'CWE-023': 11, 'CWE-242': 10, 'CWE-252': 1}"
BIN_2334733,4943,CWE-126,3,CWE-121,3,"{'CWE-121': 3, 'CWE-126': 3}"
BIN_2334733,4943,CWE-126,7,CWE-121,6,"{'CWE-121': 6, 'CWE-126': 5, 'CWE-122': 3}"
BIN_2570460,10853,CWE-122,3,CWE-126,3,"{'CWE-126': 3, 'CWE-122': 3}"
BIN_2660949,32200,CWE-369,3,CWE-367,3,"{'CWE-367': 3, 'CWE-369': 3}"
BIN_2660949,32200,CWE-369,5,CWE-367,5,"{'CWE-367': 5, 'CWE-369': 5}"
BIN_2660949,32200,CWE-369,7,CWE-367,7,"{'CWE-367': 7, 'CWE-369': 7}"
BIN_2660949,32200,CWE-369,11,CWE-367,11,"{'CWE-367': 11, 'CWE-369': 11}"
BIN_2764012,47237,CWE-685,11,CWE-688,11,"{'CWE-681': 1, 'CWE-685': 10, 'CWE-688': 11}"
BIN_2902601,4969,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_2902601,4969,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_2902601,4969,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_3012821,41840,CWE-526,3,CWE-511,3,"{'CWE-511': 3, 'CWE-526': 3}"
BIN_3012821,41840,CWE-526,5,CWE-511,5,"{'CWE-511': 5, 'CWE-526': 5}"
BIN_3012821,41840,CWE-526,7,CWE-511,7,"{'CWE-511': 7, 'CWE-526': 7}"
BIN_3012821,41840,CWE-526,11,CWE-511,11,"{'CWE-511': 11, 'CWE-526': 9, 'CWE-546': 2}"
BIN_3228938,41952,CWE-562,3,CWE-563,3,"{'CWE-546': 1, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 3}"
BIN_3228938,41952,CWE-562,5,CWE-563,5,"{'CWE-546': 3, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 5}"
BIN_3228938,41952,CWE-562,7,CWE-563,7,"{'CWE-546': 5, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 7}"
BIN_3228938,41952,CWE-562,11,CWE-563,11,"{'CWE-546': 9, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 11}"
BIN_3297563,38878,CWE-416,3,CWE-415,3,"{'CWE-415': 3, 'CWE-416': 3}"
BIN_3297563,38878,CWE-416,5,CWE-415,5,"{'CWE-415': 5, 'CWE-416': 5}"
BIN_3297563,38878,CWE-416,7,CWE-415,7,"{'CWE-415': 7, 'CWE-416': 7}"
BIN_3297563,38878,CWE-416,11,CWE-415,11,"{'CWE-415': 11, 'CWE-416': 11}"
BIN_3336443,35295,CWE-397,11,CWE-396,9,"{'CWE-396': 9, 'CWE-397': 8, 'CWE-398': 5}"
BIN_3584569,41625,CWE-482,3,CWE-481,3,"{'CWE-481': 3, 'CWE-482': 3}"
BIN_3584569,41625,CWE-482,5,CWE-481,5,"{'CWE-481': 5, 'CWE-482': 5}"
BIN_3584569,41625,CWE-482,7,CWE-481,7,"{'CWE-481': 7, 'CWE-482': 7}"
BIN_3584569,41625,CWE-482,11,CWE-481,10,"{'CWE-480': 1, 'CWE-481': 10, 'CWE-482': 10, 'CWE-483': 1}"
BIN_3711506,41950,CWE-562,3,CWE-546,2,"{'CWE-546': 2, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 2}"
BIN_3711506,41950,CWE-562,5,CWE-546,4,"{'CWE-546': 4, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 4}"
BIN_3711506,41950,CWE-562,7,CWE-546,6,"{'CWE-546': 6, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 6}"
BIN_3711506,41950,CWE-562,11,CWE-546,10,"{'CWE-546': 10, 'CWE-561': 1, 'CWE-562': 1, 'CWE-563': 10}"
BIN_3719174,4971,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_3719174,4971,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_3719174,4971,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_3729864,41584,CWE-479,11,CWE-480,9,"{'CWE-478': 5, 'CWE-479': 8, 'CWE-480': 9}"
BIN_3790413,517,CWE-126,3,CWE-121,3,"{'CWE-121': 3, 'CWE-126': 3}"
BIN_3983440,4974,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_3983440,4974,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_3983440,4974,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_4055991,45276,CWE-605,11,CWE-590,10,"{'CWE-590': 10, 'CWE-605': 10, 'CWE-606': 2}"
BIN_4272373,503,CWE-126,7,CWE-121,7,"{'CWE-121': 7, 'CWE-126': 7}"
BIN_4272373,503,CWE-126,11,CWE-121,13,"{'CWE-121': 13, 'CWE-126': 9}"
BIN_4280528,4977,CWE-126,3,CWE-122,4,"{'CWE-122': 4, 'CWE-126': 2}"
BIN_4280528,4977,CWE-126,5,CWE-122,6,"{'CWE-126': 4, 'CWE-122': 6}"
BIN_4280528,4977,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_4280528,4977,CWE-126,11,CWE-122,17,"{'CWE-126': 5, 'CWE-122': 17}"
BIN_4386801,46589,CWE-676,11,CWE-680,10,"{'CWE-675': 3, 'CWE-676': 9, 'CWE-680': 10}"
BIN_4563825,4972,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_4563825,4972,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_4563825,4972,CWE-126,11,CWE-122,15,"{'CWE-126': 7, 'CWE-122': 15}"
BIN_4577138,4919,CWE-126,5,CWE-121,6,"{'CWE-121': 6, 'CWE-126': 4}"
BIN_4577138,4919,CWE-126,7,CWE-121,9,"{'CWE-121': 9, 'CWE-126': 5}"
BIN_4577138,4919,CWE-126,11,CWE-121,17,"{'CWE-121': 17, 'CWE-126': 5}"
BIN_4644507,35306,CWE-397,11,CWE-398,9,"{'CWE-396': 5, 'CWE-397': 8, 'CWE-398': 9}"
BIN_4793963,4946,CWE-126,7,CWE-121,5,"{'CWE-121': 5, 'CWE-126': 5, 'CWE-122': 4}"
BIN_4860053,4966,CWE-126,3,CWE-122,3,"{'CWE-122': 3, 'CWE-126': 3}"
BIN_4860053,4966,CWE-126,5,CWE-122,6,"{'CWE-122': 6, 'CWE-126': 4}"
BIN_4860053,4966,CWE-126,7,CWE-122,10,"{'CWE-122': 10, 'CWE-126': 4}"
BIN_4860053,4966,CWE-126,11,CWE-122,14,"{'CWE-126': 8, 'CWE-122': 14}"
BIN_4885708,7861,CWE-135,3,CWE-122,3,"{'CWE-122': 3, 'CWE-135': 3}"
BIN_4885708,7861,CWE-135,5,CWE-122,5,"{'CWE-122': 5, 'CWE-135': 5}"
BIN_4885708,7861,CWE-135,7,CWE-122,7,"{'CWE-122': 7, 'CWE-135': 7}"
BIN_4885708,7861,CWE-135,11,CWE-122,11,"{'CWE-122': 11, 'CWE-135': 11}"
BIN_4967771,41606,CWE-480,11,CWE-481,10,"{'CWE-479': 2, 'CWE-480': 9, 'CWE-481': 10, 'CWE-482': 1}"
BIN_5037344,41574,CWE-479,11,CWE-478,9,"{'CWE-478': 9, 'CWE-479': 8, 'CWE-480': 5}"
BIN_5695554,500,CWE-126,3,CWE-121,3,"{'CWE-121': 3, 'CWE-126': 3}"
BIN_5695554,500,CWE-126,5,CWE-121,5,"{'CWE-121': 5, 'CWE-126': 5}"
