binary_id,cwe_id,entry_cwe,entry_symbol
BIN_1075420,CWE-134,,entry_bad
BIN_1076679,CWE-401,,entry_bad
BIN_1078089,CWE-253,,entry_bad
BIN_1079255,CWE-789,,entry_bad
BIN_1079695,CWE-023,CWE-023,_ZN52CWE23_Relative_Path_Traversal__wchar_t_file_fopen_349entry_badEv
BIN_1080177,CWE-400,,entry_bad
BIN_1080288,CWE-590,,entry_bad
BIN_1080606,CWE-191,,entry_bad
BIN_1081334,CWE-789,,entry_bad
BIN_1082022,CWE-134,,entry_bad
BIN_1082237,CWE-762,CWE-762,_ZN66CWE762_Mismatched_Memory_Management_Routines__delete_int_calloc_459entry_badEv
BIN_1082538,CWE-190,,entry_bad
BIN_1082821,CWE-127,CWE-127,_ZN43CWE127_Buffer_Underread__new_wchar_t_cpy_439entry_badEv
BIN_1083529,CWE-190,,entry_bad
BIN_1084045,CWE-036,CWE-036,_ZN60CWE36_Absolute_Path_Traversal__wchar_t_listen_socket_open_059entry_badEv
BIN_1084173,CWE-134,,entry_bad
BIN_1084556,CWE-590,CWE-590,_ZN62CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_339entry_badEv
BIN_1084642,CWE-680,,entry_bad
BIN_1085153,CWE-606,,entry_bad
BIN_1085348,CWE-590,CWE-590,_ZN56CWE590_Free_Memory_Not_on_Heap__delete_int64_t_alloca_459entry_badEv
BIN_1085540,CWE-036,CWE-036,_ZN55CWE36_Absolute_Path_Traversal__char_console_ifstream_019entry_badEv
BIN_1086435,CWE-122,,entry_bad
BIN_1086822,CWE-121,,entry_bad
BIN_1087420,CWE-121,,entry_bad
BIN_1088016,CWE-134,,entry_bad
BIN_1088154,CWE-122,CWE-122,_ZN63CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_wchar_t_memcpy_139entry_badEv
BIN_1088185,CWE-467,,entry_bad
BIN_1088399,CWE-563,,entry_bad
BIN_1089291,CWE-563,,entry_bad
BIN_1090130,CWE-400,CWE-400,_ZN54CWE400_Resource_Exhaustion__connect_socket_for_loop_339entry_badEv
BIN_1090270,CWE-126,CWE-126,_ZN40CWE126_Buffer_Overread__new_char_loop_069entry_badEv
BIN_1090277,CWE-590,CWE-590,_ZN53CWE590_Free_Memory_Not_on_Heap__free_struct_alloca_339entry_badEv
BIN_1090357,CWE-762,CWE-762,_ZN74CWE762_Mismatched_Memory_Management_Routines__delete_array_class_calloc_129entry_badEv
BIN_1090677,CWE-511,,entry_bad
BIN_1091477,CWE-126,,entry_bad
BIN_1091584,CWE-590,CWE-590,_ZN58CWE590_Free_Memory_Not_on_Heap__delete_array_int_static_139entry_badEv
BIN_1091655,CWE-036,CWE-036,_ZN57CWE36_Absolute_Path_Traversal__char_listen_socket_open_069entry_badEv
BIN_1091673,CWE-190,,entry_bad
BIN_1091968,CWE-762,CWE-762,_ZN70CWE762_Mismatched_Memory_Management_Routines__new_delete_array_char_459entry_badEv
BIN_1092407,CWE-762,CWE-762,_ZN74CWE762_Mismatched_Memory_Management_Routines__delete_array_long_realloc_439entry_badEv
BIN_1092898,CWE-590,,entry_bad
BIN_1093365,CWE-190,,entry_bad
BIN_1093405,CWE-134,,entry_bad
BIN_1093499,CWE-134,,entry_bad
BIN_1093789,CWE-194,,entry_bad
BIN_1093919,CWE-457,CWE-457,_ZN65CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_139entry_badEv
BIN_1095230,CWE-762,CWE-762,_ZN76CWE762_Mismatched_Memory_Management_Routines__delete_array_int64_t_calloc_039entry_badEv
BIN_1095449,CWE-036,CWE-036,_ZN52CWE36_Absolute_Path_Traversal__char_file_ifstream_069entry_badEv
BIN_1095577,CWE-036,CWE-036,_ZN60CWE36_Absolute_Path_Traversal__wchar_t_listen_socket_open_459entry_badEv
BIN_1096371,CWE-590,CWE-590,_ZN58CWE590_Free_Memory_Not_on_Heap__delete_array_int_static_349entry_badEv
BIN_1096524,CWE-127,,entry_bad
BIN_1096996,CWE-121,,entry_bad
BIN_1097467,CWE-401,,entry_bad
BIN_1098312,CWE-680,CWE-680,_ZN57CWE680_Integer_Overflow_to_Buffer_Overflow__new_fscanf_079entry_badEv
BIN_1098529,CWE-121,,entry_bad
BIN_1100148,CWE-617,,entry_bad
BIN_1100209,CWE-122,CWE-122,_ZN54CWE122_Heap_Based_Buffer_Overflow__cpp_src_char_cpy_069entry_badEv
BIN_1100259,CWE-126,,entry_bad
BIN_1100695,CWE-134,,entry_bad
BIN_1101006,CWE-416,CWE-416,_ZN47CWE416_Use_After_Free__new_delete_array_char_039entry_badEv
BIN_1101111,CWE-789,,entry_bad
BIN_1101140,CWE-191,,entry_bad
BIN_1101529,CWE-122,CWE-122,_ZN58CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_ncpy_439entry_badEv
BIN_1102275,CWE-036,CWE-036,_ZN56CWE36_Absolute_Path_Traversal__char_environment_fopen_139entry_badEv
BIN_1102871,CWE-190,,entry_bad
BIN_1103362,CWE-036,CWE-036,_ZN58CWE36_Absolute_Path_Traversal__wchar_t_console_ifstream_329entry_badEv
BIN_1103576,CWE-789,CWE-789,_ZN57CWE789_Uncontrolled_Mem_Alloc__new_char_connect_socket_449entry_badEv
BIN_1103764,CWE-121,,entry_bad
BIN_1104033,CWE-122,,entry_bad
BIN_1104407,CWE-127,,entry_bad
BIN_1106078,CWE-401,,entry_bad
BIN_1106335,CWE-606,,entry_bad
BIN_1106569,CWE-426,CWE-426,_ZN47CWE426_Untrusted_Search_Path__wchar_t_system_339entry_badEv
BIN_1106901,CWE-401,,entry_bad
BIN_1106983,CWE-036,CWE-036,_ZN62CWE36_Absolute_Path_Traversal__wchar_t_connect_socket_fopen_099entry_badEv
BIN_1107560,CWE-122,CWE-122,_ZN61CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_ncat_319entry_badEv
BIN_1107836,CWE-122,,entry_bad
BIN_1108085,CWE-078,,entry_bad
BIN_1108124,CWE-762,CWE-762,_ZN63CWE762_Mismatched_Memory_Management_Routines__new_free_class_019entry_badEv
BIN_1108182,CWE-121,CWE-121,_ZN66CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_339entry_badEv
BIN_1109250,CWE-078,,entry_bad
BIN_1109966,CWE-191,,entry_bad
BIN_1110040,CWE-122,,entry_bad
BIN_1110800,CWE-121,,entry_bad
BIN_1112441,CWE-426,,entry_bad
BIN_1113079,CWE-191,,entry_bad
BIN_1113127,CWE-401,,entry_bad
BIN_1113608,CWE-190,,entry_bad
BIN_1114343,CWE-195,,entry_bad
BIN_1114347,CWE-191,,entry_bad
BIN_1114712,CWE-122,CWE-122,_ZN61CWE122_Heap_Based_Buffer_Overflow__cpp_CWE806_wchar_t_loop_029entry_badEv
BIN_1114840,CWE-122,CWE-122,_ZN53CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_rand_049entry_badEv
BIN_1114843,CWE-191,,entry_bad
BIN_1117390,CWE-415,,entry_bad
BIN_1117399,CWE-789,CWE-789,_ZN49CWE789_Uncontrolled_Mem_Alloc__new_char_fscanf_339entry_badEv
BIN_1117404,CWE-121,,entry_bad
BIN_1117434,CWE-122,CWE-122,_ZN59CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_loop_439entry_badEv
BIN_1117473,CWE-427,,entry_bad
BIN_1119295,CWE-036,CWE-036,_ZN65CWE36_Absolute_Path_Traversal__wchar_t_connect_socket_ofstream_079entry_badEv
BIN_1119401,CWE-590,,entry_bad
BIN_1119967,CWE-190,,entry_bad
BIN_1120259,CWE-680,,entry_bad
BIN_1120381,CWE-126,,entry_bad
BIN_1120885,CWE-762,CWE-762,_ZN67CWE762_Mismatched_Memory_Management_Routines__delete_long_malloc_439entry_badEv
BIN_1121086,CWE-190,CWE-190,_ZN50CWE190_Integer_Overflow__int_connect_socket_add_339entry_badEv
BIN_1122041,CWE-023,CWE-023,_ZN61CWE23_Relative_Path_Traversal__char_listen_socket_ofstream_109entry_badEv
BIN_1122602,CWE-681,,entry_bad
BIN_1123187,CWE-457,CWE-457,_ZN70CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_029entry_badEv
BIN_1123346,CWE-590,CWE-590,_ZN62CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_069entry_badEv
BIN_1123400,CWE-036,CWE-036,_ZN62CWE36_Absolute_Path_Traversal__char_connect_socket_ofstream_149entry_badEv
BIN_1123465,CWE-690,,entry_bad
BIN_1124122,CWE-377,,entry_bad
BIN_1124647,CWE-253,,entry_bad
BIN_1125503,CWE-415,CWE-415,_ZN43CWE415_Double_Free__new_delete_array_int_349entry_badEv
BIN_1126057,CWE-762,CWE-762,_ZN71CWE762_Mismatched_Memory_Management_Routines__new_delete_array_class_079entry_badEv
BIN_1126175,CWE-191,CWE-191,_ZN50CWE191_Integer_Underflow__int64_t_rand_multiply_439entry_badEv
BIN_1126712,CWE-023,CWE-023,_ZN59CWE23_Relative_Path_Traversal__wchar_t_environment_fopen_059entry_badEv
BIN_1128090,CWE-134,,entry_bad
BIN_1128227,CWE-134,,entry_bad
BIN_1128294,CWE-252,,entry_bad
BIN_1128337,CWE-457,CWE-457,_ZN74CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_439entry_badEv
BIN_1128343,CWE-122,CWE-122,_ZN55CWE122_Heap_Based_Buffer_Overflow__cpp_dest_char_cat_439entry_badEv
BIN_1128385,CWE-078,,entry_bad
BIN_1129019,CWE-190,,entry_bad
BIN_1129095,CWE-134,,entry_bad
BIN_1130246,CWE-121,,entry_bad
BIN_1130269,CWE-761,CWE-761,_ZN66CWE761_Free_Pointer_Not_at_Start_of_Buffer__char_connect_socket_439entry_badEv
BIN_1130319,CWE-078,,entry_bad
BIN_1131691,CWE-122,CWE-122,_ZN61CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_memmove_179entry_badEv
BIN_1131733,CWE-190,,entry_bad
BIN_1131886,CWE-762,CWE-762,_ZN62CWE762_Mismatched_Memory_Management_Routines__new_free_char_069entry_badEv
BIN_1132661,CWE-191,,entry_bad
BIN_1132812,CWE-078,,entry_bad
BIN_1133206,CWE-674,,entry_bad
BIN_1133440,CWE-134,,entry_bad
BIN_1134601,CWE-391,,entry_bad
BIN_1134761,CWE-122,CWE-122,_ZN60CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int_memmove_029entry_badEv
BIN_1135750,CWE-194,,entry_bad
BIN_1136056,CWE-124,,entry_bad
BIN_1136898,CWE-122,CWE-122,_ZN58CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_loop_149entry_badEv
BIN_1136968,CWE-457,,entry_bad
BIN_1137596,CWE-036,CWE-036,_ZN58CWE36_Absolute_Path_Traversal__char_listen_socket_fopen_039entry_badEv
BIN_1138658,CWE-121,,entry_bad
BIN_1138872,CWE-127,CWE-127,_ZN40CWE127_Buffer_Underread__new_char_cpy_049entry_badEv
BIN_1139049,CWE-121,,entry_bad
BIN_1139200,CWE-121,,entry_bad
BIN_1139707,CWE-401,,entry_bad
BIN_1140640,CWE-401,,entry_bad
BIN_1141130,CWE-134,,entry_bad
BIN_1141382,CWE-122,CWE-122,_ZN58CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_loop_169entry_badEv
BIN_1142541,CWE-195,,entry_bad
BIN_1144013,CWE-190,,entry_bad
BIN_1144392,CWE-762,CWE-762,_ZN66CWE762_Mismatched_Memory_Management_Routines__delete_int_malloc_319entry_badEv
BIN_1144420,CWE-122,CWE-122,_ZN62CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_char_snprintf_439entry_badEv
BIN_1144760,CWE-190,,entry_bad
BIN_1146233,CWE-690,,entry_bad
BIN_1147753,CWE-122,CWE-122,_ZN63CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket_419entry_badEv
BIN_1147795,CWE-401,CWE-401,_ZN43CWE401_Memory_Leak__twoIntsStruct_malloc_339entry_badEv
BIN_1147991,CWE-191,,entry_bad
BIN_1148593,CWE-396,CWE-396,_ZN61CWE396_Catch_Generic_Exception__exception_and_domain_error_079entry_badEv
BIN_1149142,CWE-570,,entry_bad
BIN_1149733,CWE-121,,entry_bad
BIN_1150473,CWE-134,,entry_bad
BIN_1151113,CWE-590,CWE-590,_ZN60CWE590_Free_Memory_Not_on_Heap__delete_array_long_declare_329entry_badEv
BIN_1153470,CWE-191,,entry_bad
BIN_1153544,CWE-127,,entry_bad
BIN_1153765,CWE-590,CWE-590,_ZN62CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_459entry_badEv
BIN_1154118,CWE-121,,entry_bad
BIN_1154241,CWE-690,,entry_bad
BIN_1154500,CWE-122,,entry_bad
BIN_1154709,CWE-590,CWE-590,_ZN63CWE590_Free_Memory_Not_on_Heap__delete_array_wchar_t_declare_419entry_badEv
BIN_1155046,CWE-401,CWE-401,_ZN40CWE401_Memory_Leak__new_array_int64_t_349entry_badEv
BIN_1155322,CWE-590,,entry_bad
BIN_1155753,CWE-590,CWE-590,_ZN57CWE590_Free_Memory_Not_on_Heap__delete_wchar_t_declare_329entry_badEv
BIN_1156056,CWE-121,,entry_bad
BIN_1156400,CWE-191,,entry_bad
BIN_1156475,CWE-124,,entry_bad
BIN_1156977,CWE-122,,entry_bad
BIN_1157400,CWE-122,,entry_bad
BIN_1157808,CWE-122,,entry_bad
BIN_1158178,CWE-121,,entry_bad
BIN_1158436,CWE-121,,entry_bad
BIN_1158481,CWE-666,,entry_bad
BIN_1158545,CWE-690,CWE-690,_ZN48CWE690_NULL_Deref_From_Return__wchar_t_malloc_439entry_badEv
BIN_1158568,CWE-036,CWE-036,_ZN48CWE36_Absolute_Path_Traversal__char_file_open_169entry_badEv
BIN_1158839,CWE-377,,entry_bad
BIN_1159110,CWE-400,,entry_bad
BIN_1159654,CWE-194,,entry_bad
BIN_1159852,CWE-197,,entry_bad
BIN_1160645,CWE-400,,entry_bad
BIN_1160944,CWE-191,,entry_bad
BIN_1162042,CWE-121,,entry_bad
BIN_1162117,CWE-121,CWE-121,_ZN60CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_339entry_badEv
BIN_1163171,CWE-762,CWE-762,_ZN72CWE762_Mismatched_Memory_Management_Routines__delete_array_int_malloc_039entry_badEv
BIN_1163804,CWE-121,,entry_bad
BIN_1163844,CWE-762,CWE-762,_ZN64CWE762_Mismatched_Memory_Management_Routines__new_free_struct_459entry_badEv
BIN_1164012,CWE-401,,entry_bad
BIN_1164281,CWE-758,,entry_bad
BIN_1164970,CWE-121,,entry_bad
BIN_1166435,CWE-190,,entry_bad
BIN_1167257,CWE-036,CWE-036,_ZN51CWE36_Absolute_Path_Traversal__wchar_t_file_open_139entry_badEv
BIN_1167315,CWE-127,,entry_bad
BIN_1168101,CWE-190,,entry_bad
BIN_1168246,CWE-121,,entry_bad
BIN_1168882,CWE-191,,entry_bad
BIN_1169046,CWE-127,,entry_bad
BIN_1169415,CWE-078,,entry_bad
BIN_1169429,CWE-127,,entry_bad
BIN_1169772,CWE-195,,entry_bad
BIN_1169810,CWE-606,,entry_bad
BIN_1170001,CWE-190,,entry_bad
BIN_1170061,CWE-191,,entry_bad
BIN_1170427,CWE-036,CWE-036,_ZN57CWE36_Absolute_Path_Traversal__char_listen_socket_open_089entry_badEv
BIN_1171124,CWE-126,,entry_bad
BIN_1171618,CWE-191,,entry_bad
BIN_1171932,CWE-415,CWE-415,_ZN47CWE415_Double_Free__new_delete_array_int64_t_059entry_badEv
BIN_1172506,CWE-195,,entry_bad
BIN_1172582,CWE-126,,entry_bad
