target,split,binary_id,sid,cwe,entry_line,high_pc,var_lines,ptr_sig,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,calls,preview
BIN_1727266,train,BIN_6677420,41958,CWE-563,20,19,22,data:0,21|24|31,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
BIN_1727266,train,BIN_2974999,41959,CWE-563,20,19,22,data:0,21|24|31,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
BIN_2011998,train,BIN_7070425,35177,CWE-390,20,93,25,doubleNumber:0,21|22|26|27|29|33|36,93,24,4,1,34dcb5eff27f0261,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rax],0 mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordp"
BIN_2011998,train,BIN_8273378,35178,CWE-390,20,80,26,doubleNumber:0,21|27|28|30|34|36|42,80,21,4,0,49b832510408b410,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rax],0 mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rip+N] call:rax mov:rax,qwordpt"
BIN_2011998,test,BIN_2011998,35182,CWE-391,21,55,24,doubleNumber:0,22|25|27|29,55,15,2,0,8803ba57030a11f4,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movq:xmm0,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_2011998,train,BIN_1225491,35184,CWE-391,21,55,26,doubleNumber:0,22|27|29|32,55,15,2,0,8803ba57030a11f4,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movq:xmm0,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_2011998,train,BIN_1792846,35185,CWE-391,27,64,32,doubleNumber:0,28|29|33|35|38,64,18,2,1,d59118a0eb6ea08e,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,1 test:eax,eax je:N mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movq:xmm0,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_2011998,train,BIN_1134601,35187,CWE-391,26,65,31,doubleNumber:0,27|28|32|34|37,65,18,2,1,743f3b420ee83606,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movq:xmm0,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_2011998,train,BIN_6073377,35188,CWE-391,26,66,31,doubleNumber:0,27|28|32|34|37,66,18,2,1,743f3b420ee83606,647cad2511673259,sqrt|printdoubleline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movq:xmm0,rax call:N nop: add:rsp,N po"
BIN_2597033,test,BIN_2597033,7908,CWE-122,41,648,43|48|49|51|52|53|54|103|104,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|buffer:1,42|45|49|53|58|62|65|66|70|71|72|73|74|80|81|86|88|60|68|76|91|93|96|98|104|105|107|109|107|113|115|117|119|117|124|126|128,648,130,15,17,50b880ee6a34e2d0,b9679c304bcab64c,memset|atoi|malloc|exit|printintline|printline|free,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mo"
BIN_2597033,train,BIN_1599272,7909,CWE-122,41,648,43|50|51|53|54|55|56|108|109,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|buffer:1,42|45|51|55|60|64|67|68|72|73|74|75|76|82|83|88|90|62|70|78|93|95|98|100|109|110|112|114|112|118|120|122|124|122|129|131|134,648,130,15,17,50b880ee6a34e2d0,b9679c304bcab64c,memset|atoi|malloc|exit|printintline|printline|free,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mo"
BIN_2597033,train,BIN_4978281,7912,CWE-122,47,676,49|56|57|59|60|61|62|114|115,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|buffer:1,48|51|52|57|61|66|70|73|74|78|79|80|81|82|88|89|94|96|68|76|84|99|101|104|106|111|115|116|118|120|118|124|126|128|130|128|135|137|140,676,136,15,19,fa665a09ccaaff6b,b9679c304bcab64c,memset|atoi|malloc|exit|printintline|printline|free,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:eax,dwordptr_[rip+N] test:eax,eax je:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax t"
BIN_2597033,train,BIN_3941830,7913,CWE-122,46,676,48|55|56|58|59|60|61|113|114,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|buffer:1,47|50|51|56|60|65|69|72|73|77|78|79|80|81|87|88|93|95|67|75|83|98|100|103|105|110|114|115|117|119|117|123|125|127|129|127|134|136|139,676,136,15,19,9defacc47931a883,b9679c304bcab64c,memset|atoi|malloc|exit|printintline|printline|free,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:eax,5 cmp:eax,5 jne:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N"
BIN_2597033,train,BIN_3780070,7914,CWE-122,46,678,48|55|56|58|59|60|61|113|114,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|buffer:1,47|50|51|56|60|65|69|72|73|77|78|79|80|81|87|88|93|95|67|75|83|98|100|103|105|110|114|115|117|119|117|123|125|127|129|127|134|136|139,678,136,15,19,9defacc47931a883,b9679c304bcab64c,memset|atoi|malloc|exit|printintline|printline|free,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax tes"
BIN_2833325,test,BIN_2833325,48170,CWE-758,17,60,22|23,pointer:1|data:0,18|22|23|24|27,60,19,1,0,f3aad970e9ffc113,3b7054e58b8da235,printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N sub:rsp,N lea:rax,[rsp+N] add:rax,N shr:rax,4 shl:rax,4 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movzx:eax,byteptr_[rax] mov:byteptr_[rbp-9],al movsx:eax,byteptr_[rbp-9] mov:ecx,ea"
BIN_2833325,train,BIN_3240352,48171,CWE-758,17,60,22|23,pointer:1|data:0,18|22|23|24|27,60,19,1,0,f3aad970e9ffc113,3b7054e58b8da235,printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N sub:rsp,N lea:rax,[rsp+N] add:rax,N shr:rax,4 shl:rax,4 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movzx:eax,byteptr_[rax] mov:byteptr_[rbp-9],al movsx:eax,byteptr_[rbp-9] mov:ecx,ea"
BIN_2833325,train,BIN_5681113,48173,CWE-758,23,70,28|29,pointer:1|data:0,24|25|28|29|30|33,70,22,1,1,6a5d53ef95b2d7ec,3b7054e58b8da235,printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] test:eax,eax je:N sub:rsp,N lea:rax,[rsp+N] add:rax,N shr:rax,4 shl:rax,4 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movzx:eax,byteptr_[rax] mov:byteptr_[rbp"
BIN_2833325,train,BIN_5079901,48174,CWE-758,22,70,27|28,pointer:1|data:0,23|24|27|28|29|32,70,22,1,1,96905b887a8e068d,3b7054e58b8da235,printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N sub:rsp,N lea:rax,[rsp+N] add:rax,N shr:rax,4 shl:rax,4 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movzx:eax,byteptr_[rax] mov:byteptr_[rbp-9],al movsx:eax,"
BIN_2833325,train,BIN_7982310,48175,CWE-758,22,71,27|28,pointer:1|data:0,23|24|27|28|29|32,71,22,1,1,96905b887a8e068d,3b7054e58b8da235,printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N sub:rsp,N lea:rax,[rsp+N] add:rax,N shr:rax,4 shl:rax,4 mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] movzx:eax,byteptr_[rax] mov:byteptr_[rbp-9"
BIN_9428082,train,BIN_6494103,41951,CWE-562,-1,-1,,,,29,11,2,0,d9ee35c5a4892c5c,da39a3ee5e6b4b0d,_zn69cwe562_return_of_stack_variable_address__return_local_class_member_01l9helperbadev|printintline,"push:rbp mov:rbp,rsp sub:rsp,N call:N mov:eax,dwordptr_[rax] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:"
BIN_9428082,test,BIN_9428082,41955,CWE-563,12,38,,,13|15|16|17,38,11,1,0,af7048073505eb26,da39a3ee5e6b4b0d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rip+N],N mov:eax,dwordptr_[rip+N] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:"
BIN_9428082,train,BIN_5076009,41957,CWE-563,20,19,22,data:0,21|24|28,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
BIN_9428082,train,BIN_6677420,41958,CWE-563,20,19,22,data:0,21|24|31,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
BIN_9428082,train,BIN_2974999,41959,CWE-563,20,19,22,data:0,21|24|31,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
