bid,sid,pred,alt,side,gap,pure,first,uniq,counterparts,cp_pure,cp_first,cp_uniq,support,ambiguous
BIN_2991691,37848,CWE-401,CWE-404,left_to_CWE-404,20,CWE-401,CWE-401,CWE-401,test:BIN_5113795,CWE-401,CWE-401,CWE-401,True,False
BIN_8832271,37868,CWE-404,CWE-401,right_from_CWE-401,20,,,,test:BIN_2212197,,,,False,True
BIN_6299331,37896,CWE-404,CWE-415,left_to_CWE-415,20,CWE-404,CWE-404,CWE-404,train:BIN_4958126,CWE-404,CWE-404,CWE-404,True,False
BIN_3297563,38878,CWE-416,CWE-415,right_from_CWE-415,22,,,,train:BIN_7919352,,,,False,True
BIN_1394325,39509,CWE-426,CWE-427,left_to_CWE-427,20,CWE-426,CWE-426,CWE-426,train:BIN_1656054,CWE-426,CWE-426,CWE-426,True,False
BIN_3475625,39989,CWE-427,CWE-457,left_to_CWE-457,21,CWE-427,CWE-427,CWE-427,train:BIN_5288319,CWE-427,CWE-427,CWE-427,True,False
BIN_9426721,40954,CWE-457,CWE-459,left_to_CWE-459,4,CWE-457,CWE-457,CWE-457,test:BIN_3405465,CWE-457,CWE-457,CWE-457,True,False
BIN_4184059,40994,CWE-464,CWE-459,right_from_CWE-459,1,,,,test:BIN_6864818,,,,False,True
BIN_1593911,41022,CWE-464,CWE-467,left_to_CWE-467,20,CWE-464,CWE-464,CWE-464,test:BIN_5110695,CWE-464,CWE-464,CWE-464,True,False
BIN_6537894,41133,CWE-469,CWE-468,right_from_CWE-468,1,,,,train:BIN_1436032,,,,False,True
BIN_5091731,41570,CWE-478,CWE-479,left_to_CWE-479,1,,,,test:BIN_9545251,,,,False,True
BIN_5502682,41571,CWE-479,CWE-478,right_from_CWE-478,1,,,,test:BIN_3997747,,,,False,True
BIN_5474899,41589,CWE-480,CWE-479,right_from_CWE-479,1,,,,train:BIN_7751232,,,,False,True
BIN_4967771,41606,CWE-480,CWE-481,left_to_CWE-481,1,,,,train:BIN_1187430,,,,False,True
BIN_3584569,41625,CWE-482,CWE-481,right_from_CWE-481,1,,,,test:BIN_6856705,,,,False,True
BIN_4390572,41662,CWE-483,CWE-484,left_to_CWE-484,1,,,,test:BIN_7507500,,,,False,True
BIN_8083459,41680,CWE-484,CWE-510,left_to_CWE-510,36,,,,test:BIN_7639817,,,,False,True
BIN_4560044,41839,CWE-511,CWE-526,left_to_CWE-526,1,,,,train:BIN_1598117,,,,False,True
BIN_3012821,41840,CWE-526,CWE-511,right_from_CWE-511,1,,,,train:BIN_5881468,,,,False,True
BIN_8556812,41857,CWE-526,CWE-546,left_to_CWE-546,1,,,,test:BIN_3662882,,,,False,True
BIN_1574217,41949,CWE-561,CWE-562,left_to_CWE-562,1,,,,test:BIN_1369597,,,,False,True
BIN_3711506,41950,CWE-562,CWE-561,right_from_CWE-561,1,,,,test:BIN_6221258,,,,False,True
BIN_3228938,41952,CWE-562,CWE-563,left_to_CWE-563,3,,,,test:BIN_1427338,,,,False,True
BIN_9428082,41955,CWE-563,CWE-562,right_from_CWE-562,3,CWE-563,CWE-563,CWE-563,test:BIN_8389799,CWE-563,CWE-563,CWE-563,True,False
BIN_4865561,42497,CWE-587,CWE-571,right_from_CWE-571,1,,,,test:BIN_4785001,,,,False,True
BIN_8596009,42515,CWE-588,CWE-587,right_from_CWE-587,1,CWE-588,CWE-588,CWE-588,test:BIN_8583328,CWE-588,CWE-588,CWE-588,True,False
BIN_4526444,46252,CWE-665,CWE-666,left_to_CWE-666,20,CWE-665,CWE-665,CWE-665,train:BIN_3315341,CWE-665,CWE-665,CWE-665,True,False
BIN_8585579,46427,CWE-674,CWE-672,right_from_CWE-672,20,,,,test:BIN_3785433,,,,False,True
BIN_5918531,46553,CWE-675,CWE-676,left_to_CWE-676,20,CWE-675,CWE-675,CWE-675,test:BIN_8014796,CWE-675,CWE-675,CWE-675,True,False
BIN_2861522,46573,CWE-676,CWE-675,right_from_CWE-675,20,CWE-676,CWE-676,CWE-676,test:BIN_4348589,CWE-676,CWE-676,CWE-676,True,False
BIN_2519261,47147,CWE-680,CWE-681,left_to_CWE-681,20,CWE-680,CWE-680,CWE-680,test:BIN_4597487,CWE-680,CWE-680,CWE-680,True,False
BIN_5190087,47220,CWE-681,CWE-685,left_to_CWE-685,1,,,,train:BIN_4011335,,,,False,True
BIN_5472113,47238,CWE-685,CWE-688,left_to_CWE-688,1,,,,test:BIN_2702946,,,,False,True
BIN_5812351,47239,CWE-688,CWE-685,right_from_CWE-685,1,,,,test:BIN_7892768,,,,False,True
BIN_7613973,48169,CWE-758,CWE-690,right_from_CWE-690,20,,,,test:BIN_5940425,,,,False,True
BIN_4550753,49302,CWE-761,CWE-762,left_to_CWE-762,22,CWE-761,CWE-761,CWE-761,test:BIN_5037854,CWE-761,CWE-761,CWE-761,True,False
BIN_6406922,52866,CWE-762,CWE-773,left_to_CWE-773,20,CWE-762,CWE-762,CWE-762,train:BIN_3266105,CWE-762,CWE-762,CWE-762,True,False
BIN_8628679,52886,CWE-773,CWE-762,right_from_CWE-762,20,,,,test:BIN_5030674,,,,False,True
BIN_2338043,52962,CWE-773,CWE-775,left_to_CWE-775,20,CWE-773,CWE-773,CWE-773,test:BIN_1617664,CWE-773,CWE-773,CWE-773,True,False
BIN_5756538,54018,CWE-789,CWE-078,left_to_CWE-078,20,CWE-789,CWE-789,CWE-789,train:BIN_7537026,CWE-789,CWE-789,CWE-789,True,False
BIN_1802324,54038,CWE-078,CWE-789,right_from_CWE-789,20,,,,test:BIN_3080675,,,,False,True
BIN_9986146,55938,CWE-078,CWE-835,left_to_CWE-835,38,CWE-078,CWE-078,CWE-078,test:BIN_2568284,CWE-078,CWE-078,CWE-078,True,False
BIN_8993957,55981,CWE-835,CWE-843,left_to_CWE-843,1,,,,test:BIN_1877351,,,,False,True
