binary_id,current,key_pred,support,purity,columns,examples,entry_line,high_pc,var_lines,line_seq_compact
BIN_2254329,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_4097945,31,215,36|50,32|33|37|39|41|42|43|44|61|51|53|55|56|57|58|61
BIN_2254329,CWE-121,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_4097945,31,215,36|50,32|33|37|39|41|42|43|44|61|51|53|55|56|57|58|61
BIN_2334733,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1555350,31,136,36,32|33|37|39|41|42|43|44|46
BIN_2334733,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1555350,31,136,36,32|33|37|39|41|42|43|44|46
BIN_2334733,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_1555350,31,136,36,32|33|37|39|41|42|43|44|46
BIN_2334733,CWE-121,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1555350,31,136,36,32|33|37|39|41|42|43|44|46
BIN_4615687,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_2308106,30,189,35,31|32|35|36|37|39|41|42|43|44|47
BIN_4615687,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_2308106,30,189,35,31|32|35|36|37|39|41|42|43|44|47
BIN_4615687,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_2308106,30,189,35,31|32|35|36|37|39|41|42|43|44|47
BIN_4615687,CWE-122,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_2308106,30,189,35,31|32|35|36|37|39|41|42|43|44|47
BIN_4860053,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6440355,36,186,41,37|38|41|42|43|45|47|48|49|50|53
BIN_4860053,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6440355,36,186,41,37|38|41|42|43|45|47|48|49|50|53
BIN_4860053,CWE-122,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_6440355,36,186,41,37|38|41|42|43|45|47|48|49|50|53
BIN_4860053,CWE-122,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6440355,36,186,41,37|38|41|42|43|45|47|48|49|50|53
BIN_6032043,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_3772631,44,144,49,45|46|50|52|54|55|56|57|60
BIN_6032043,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_3772631,44,144,49,45|46|50|52|54|55|56|57|60
BIN_6032043,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_3772631,44,144,49,45|46|50|52|54|55|56|57|60
BIN_6032043,CWE-121,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_3772631,44,144,49,45|46|50|52|54|55|56|57|60
BIN_8017787,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1850914,31,91,34,32|35|37|39|40|41|42|44
BIN_8017787,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1850914,31,91,34,32|35|37|39|40|41|42|44
BIN_8017787,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_1850914,31,91,34,32|35|37|39|40|41|42|44
BIN_8017787,CWE-121,CWE-126,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1850914,31,91,34,32|35|37|39|40|41|42|44
BIN_8681591,CWE-126,CWE-121,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_7939108,31,92,36,32|37|39|41|42|43|44|46|48
BIN_8681591,CWE-126,CWE-121,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_7939108,31,92,36,32|37|39|41|42|43|44|46|48
BIN_8681591,CWE-126,CWE-121,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_7939108,31,92,36,32|37|39|41|42|43|44|46|48
BIN_8681591,CWE-126,CWE-121,1,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_7939108,31,92,36,32|37|39|41|42|43|44|46|48
