target,split,binary_id,sid,cwe,entry_line,high_pc,var_lines,ptr_sig,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,calls,preview
BIN_3940409,train,BIN_7797754,41134,CWE-469,21,111,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|26|27|30|31|33|36|38|41,111,28,3,1,473d7ec347403415,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,1 c"
BIN_3940409,test,BIN_3940409,41138,CWE-469,26,121,31|32|33|34,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,27|28|31|32|35|36|38|41|43|46,121,31,3,2,d064901a83007393,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_["
BIN_3940409,train,BIN_4596364,41143,CWE-469,21,120,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|23|26|27|30|31|33|36|38|41,120,31,4,2,3fcc1746f17e5271,ec7d2bef62ab2cac,globalreturnstrue|strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[r"
BIN_3940409,train,BIN_4822127,41144,CWE-469,21,207,26|27|28|29|44|45|46,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0|string1:0|slashInString1:1|indexOfSlashInString1:0,22|23|26|27|30|31|33|36|38|58|44|47|48|50|53|55|58,207,51,7,4,df1c49ad0ec8115b,66365c97da6aeff7,globalreturnstrueorfalse|strchr|exit|printunsignedline|strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-N],rax cmp:qwordptr_[r"
BIN_3940409,train,BIN_1764225,41148,CWE-469,21,112,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|26|27|30|31|33|36|38|40|42,112,29,3,1,d00eb4281134a30a,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,1 c"
BIN_5995634,train,BIN_5652161,10973,CWE-123,52,621,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|61|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|147|148|149|150|151,621,120,12,14,26637ce1344f1bf4,96f6040320734a17,globalreturnstrueorfalse|memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_5995634,train,BIN_9135511,10974,CWE-123,52,626,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|61|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|142|143|144|145|146,626,121,11,14,1ce16ac7fe70915f,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_5995634,train,BIN_1263252,10977,CWE-123,52,609,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|127|143|144|145|146|147,609,118,11,13,285b345985349d02,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_5995634,train,BIN_7187977,10978,CWE-123,52,643,54|55|56|66|67|69|70|71|72,i:0|data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|56|58|59|60|61|62|67|71|72|76|80|82|83|87|88|89|90|91|95|99|100|106|78|85|93|97|102|113|115|117|119|122|124|62|143|144|145|146|147,643,122,11,15,e6e499cb1a3f5ca6,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_5995634,test,BIN_5995634,10982,CWE-123,52,664,54|55|63|64|66|67|68|69|126|127,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|dataCopy:0|data:0,53|55|57|58|59|60|64|68|69|73|77|79|80|84|85|86|87|88|92|96|97|103|75|82|90|94|99|110|112|114|116|119|121|126|127|142|143|144|145|147,664,125,11,13,48e21a1143a0c6f7,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_5995634,train,BIN_3191889,10988,CWE-123,-1,-1,,,,132,32,1,0,c568c4034c30412b,90c064901390691a,_zn51cwe123_write_what_where_condition__listen_socket_43l9badsourceer10_badstruct,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:qwordptr_[rbp-8],rax lea:rax,[rbp-N] mov:qwordptr_[rbp-N],"
BIN_6703706,train,BIN_9734886,41129,CWE-468,17,114,23|24|27,intArray:0|intPointer:1|toPrint:0,18|23|24|27|28|30|36,114,26,1,0,ae1a74931404901e,d35fe08b53986cb6,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dwordptr_[rbp-N],9 mov:dwordptr"
BIN_6703706,train,BIN_6747213,41131,CWE-468,17,133,19|23|24|27,j:0|intArray:0|intPointer:1|toPrint:0,18|20|23|24|27|28|20|31,133,31,1,2,949590ded4836834,bdabbd9accfd2f55,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dw"
BIN_6703706,train,BIN_1492244,41132,CWE-468,17,114,22|23|26,intArray:0|intPointer:1|toPrint:0,18|19|22|23|26|27|29,114,26,1,0,cf402597f31096c9,d35fe08b53986cb6,printintline,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dwordptr_[rbp-N],9 mov:dwo"
BIN_6703706,train,BIN_7797754,41134,CWE-469,21,111,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|26|27|30|31|33|36|38|41,111,28,3,1,473d7ec347403415,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,1 c"
BIN_6703706,test,BIN_6703706,41139,CWE-469,26,122,31|32|33|34,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,27|28|31|32|35|36|38|41|43|46,122,31,3,2,d064901a83007393,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax"
BIN_6703706,train,BIN_4596364,41143,CWE-469,21,120,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|23|26|27|30|31|33|36|38|41,120,31,4,2,3fcc1746f17e5271,ec7d2bef62ab2cac,globalreturnstrue|strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[r"
BIN_6703706,train,BIN_4822127,41144,CWE-469,21,207,26|27|28|29|44|45|46,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0|string1:0|slashInString1:1|indexOfSlashInString1:0,22|23|26|27|30|31|33|36|38|58|44|47|48|50|53|55|58,207,51,7,4,df1c49ad0ec8115b,66365c97da6aeff7,globalreturnstrueorfalse|strchr|exit|printunsignedline|strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-N],rax cmp:qwordptr_[r"
BIN_6703706,train,BIN_1764225,41148,CWE-469,21,112,26|27|28|29,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|26|27|30|31|33|36|38|40|42,112,29,3,1,d00eb4281134a30a,ec7d2bef62ab2cac,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,1 c"
BIN_6703706,train,BIN_3832060,41149,CWE-469,21,131,23|27|28|29|30,j:0|string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,22|24|27|28|31|32|34|37|39|24|42,131,34,3,3,ad76585e701b3a1a,78b11b8e84ce78df,strchr|exit|printunsignedline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax call:N mov:qwordptr_[rbp-N],rax cmp:qwordpt"
BIN_8556812,train,BIN_4603823,41849,CWE-526,17,51,,,18|19|22|24,51,16,2,1,e342ac2996b051fc,da39a3ee5e6b4b0d,getenv|printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_2990915,41851,CWE-526,17,64,,,18|19|22|29|27|29,64,19,4,2,489560ea37a753d2,da39a3ee5e6b4b0d,globalreturnstrueorfalse|getenv|printline|printline,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N jmp:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_6486244,41854,CWE-526,17,39,,,18|23|24|30,39,13,2,0,bac00152c7aaf315,da39a3ee5e6b4b0d,getenv|printline,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N nop: nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_3799682,41855,CWE-526,17,39,,,18|22|23|25,39,13,2,0,bac00152c7aaf315,da39a3ee5e6b4b0d,getenv|printline,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N nop: nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_3246491,41856,CWE-526,17,58,19,j:0,18|20|23|20|25,58,18,2,2,6bf32730708aadbc,e209f9b8384c810f,getenv|printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N add:dwordptr_[rbp-4],1 cmp:dwordptr_[rbp-4],0 jle:N nop: nop: add:rsp,N pop:rbp ret:"
BIN_8556812,test,BIN_8556812,41857,CWE-526,17,39,,,18|19|22|23,39,13,2,0,4019af03ef25f083,da39a3ee5e6b4b0d,getenv|printline,"push:rbp mov:rbp,rsp sub:rsp,N nop: lea:rax,[rip+N] mov:rcx,rax call:N mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_9430159,41858,CWE-546,17,30,,,18|23|24,30,10,1,0,29d1f70a86127892,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_6849488,41859,CWE-546,17,30,,,18|25|27,30,10,1,0,29d1f70a86127892,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_5879761,41861,CWE-546,23,39,,,24|25|31|33,39,13,1,1,fb20f147ffd896e9,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,1 test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_2428346,41862,CWE-546,23,40,,,24|25|31|33,40,13,1,1,fb20f147ffd896e9,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_8221894,41863,CWE-546,22,40,,,23|24|30|32,40,13,1,1,b299b2e40f7fd414,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_7889231,41864,CWE-546,22,41,,,23|24|30|32,41,13,1,1,b299b2e40f7fd414,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_8935223,41866,CWE-546,17,43,,,18|19|25|27,43,14,1,1,1dbb801412aad191,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_8556812,train,BIN_4607895,41867,CWE-546,17,43,,,18|19|25|27,43,14,1,1,1dbb801412aad191,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] test:eax,eax je:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
