start,end,cwe,n,n_train,n_test,first_bid,last_bid
40010,40954,CWE-457,817,469,348,BIN_6134162,BIN_9426721
40958,40993,CWE-459,36,26,10,BIN_8225696,BIN_4599756
40994,41022,CWE-464,28,18,10,BIN_4184059,BIN_1593911
41042,41095,CWE-467,54,34,20,BIN_6335228,BIN_9928441
41096,41132,CWE-468,37,24,13,BIN_4789601,BIN_1492244
41133,41168,CWE-469,36,17,19,BIN_6537894,BIN_5732495
41169,41204,CWE-475,36,18,18,BIN_1498002,BIN_3701837
41205,41537,CWE-476,236,138,98,BIN_8140541,BIN_9979640
41553,41570,CWE-478,18,12,6,BIN_1446375,BIN_5091731
41571,41588,CWE-479,18,8,10,BIN_5502682,BIN_5739603
41589,41606,CWE-480,18,9,9,BIN_5474899,BIN_4967771
41607,41624,CWE-481,18,10,8,BIN_9654614,BIN_6664466
41625,41642,CWE-482,18,10,8,BIN_3584569,BIN_6011955
41643,41662,CWE-483,20,11,9,BIN_9130358,BIN_4390572
41663,41680,CWE-484,18,11,7,BIN_9717506,BIN_8083459
41716,41751,CWE-510,36,19,17,BIN_8894828,BIN_8901096
41786,41839,CWE-511,54,27,27,BIN_4493890,BIN_4560044
41840,41857,CWE-526,18,9,9,BIN_3012821,BIN_8556812
41858,41947,CWE-546,90,55,35,BIN_9430159,BIN_1789203
41948,41949,CWE-561,2,1,1,BIN_5614966,BIN_1574217
41950,41952,CWE-562,3,1,2,BIN_3711506,BIN_3228938
41955,42457,CWE-563,366,207,159,BIN_9428082,BIN_1584416
42465,42480,CWE-570,16,10,6,BIN_5724473,BIN_3192387
42481,42496,CWE-571,16,8,8,BIN_4002810,BIN_9702897
42497,42514,CWE-587,18,11,7,BIN_4865561,BIN_8795417
42515,42579,CWE-588,50,28,22,BIN_8596009,BIN_5467824
42595,45259,CWE-590,1675,965,710,BIN_7323744,BIN_2297803
45275,45292,CWE-605,18,10,8,BIN_8390834,BIN_9004746
45293,45753,CWE-606,280,162,118,BIN_8077253,BIN_7797326
45773,46078,CWE-617,186,93,93,BIN_6139051,BIN_8656261
46079,46252,CWE-665,112,60,52,BIN_7466117,BIN_4526444
46272,46361,CWE-666,90,56,34,BIN_7511557,BIN_8218311
46380,46407,CWE-672,27,19,8,BIN_7361949,BIN_7635740
46427,46428,CWE-674,2,1,1,BIN_8585579,BIN_1133206
46429,46553,CWE-675,84,53,31,BIN_8439178,BIN_5918531
46573,46590,CWE-676,18,9,9,BIN_2861522,BIN_2676082
46591,47147,CWE-680,336,194,142,BIN_8295318,BIN_2519261
47167,47220,CWE-681,54,35,19,BIN_4505205,BIN_5190087
47221,47238,CWE-685,18,10,8,BIN_4248613,BIN_5472113
47239,47256,CWE-688,18,13,5,BIN_5812351,BIN_2935720
47257,48149,CWE-690,532,301,231,BIN_1290809,BIN_5155602
48169,48745,CWE-758,577,309,268,BIN_7613973,BIN_5784390
48746,49302,CWE-761,336,186,150,BIN_3612931,BIN_4550753
49324,52866,CWE-762,2072,1168,904,BIN_5589622,BIN_6406922
52886,52962,CWE-773,56,36,20,BIN_8628679,BIN_2338043
52982,53058,CWE-775,56,30,26,BIN_2677377,BIN_2320082
53078,54018,CWE-789,560,318,242,BIN_4774859,BIN_5756538
54038,55938,CWE-078,1119,621,498,BIN_1802324,BIN_9986146
55976,55981,CWE-835,6,4,2,BIN_4269966,BIN_8993957
55982,56046,CWE-843,50,27,23,BIN_4568804,BIN_2266130
