binary_id,sid,true,left,right,ldist,rdist,nearest_left_tie,nearest_right_tie,agree,maj3,maj5,maj7,boundary,dist_sum
BIN_4188820,10832,CWE-122,CWE-122,CWE-126,1,1,CWE-122,CWE-126,,CWE-122,CWE-122,CWE-122,True,2
BIN_3056539,10839,CWE-122,CWE-126,CWE-122,2,1,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,3
BIN_5683592,10843,CWE-122,CWE-122,CWE-126,1,2,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,3
BIN_1952368,10847,CWE-126,CWE-122,CWE-126,1,1,CWE-122,CWE-126,,CWE-126,CWE-122,CWE-122,True,2
BIN_1091477,10848,CWE-126,CWE-126,CWE-122,1,3,CWE-126,CWE-126,,CWE-122,CWE-122,CWE-122,True,4
BIN_8437590,10851,CWE-122,CWE-126,CWE-122,3,1,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-126,True,4
BIN_1260116,10854,CWE-122,CWE-122,CWE-126,2,3,CWE-122,CWE-122,,CWE-122,CWE-126,CWE-126,True,5
BIN_4377584,10857,CWE-126,CWE-122,CWE-126,3,1,CWE-126,CWE-126,,CWE-126,CWE-122,CWE-122,True,4
BIN_7508370,10859,CWE-126,CWE-126,CWE-122,1,1,CWE-126,CWE-122,,CWE-122,CWE-126,CWE-122,True,2
BIN_5188774,10860,CWE-122,CWE-126,CWE-122,1,1,CWE-126,CWE-122,,CWE-126,CWE-126,CWE-126,True,2
BIN_1781678,10861,CWE-122,CWE-122,CWE-126,1,1,CWE-122,CWE-126,,CWE-122,CWE-126,CWE-126,True,2
BIN_6961271,10864,CWE-126,CWE-122,CWE-126,1,1,CWE-122,CWE-126,,CWE-122,CWE-122,CWE-122,True,2
BIN_8045376,10865,CWE-126,CWE-126,CWE-123,1,1,CWE-126,CWE-123,,CWE-123,CWE-123,CWE-123,True,2
BIN_5521635,10866,CWE-123,CWE-126,CWE-123,1,1,CWE-126,CWE-123,,CWE-123,CWE-123,CWE-123,True,2
BIN_8206923,11010,CWE-124,CWE-123,CWE-124,22,2,CWE-124,CWE-124,,CWE-124,CWE-124,CWE-124,True,24
BIN_2388425,13058,CWE-126,CWE-124,CWE-126,16,1,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-126,True,17
BIN_3489999,14510,CWE-127,CWE-126,CWE-127,16,1,CWE-127,CWE-127,,CWE-127,CWE-127,CWE-127,True,17
BIN_8745243,16559,CWE-134,CWE-127,CWE-134,17,2,CWE-134,CWE-134,,CWE-134,CWE-134,CWE-134,True,19
BIN_4187231,18937,CWE-134,CWE-134,CWE-188,3,22,CWE-134,CWE-134,,CWE-134,CWE-134,CWE-134,True,25
BIN_3332501,18959,CWE-188,CWE-134,CWE-188,22,1,CWE-188,CWE-188,,CWE-188,CWE-188,CWE-188,True,23
BIN_3097684,18992,CWE-188,CWE-188,CWE-190,1,4,CWE-188,CWE-188,,CWE-188,CWE-188,CWE-188,True,5
BIN_5477929,18996,CWE-190,CWE-188,CWE-190,4,1,CWE-190,CWE-190,,CWE-190,CWE-190,CWE-190,True,5
BIN_8455169,22956,CWE-191,CWE-190,CWE-191,14,5,CWE-191,CWE-191,,CWE-191,CWE-191,CWE-191,True,19
BIN_7295120,25892,CWE-191,CWE-191,CWE-194,7,15,CWE-191,CWE-191,,CWE-191,CWE-191,CWE-191,True,22
BIN_8553281,25907,CWE-194,CWE-191,CWE-194,15,1,CWE-194,CWE-194,,CWE-194,CWE-194,CWE-194,True,16
BIN_5308041,27059,CWE-195,CWE-194,CWE-195,21,2,CWE-195,CWE-195,,CWE-195,CWE-195,CWE-195,True,23
BIN_2513813,28210,CWE-196,CWE-195,CWE-196,20,4,CWE-196,CWE-196,,CWE-196,CWE-196,CWE-196,True,24
BIN_8474332,28226,CWE-196,CWE-196,CWE-197,6,2,CWE-197,CWE-197,,CWE-197,CWE-197,CWE-197,True,8
BIN_1382028,28228,CWE-197,CWE-196,CWE-197,2,3,CWE-196,CWE-196,,CWE-197,CWE-197,CWE-197,True,5
BIN_9071746,29071,CWE-197,CWE-197,CWE-023,2,22,CWE-197,CWE-197,,CWE-197,CWE-197,CWE-197,True,24
BIN_7819837,31013,CWE-242,CWE-023,CWE-242,22,2,CWE-242,CWE-242,,CWE-242,CWE-242,CWE-242,True,24
BIN_4945352,31029,CWE-242,CWE-242,CWE-252,2,1,CWE-252,CWE-252,,CWE-252,CWE-252,CWE-252,True,3
BIN_3179941,31030,CWE-252,CWE-242,CWE-252,1,1,CWE-242,CWE-252,,CWE-252,CWE-242,CWE-252,True,2
BIN_8200107,31568,CWE-252,CWE-252,CWE-253,2,2,CWE-252,CWE-253,,CWE-252,CWE-252,CWE-252,True,4
BIN_7568004,31570,CWE-253,CWE-252,CWE-253,2,2,CWE-252,CWE-253,,CWE-253,CWE-252,CWE-252,True,4
BIN_6573861,32109,CWE-253,CWE-253,CWE-364,1,1,CWE-253,CWE-364,,CWE-253,CWE-253,CWE-253,True,2
BIN_4270185,32164,CWE-367,CWE-364,CWE-367,37,2,CWE-367,CWE-367,,CWE-367,CWE-367,CWE-367,True,39
BIN_6627936,32197,CWE-367,CWE-367,CWE-369,1,4,CWE-367,CWE-367,,CWE-367,CWE-367,CWE-367,True,5
BIN_7460130,32201,CWE-369,CWE-367,CWE-369,4,1,CWE-369,CWE-369,,CWE-369,CWE-369,CWE-369,True,5
BIN_3607312,34984,CWE-377,CWE-036,CWE-377,20,1,CWE-377,CWE-377,,CWE-377,CWE-377,CWE-377,True,21
BIN_7712857,35091,CWE-377,CWE-377,CWE-390,4,2,CWE-390,CWE-390,,CWE-390,CWE-377,CWE-377,True,6
BIN_8273378,35178,CWE-390,CWE-390,CWE-391,1,6,CWE-390,CWE-390,,CWE-390,CWE-390,CWE-390,True,7
BIN_1225491,35184,CWE-391,CWE-390,CWE-391,6,1,CWE-391,CWE-391,,CWE-391,CWE-391,CWE-391,True,7
BIN_6027412,35235,CWE-391,CWE-391,CWE-396,1,3,CWE-391,CWE-391,,CWE-391,CWE-391,CWE-391,True,4
BIN_9463034,35309,CWE-398,CWE-397,CWE-398,1,1,CWE-397,CWE-398,,CWE-397,CWE-397,CWE-398,True,2
BIN_6521703,35488,CWE-398,CWE-398,CWE-400,1,3,CWE-398,CWE-398,,CWE-398,CWE-400,CWE-400,True,4
BIN_2335031,35491,CWE-400,CWE-398,CWE-400,3,1,CWE-400,CWE-400,,CWE-400,CWE-400,CWE-400,True,4
BIN_6143462,36210,CWE-401,CWE-400,CWE-401,20,1,CWE-401,CWE-401,,CWE-401,CWE-401,CWE-401,True,21
BIN_4777468,37847,CWE-401,CWE-401,CWE-404,1,23,CWE-401,CWE-401,,CWE-401,CWE-401,CWE-401,True,24
BIN_9531146,37870,CWE-404,CWE-401,CWE-404,23,1,CWE-404,CWE-404,,CWE-404,CWE-404,CWE-404,True,24
BIN_2859427,37916,CWE-415,CWE-404,CWE-415,22,1,CWE-415,CWE-415,,CWE-415,CWE-415,CWE-415,True,23
BIN_1662419,38879,CWE-416,CWE-415,CWE-416,23,1,CWE-416,CWE-416,,CWE-416,CWE-416,CWE-416,True,24
BIN_4419316,39336,CWE-416,CWE-416,CWE-426,1,1,CWE-416,CWE-426,,CWE-416,CWE-416,CWE-416,True,2
BIN_7732417,39337,CWE-426,CWE-416,CWE-426,1,1,CWE-416,CWE-426,,CWE-416,CWE-416,CWE-416,True,2
BIN_8976210,39508,CWE-426,CWE-426,CWE-427,1,21,CWE-426,CWE-426,,CWE-426,CWE-426,CWE-426,True,22
BIN_8147837,39529,CWE-427,CWE-426,CWE-427,21,1,CWE-427,CWE-427,,CWE-427,CWE-427,CWE-427,True,22
BIN_6134162,40010,CWE-457,CWE-427,CWE-457,23,5,CWE-457,CWE-457,,CWE-457,CWE-457,CWE-457,True,28
BIN_1012117,40952,CWE-457,CWE-457,CWE-459,3,6,CWE-457,CWE-457,,CWE-457,CWE-457,CWE-459,True,9
BIN_8225696,40958,CWE-459,CWE-457,CWE-459,6,1,CWE-459,CWE-459,,CWE-459,CWE-459,CWE-459,True,7
BIN_4599756,40993,CWE-459,CWE-459,CWE-464,1,3,CWE-459,CWE-459,,CWE-459,CWE-459,CWE-459,True,4
BIN_2162526,40996,CWE-464,CWE-459,CWE-464,3,2,CWE-464,CWE-464,,CWE-464,CWE-464,CWE-464,True,5
BIN_8039084,41021,CWE-464,CWE-464,CWE-467,1,21,CWE-464,CWE-464,,CWE-464,CWE-464,CWE-464,True,22
BIN_6335228,41042,CWE-467,CWE-464,CWE-467,21,1,CWE-467,CWE-467,,CWE-467,CWE-467,CWE-467,True,22
BIN_9928441,41095,CWE-467,CWE-467,CWE-468,1,1,CWE-467,CWE-468,,CWE-467,CWE-467,CWE-467,True,2
BIN_4789601,41096,CWE-468,CWE-467,CWE-468,1,1,CWE-467,CWE-468,,CWE-467,CWE-467,CWE-467,True,2
BIN_1492244,41132,CWE-468,CWE-468,CWE-469,1,2,CWE-468,CWE-468,,CWE-468,CWE-468,CWE-468,True,3
BIN_7797754,41134,CWE-469,CWE-468,CWE-469,2,9,CWE-468,CWE-468,,CWE-468,CWE-468,CWE-468,True,11
BIN_5732495,41168,CWE-469,CWE-469,CWE-475,1,1,CWE-469,CWE-475,,CWE-475,CWE-475,CWE-475,True,2
BIN_1498002,41169,CWE-475,CWE-469,CWE-475,1,2,CWE-469,CWE-469,,CWE-469,CWE-469,CWE-469,True,3
BIN_3701837,41204,CWE-475,CWE-475,CWE-476,1,1,CWE-475,CWE-476,,CWE-476,CWE-476,CWE-476,True,2
BIN_8140541,41205,CWE-476,CWE-475,CWE-476,1,3,CWE-475,CWE-475,,CWE-475,CWE-475,CWE-475,True,4
BIN_1446375,41553,CWE-478,CWE-476,CWE-478,16,1,CWE-478,CWE-478,,CWE-478,CWE-478,CWE-478,True,17
BIN_9880299,41569,CWE-478,CWE-478,CWE-479,2,3,CWE-478,CWE-478,,CWE-478,CWE-478,CWE-478,True,5
BIN_9985029,41572,CWE-479,CWE-478,CWE-479,3,1,CWE-479,CWE-479,,CWE-479,CWE-478,CWE-478,True,4
BIN_5739603,41588,CWE-479,CWE-479,CWE-480,1,2,CWE-479,CWE-479,,CWE-480,CWE-480,CWE-479,True,3
BIN_9403029,41590,CWE-480,CWE-479,CWE-480,2,1,CWE-480,CWE-480,,CWE-479,CWE-480,CWE-480,True,3
BIN_6532785,41605,CWE-480,CWE-480,CWE-481,1,2,CWE-480,CWE-480,,CWE-480,CWE-481,CWE-480,True,3
BIN_9654614,41607,CWE-481,CWE-480,CWE-481,2,1,CWE-481,CWE-481,,CWE-480,CWE-480,CWE-481,True,3
BIN_6664466,41624,CWE-481,CWE-481,CWE-482,1,2,CWE-481,CWE-481,,CWE-481,CWE-482,CWE-482,True,3
BIN_1388029,41626,CWE-482,CWE-481,CWE-482,2,1,CWE-482,CWE-482,,CWE-482,CWE-482,CWE-482,True,3
BIN_6011955,41642,CWE-482,CWE-482,CWE-483,1,1,CWE-482,CWE-483,,CWE-483,CWE-483,CWE-483,True,2
BIN_9130358,41643,CWE-483,CWE-482,CWE-483,1,1,CWE-482,CWE-483,,CWE-482,CWE-483,CWE-483,True,2
BIN_8583996,41660,CWE-483,CWE-483,CWE-484,4,3,CWE-484,CWE-484,,CWE-484,CWE-483,CWE-483,True,7
BIN_9717506,41663,CWE-484,CWE-483,CWE-484,3,2,CWE-484,CWE-484,,CWE-484,CWE-484,CWE-484,True,5
BIN_7560773,41679,CWE-484,CWE-484,CWE-510,2,37,CWE-484,CWE-484,,CWE-484,CWE-484,CWE-484,True,39
BIN_8894828,41716,CWE-510,CWE-484,CWE-510,37,5,CWE-510,CWE-510,,CWE-510,CWE-510,CWE-510,True,42
BIN_8901096,41751,CWE-510,CWE-510,CWE-511,2,35,CWE-510,CWE-510,,CWE-510,CWE-510,CWE-510,True,37
BIN_4493890,41786,CWE-511,CWE-510,CWE-511,35,1,CWE-511,CWE-511,,CWE-511,CWE-511,CWE-511,True,36
BIN_6298070,41838,CWE-511,CWE-511,CWE-526,5,3,CWE-526,CWE-526,,CWE-526,CWE-526,CWE-526,True,8
BIN_7113257,41841,CWE-526,CWE-511,CWE-526,3,1,CWE-526,CWE-526,,CWE-526,CWE-526,CWE-526,True,4
BIN_3246491,41856,CWE-526,CWE-526,CWE-546,1,2,CWE-526,CWE-526,,CWE-526,CWE-526,CWE-546,True,3
BIN_9430159,41858,CWE-546,CWE-526,CWE-546,2,1,CWE-546,CWE-546,,CWE-526,CWE-526,CWE-546,True,3
BIN_1789203,41947,CWE-546,CWE-546,CWE-561,2,1,CWE-561,CWE-561,,CWE-546,CWE-546,CWE-546,True,3
BIN_5614966,41948,CWE-561,CWE-546,CWE-562,1,3,CWE-546,CWE-546,,CWE-546,CWE-546,CWE-546,True,4
BIN_5076009,41957,CWE-563,CWE-562,CWE-563,6,1,CWE-563,CWE-563,,CWE-563,CWE-563,CWE-563,True,7
BIN_5724473,42465,CWE-570,CWE-563,CWE-570,8,1,CWE-570,CWE-570,,CWE-570,CWE-570,CWE-570,True,9
BIN_3192387,42480,CWE-570,CWE-570,CWE-571,3,1,CWE-571,CWE-571,,CWE-570,CWE-570,CWE-570,True,4
BIN_4002810,42481,CWE-571,CWE-570,CWE-571,1,3,CWE-570,CWE-570,,CWE-570,CWE-570,CWE-570,True,4
BIN_9702897,42496,CWE-571,CWE-571,CWE-587,1,2,CWE-571,CWE-571,,CWE-571,CWE-571,CWE-571,True,3
BIN_7656369,42498,CWE-587,CWE-571,CWE-587,2,2,CWE-571,CWE-587,,CWE-571,CWE-571,CWE-571,True,4
BIN_8795417,42514,CWE-587,CWE-587,CWE-588,1,2,CWE-587,CWE-587,,CWE-587,CWE-587,CWE-587,True,3
BIN_8390834,45275,CWE-605,CWE-590,CWE-605,16,2,CWE-605,CWE-605,,CWE-605,CWE-605,CWE-605,True,18
BIN_9004746,45292,CWE-605,CWE-605,CWE-606,2,1,CWE-606,CWE-606,,CWE-605,CWE-605,CWE-605,True,3
BIN_8077253,45293,CWE-606,CWE-605,CWE-606,1,2,CWE-605,CWE-605,,CWE-605,CWE-605,CWE-605,True,3
BIN_6139051,45773,CWE-617,CWE-606,CWE-617,20,1,CWE-617,CWE-617,,CWE-617,CWE-617,CWE-617,True,21
BIN_8656261,46078,CWE-617,CWE-617,CWE-665,3,1,CWE-665,CWE-665,,CWE-617,CWE-665,CWE-665,True,4
BIN_7466117,46079,CWE-665,CWE-617,CWE-665,1,4,CWE-617,CWE-617,,CWE-617,CWE-617,CWE-665,True,5
BIN_7511557,46272,CWE-666,CWE-665,CWE-666,24,1,CWE-666,CWE-666,,CWE-666,CWE-666,CWE-666,True,25
BIN_8218311,46361,CWE-666,CWE-666,CWE-672,3,19,CWE-666,CWE-666,,CWE-666,CWE-666,CWE-666,True,22
BIN_1133206,46428,CWE-674,CWE-672,CWE-675,21,1,CWE-675,CWE-675,,CWE-675,CWE-675,CWE-675,True,22
BIN_8439178,46429,CWE-675,CWE-674,CWE-675,1,1,CWE-674,CWE-675,,CWE-675,CWE-675,CWE-675,True,2
BIN_8295318,46591,CWE-680,CWE-676,CWE-680,1,1,CWE-676,CWE-680,,CWE-680,CWE-680,CWE-680,True,2
BIN_4505205,47167,CWE-681,CWE-680,CWE-681,24,1,CWE-681,CWE-681,,CWE-681,CWE-681,CWE-681,True,25
BIN_6608892,47219,CWE-681,CWE-681,CWE-685,2,2,CWE-681,CWE-685,,CWE-685,CWE-685,CWE-685,True,4
BIN_4248613,47221,CWE-685,CWE-681,CWE-685,2,1,CWE-685,CWE-685,,CWE-685,CWE-685,CWE-685,True,3
BIN_5278793,47236,CWE-685,CWE-685,CWE-688,1,4,CWE-685,CWE-685,,CWE-685,CWE-685,CWE-685,True,5
BIN_4473406,47240,CWE-688,CWE-685,CWE-688,4,1,CWE-688,CWE-688,,CWE-688,CWE-688,CWE-688,True,5
BIN_2935720,47256,CWE-688,CWE-688,CWE-690,1,1,CWE-688,CWE-690,,CWE-688,CWE-688,CWE-688,True,2
BIN_1290809,47257,CWE-690,CWE-688,CWE-690,1,3,CWE-688,CWE-688,,CWE-688,CWE-688,CWE-688,True,4
BIN_3240352,48171,CWE-758,CWE-690,CWE-758,22,2,CWE-758,CWE-758,,CWE-758,CWE-758,CWE-758,True,24
BIN_3612931,48746,CWE-761,CWE-758,CWE-761,1,1,CWE-758,CWE-761,,CWE-758,CWE-758,CWE-758,True,2
BIN_6720975,49301,CWE-761,CWE-761,CWE-762,1,23,CWE-761,CWE-761,,CWE-761,CWE-761,CWE-761,True,24
BIN_8019297,52887,CWE-773,CWE-762,CWE-773,22,4,CWE-773,CWE-773,,CWE-773,CWE-773,CWE-773,True,26
BIN_8589064,52959,CWE-773,CWE-773,CWE-775,1,23,CWE-773,CWE-773,,CWE-773,CWE-773,CWE-773,True,24
BIN_2677377,52982,CWE-775,CWE-773,CWE-775,23,4,CWE-775,CWE-775,,CWE-775,CWE-775,CWE-775,True,27
BIN_4774859,53078,CWE-789,CWE-775,CWE-789,20,2,CWE-789,CWE-789,,CWE-789,CWE-789,CWE-789,True,22
BIN_8990922,54040,CWE-078,CWE-789,CWE-078,28,3,CWE-078,CWE-078,,CWE-078,CWE-078,CWE-078,True,31
BIN_4269966,55976,CWE-835,CWE-078,CWE-835,40,2,CWE-835,CWE-835,,CWE-835,CWE-835,CWE-843,True,42
BIN_8868698,55980,CWE-835,CWE-835,CWE-843,1,2,CWE-835,CWE-835,,CWE-835,CWE-835,CWE-843,True,3
BIN_4568804,55982,CWE-843,CWE-835,CWE-843,2,2,CWE-835,CWE-843,,CWE-835,CWE-835,CWE-835,True,4
