binary_id,source_id_num,cwe_id,pred,n_keys,key_list,max_support,min_wrong,max_acc,left_sid,left_bid,left_cwe,left_dist,right_sid,right_bid,right_cwe,right_dist
BIN_1774050,34532,CWE-036,CWE-023,1,key_ins_tail36,4,97,0.9869588599085776,34529,BIN_7150658,CWE-036,3,34553,BIN_4984777,CWE-036,21
BIN_1812963,4913,CWE-121,CWE-126,1,key_op_full,2,56,0.9925788497217068,4912,BIN_2813467,CWE-121,1,4914,BIN_8892575,CWE-126,1
BIN_1858414,45653,CWE-606,CWE-134,2,key_ins_full|key_len_ins_calls,5,70,0.9870514243433224,45651,BIN_1693661,CWE-606,2,45655,BIN_1803314,CWE-606,2
BIN_1859093,35483,CWE-398,CWE-546,7,key_ins_full|key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36|key_len_ins_calls|key_op_full,2,56,0.9933922671667114,35481,BIN_4216303,CWE-398,2,35484,BIN_6825157,CWE-398,1
BIN_1864310,33847,CWE-036,CWE-023,2,key_ins_tail30|key_ins_tail36,2,80,0.990573818781666,33845,BIN_9430281,CWE-036,2,33848,BIN_4906345,CWE-036,1
BIN_1911926,25352,CWE-191,CWE-190,2,key_len_ins_calls|key_marker_tail,2,46,0.9945901446548278,25351,BIN_9406052,CWE-191,1,25353,BIN_9057633,CWE-191,1
BIN_1928970,34912,CWE-036,CWE-023,1,key_ins_tail36,2,97,0.9869588599085776,34910,BIN_9644421,CWE-036,2,34913,BIN_9076887,CWE-036,1
BIN_1945140,24887,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,24886,BIN_3819698,CWE-191,1,24888,BIN_6349969,CWE-191,1
BIN_2006638,31953,CWE-253,CWE-252,1,key_op_full,2,56,0.9925788497217068,31952,BIN_5212786,CWE-253,1,31956,BIN_2657257,CWE-253,3
BIN_2016166,2417,CWE-121,CWE-590,1,key_len_ins_calls,2,377,0.9334157541504768,2415,BIN_6768217,CWE-121,2,2418,BIN_8195206,CWE-121,1
BIN_2049942,2457,CWE-121,CWE-590,1,key_len_ins_calls,2,377,0.9334157541504768,2455,BIN_6637339,CWE-121,2,2458,BIN_3784614,CWE-121,1
BIN_2057627,45200,CWE-590,CWE-126,1,key_len_ins_calls,3,377,0.9334157541504768,45198,BIN_2443720,CWE-590,2,45203,BIN_5634010,CWE-590,3
BIN_2058840,19684,CWE-190,CWE-191,6,key_ins_full|key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36|key_op_full,3,56,0.9933922671667114,19683,BIN_1053932,CWE-190,1,19686,BIN_9689606,CWE-190,2
BIN_2072592,37069,CWE-401,CWE-690,5,key_ins_full|key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36,2,70,0.9933922671667114,37068,BIN_3578843,CWE-401,1,37071,BIN_1746906,CWE-401,2
BIN_2095537,25244,CWE-191,CWE-190,1,key_marker_tail,2,46,0.9945901446548278,25242,BIN_2597547,CWE-191,2,25248,BIN_9226986,CWE-191,4
BIN_2096859,12677,CWE-124,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,12675,BIN_9413323,CWE-124,2,12678,BIN_5824301,CWE-124,1
BIN_2112798,41578,CWE-479,CWE-252,1,key_op_full,2,56,0.9925788497217068,41575,BIN_5771534,CWE-479,3,41579,BIN_5822239,CWE-479,1
BIN_2112798,41578,CWE-479,CWE-253,1,key_len_ins_calls,3,377,0.9334157541504768,41575,BIN_5771534,CWE-479,3,41579,BIN_5822239,CWE-479,1
BIN_2127637,34960,CWE-036,CWE-023,1,key_ins_tail36,2,97,0.9869588599085776,34959,BIN_8734110,CWE-036,1,34962,BIN_3854892,CWE-036,2
BIN_2143047,10693,CWE-122,CWE-401,1,key_len_ins_calls,4,377,0.9334157541504768,10692,BIN_3826653,CWE-122,1,10695,BIN_7196693,CWE-122,2
BIN_2173259,22970,CWE-191,CWE-190,2,key_len_ins_calls|key_marker_tail,2,46,0.9945901446548278,22969,BIN_6420006,CWE-191,1,22971,BIN_5470775,CWE-191,1
BIN_2184735,44611,CWE-590,CWE-773,1,key_len_ins_calls,2,377,0.9334157541504768,44609,BIN_6273518,CWE-590,2,44613,BIN_3342506,CWE-590,2
BIN_2237991,19297,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,19294,BIN_4131114,CWE-190,3,19298,BIN_6466276,CWE-190,1
BIN_2276936,39453,CWE-426,CWE-078,1,key_ins_tail18,3,74,0.9933922671667114,39451,BIN_5329558,CWE-426,2,39458,BIN_4809505,CWE-426,5
BIN_2324619,46192,CWE-665,CWE-124,1,key_ins_tail18,3,74,0.9933922671667114,46190,BIN_3792007,CWE-665,2,46193,BIN_8561786,CWE-665,1
BIN_2327855,45512,CWE-606,CWE-134,1,key_ins_full,2,70,0.9870514243433224,45508,BIN_4779327,CWE-606,4,45513,BIN_2814919,CWE-606,1
BIN_2328806,26437,CWE-194,CWE-195,1,key_len_ins_calls,2,377,0.9334157541504768,26436,BIN_8067151,CWE-194,1,26438,BIN_6302593,CWE-194,1
BIN_2347300,23120,CWE-191,CWE-190,1,key_len_ins_calls,3,377,0.9334157541504768,23118,BIN_5683167,CWE-191,2,23121,BIN_7464218,CWE-191,1
BIN_2347922,22362,CWE-190,CWE-191,2,key_len_ins_calls|key_marker_tail,2,46,0.9945901446548278,22360,BIN_6361736,CWE-190,2,22363,BIN_3878160,CWE-190,1
BIN_2372958,45311,CWE-606,CWE-134,5,key_ins_full|key_ins_tail30|key_ins_tail36|key_len_ins_calls|key_op_full,4,56,0.9925788497217068,45309,BIN_1390595,CWE-606,2,45313,BIN_1994067,CWE-606,2
BIN_2386122,33367,CWE-036,CWE-023,2,key_ins_tail30|key_ins_tail36,2,80,0.990573818781666,33365,BIN_5295376,CWE-036,2,33369,BIN_9113010,CWE-036,2
BIN_2457936,13410,CWE-126,CWE-121,1,key_callseq,3,61,0.9922970071978784,13408,BIN_4041572,CWE-126,2,13411,BIN_4909341,CWE-126,1
BIN_2504621,44645,CWE-590,CWE-122,1,key_len_ins_calls,5,377,0.9334157541504768,44644,BIN_4435930,CWE-590,1,44646,BIN_2126674,CWE-590,1
BIN_2505640,31334,CWE-252,CWE-762,1,key_len_ins_calls,14,377,0.9334157541504768,31332,BIN_3198092,CWE-252,2,31335,BIN_5395060,CWE-252,1
BIN_2507451,21602,CWE-190,CWE-191,1,key_marker_tail,2,46,0.9945901446548278,21600,BIN_7985849,CWE-190,2,21604,BIN_4688497,CWE-190,2
BIN_2566796,28478,CWE-197,CWE-690,1,key_len_ins_calls,3,377,0.9334157541504768,28474,BIN_7320786,CWE-197,4,28481,BIN_7465467,CWE-197,3
BIN_2570932,18981,CWE-188,CWE-398,1,key_len_ins_calls,3,377,0.9334157541504768,18976,BIN_3057071,CWE-188,5,18982,BIN_2148894,CWE-188,1
BIN_2571855,33716,CWE-036,CWE-023,4,key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36,2,74,0.9933922671667114,33714,BIN_2965030,CWE-036,2,33738,BIN_7020903,CWE-036,22
BIN_2584501,45365,CWE-606,CWE-134,1,key_ins_full,4,70,0.9870514243433224,45364,BIN_3848455,CWE-606,1,45367,BIN_8898165,CWE-606,2
BIN_2618159,34239,CWE-036,CWE-023,1,key_len_ins_calls,2,377,0.9334157541504768,34234,BIN_1450777,CWE-036,5,34241,BIN_9684048,CWE-036,2
BIN_2623770,10670,CWE-122,CWE-401,1,key_len_ins_calls,4,377,0.9334157541504768,10669,BIN_8890915,CWE-122,1,10688,BIN_2406856,CWE-122,18
BIN_2651110,45509,CWE-606,CWE-134,1,key_ins_full,4,70,0.9870514243433224,45508,BIN_4779327,CWE-606,1,45513,BIN_2814919,CWE-606,4
BIN_2655868,35464,CWE-398,CWE-546,1,key_body_hex,4,26,0.9740777666999004,35463,BIN_1324255,CWE-398,1,35466,BIN_5874301,CWE-398,2
BIN_2660104,21182,CWE-190,CWE-191,1,key_body_hex,2,26,0.9740777666999004,21180,BIN_9287832,CWE-190,2,21202,BIN_6616544,CWE-190,20
BIN_2663784,45320,CWE-606,CWE-134,3,key_ins_full|key_len_ins_calls|key_op_full,2,56,0.9925788497217068,45317,BIN_7011691,CWE-606,3,45342,BIN_4228256,CWE-606,22
BIN_2701373,33279,CWE-036,CWE-023,3,key_ins_tail24|key_ins_tail30|key_ins_tail36,2,79,0.991979695431472,33278,BIN_7042997,CWE-036,1,33280,BIN_1847519,CWE-036,1
BIN_2745664,52748,CWE-762,CWE-590,1,key_len_ins_calls,5,377,0.9334157541504768,52746,BIN_6064634,CWE-762,2,52749,BIN_9464587,CWE-762,1
BIN_2762424,14152,CWE-126,CWE-127,1,key_marker_tail,169,46,0.9945901446548278,14151,BIN_2148236,CWE-126,1,14153,BIN_1868254,CWE-126,1
BIN_2765474,13106,CWE-126,CWE-127,1,key_len_ins_calls,3,377,0.9334157541504768,13086,BIN_3504751,CWE-126,20,13110,BIN_3131403,CWE-126,4
BIN_2786911,23347,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,23345,BIN_9188450,CWE-191,2,23349,BIN_3825842,CWE-191,2
BIN_2813184,47313,CWE-690,CWE-590,1,key_len_ins_calls,2,377,0.9334157541504768,47311,BIN_3449935,CWE-690,2,47315,BIN_4305742,CWE-690,2
BIN_2824854,18987,CWE-188,CWE-415,1,key_len_ins_calls,10,377,0.9334157541504768,18986,BIN_4953257,CWE-188,1,18988,BIN_1257436,CWE-188,1
BIN_2826229,33757,CWE-036,CWE-023,1,key_ins_tail36,2,97,0.9869588599085776,33756,BIN_6504468,CWE-036,1,33761,BIN_6961258,CWE-036,4
BIN_2867257,32044,CWE-253,CWE-762,1,key_len_ins_calls,9,377,0.9334157541504768,32042,BIN_3096081,CWE-253,2,32048,BIN_3679857,CWE-253,4
BIN_2879242,41581,CWE-479,CWE-252,1,key_op_full,2,56,0.9925788497217068,41580,BIN_3700518,CWE-479,1,41582,BIN_9951717,CWE-479,1
BIN_2879242,41581,CWE-479,CWE-253,1,key_len_ins_calls,3,377,0.9334157541504768,41580,BIN_3700518,CWE-479,1,41582,BIN_9951717,CWE-479,1
BIN_2899706,19200,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,19195,BIN_9434123,CWE-190,5,19202,BIN_4433378,CWE-190,2
BIN_2907430,54161,CWE-078,CWE-134,2,key_len_ins_calls|key_op_full,2,56,0.9925788497217068,54160,BIN_4525764,CWE-078,1,54162,BIN_9396127,CWE-078,1
BIN_2919973,16454,CWE-127,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,16453,BIN_1550544,CWE-127,1,16456,BIN_3067637,CWE-127,2
BIN_2928788,48078,CWE-690,CWE-415,1,key_len_ins_calls,4,377,0.9334157541504768,48075,BIN_7174010,CWE-690,3,48079,BIN_3436711,CWE-690,1
BIN_2944726,41853,CWE-526,CWE-252,1,key_len_ins_calls,3,377,0.9334157541504768,41851,BIN_2990915,CWE-526,2,41854,BIN_6486244,CWE-526,1
BIN_2991142,34436,CWE-036,CWE-023,1,key_ins_tail36,4,97,0.9869588599085776,34435,BIN_3303702,CWE-036,1,34464,BIN_1747962,CWE-036,28
BIN_3002943,44137,CWE-590,CWE-775,1,key_len_ins_calls,3,377,0.9334157541504768,44136,BIN_2542958,CWE-590,1,44139,BIN_2360245,CWE-590,2
BIN_3021059,10792,CWE-122,CWE-401,1,key_len_ins_calls,4,377,0.9334157541504768,10786,BIN_1074985,CWE-122,6,10794,BIN_2345395,CWE-122,2
BIN_3036796,41596,CWE-480,CWE-563,1,key_body_hex,5,26,0.9740777666999004,41594,BIN_3475985,CWE-480,2,41597,BIN_7861537,CWE-480,1
BIN_3038181,7011,CWE-122,CWE-124,1,key_len_ins_calls,3,377,0.9334157541504768,7005,BIN_4319398,CWE-122,6,7014,BIN_4669139,CWE-122,3
BIN_3040886,24890,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,24888,BIN_6349969,CWE-191,2,24893,BIN_2955367,CWE-191,3
BIN_3046541,13108,CWE-126,CWE-127,1,key_len_ins_calls,3,377,0.9334157541504768,13086,BIN_3504751,CWE-126,22,13110,BIN_3131403,CWE-126,2
BIN_3066914,41019,CWE-464,CWE-400,1,key_callseq,6,61,0.9922970071978784,41018,BIN_4881725,CWE-464,1,41020,BIN_1824050,CWE-464,1
BIN_3074323,42479,CWE-570,CWE-457,1,key_len_ins_calls,5,377,0.9334157541504768,42477,BIN_3541045,CWE-570,2,42480,BIN_3192387,CWE-570,1
BIN_3074323,42479,CWE-570,CWE-571,1,key_marker_tail,2,46,0.9945901446548278,42477,BIN_3541045,CWE-570,2,42480,BIN_3192387,CWE-570,1
BIN_3074323,42479,CWE-570,CWE-789,1,key_callseq,3,61,0.9922970071978784,42477,BIN_3541045,CWE-570,2,42480,BIN_3192387,CWE-570,1
BIN_3106955,38844,CWE-415,CWE-762,1,key_ins_tail18,3,74,0.9933922671667114,38843,BIN_2929406,CWE-415,1,38845,BIN_7770160,CWE-415,1
BIN_3145191,15173,CWE-127,CWE-126,1,key_len_ins_calls,2,377,0.9334157541504768,15172,BIN_8112723,CWE-127,1,15176,BIN_2095385,CWE-127,3
BIN_3188887,10782,CWE-122,CWE-401,1,key_op_full,4,56,0.9925788497217068,10762,BIN_8867381,CWE-122,20,10785,BIN_6783432,CWE-122,3
BIN_3216551,21944,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,21941,BIN_6314500,CWE-190,3,21945,BIN_2678831,CWE-190,1
BIN_3224302,5279,CWE-122,CWE-789,1,key_len_ins_calls,2,377,0.9334157541504768,5278,BIN_5146272,CWE-122,1,5280,BIN_9494144,CWE-122,1
BIN_3228938,41952,CWE-562,CWE-416,1,key_callseq,12,61,0.9922970071978784,41951,BIN_6494103,CWE-562,1,41957,BIN_5076009,CWE-563,5
BIN_3244177,39363,CWE-426,CWE-078,5,key_ins_tail18|key_ins_tail24|key_ins_tail30|key_len_ins_calls|key_op_full,2,56,0.9933922671667114,39362,BIN_7467391,CWE-426,1,39364,BIN_7638185,CWE-426,1
BIN_3261365,7013,CWE-122,CWE-124,1,key_len_ins_calls,3,377,0.9334157541504768,7005,BIN_4319398,CWE-122,8,7014,BIN_4669139,CWE-122,1
BIN_3273022,41455,CWE-476,CWE-415,1,key_len_ins_calls,5,377,0.9334157541504768,41453,BIN_2577880,CWE-476,2,41459,BIN_8524215,CWE-476,4
BIN_3282117,25587,CWE-191,CWE-190,1,key_body_hex,2,26,0.9740777666999004,25585,BIN_5385652,CWE-191,2,25588,BIN_5762538,CWE-191,1
BIN_3311345,4380,CWE-121,CWE-124,1,key_ins_tail18,3,74,0.9933922671667114,4376,BIN_1943197,CWE-121,4,4382,BIN_4466058,CWE-121,2
BIN_3330042,36406,CWE-401,CWE-762,1,key_len_ins_calls,6,377,0.9334157541504768,36405,BIN_6511116,CWE-401,1,36407,BIN_3769759,CWE-401,1
BIN_3372307,35489,CWE-398,CWE-546,1,key_body_hex,4,26,0.9740777666999004,35488,BIN_6521703,CWE-398,1,35491,BIN_2335031,CWE-400,2
BIN_3380219,10737,CWE-122,CWE-758,1,key_op_full,9,56,0.9925788497217068,10736,BIN_7786285,CWE-122,1,10739,BIN_9861375,CWE-122,2
BIN_3404597,8884,CWE-122,CWE-401,1,key_len_ins_calls,3,377,0.9334157541504768,8883,BIN_4461416,CWE-122,1,8886,BIN_6992289,CWE-122,2
BIN_3451873,35075,CWE-377,CWE-122,1,key_len_ins_calls,3,377,0.9334157541504768,35071,BIN_8918145,CWE-377,4,35077,BIN_3805218,CWE-377,2
BIN_3457567,25574,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,25573,BIN_4141597,CWE-191,1,25575,BIN_2372050,CWE-191,1
BIN_3461274,2550,CWE-121,CWE-124,1,key_ins_tail24,4,79,0.991979695431472,2549,BIN_8401350,CWE-121,1,2552,BIN_9461461,CWE-121,2
BIN_3462698,52844,CWE-762,CWE-590,1,key_len_ins_calls,3,377,0.9334157541504768,52843,BIN_6313065,CWE-762,1,52845,BIN_8300980,CWE-762,1
BIN_3469544,28952,CWE-197,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,28928,BIN_3465136,CWE-197,24,28956,BIN_8361191,CWE-197,4
BIN_3483825,54209,CWE-078,CWE-134,2,key_len_ins_calls|key_op_full,2,56,0.9925788497217068,54208,BIN_3045517,CWE-078,1,54210,BIN_7943418,CWE-078,1
BIN_3528480,45199,CWE-590,CWE-126,1,key_len_ins_calls,3,377,0.9334157541504768,45198,BIN_2443720,CWE-590,1,45203,BIN_5634010,CWE-590,4
BIN_3557198,45413,CWE-606,CWE-134,1,key_ins_full,5,70,0.9870514243433224,45412,BIN_6728301,CWE-606,1,45439,BIN_2337205,CWE-606,26
BIN_3566839,23587,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,23585,BIN_2169013,CWE-191,2,23588,BIN_1283330,CWE-191,1
BIN_3583326,23694,CWE-191,CWE-190,1,key_marker_tail,2,46,0.9945901446548278,23692,BIN_1193478,CWE-191,2,23697,BIN_7273207,CWE-191,3
BIN_3587949,39985,CWE-427,CWE-023,1,key_ins_tail36,2,97,0.9869588599085776,39984,BIN_8127913,CWE-427,1,39987,BIN_4310754,CWE-427,2
BIN_3612771,35437,CWE-398,CWE-482,2,key_len_ins_calls|key_op_full,2,56,0.9925788497217068,35435,BIN_7857570,CWE-398,2,35440,BIN_3898468,CWE-398,3
BIN_3614543,54328,CWE-078,CWE-036,1,key_len_ins_calls,2,377,0.9334157541504768,54306,BIN_1811195,CWE-078,22,54330,BIN_8149607,CWE-078,2
BIN_3621873,46090,CWE-665,CWE-121,1,key_ins_tail18,18,74,0.9933922671667114,46089,BIN_8796939,CWE-665,1,46094,BIN_3867193,CWE-665,4
BIN_3622097,21081,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,21076,BIN_6847044,CWE-190,5,21082,BIN_5504187,CWE-190,1
BIN_3671523,23738,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,23736,BIN_3248234,CWE-191,2,23739,BIN_2833204,CWE-191,1
BIN_3687382,1710,CWE-121,CWE-124,1,key_ins_tail24,4,79,0.991979695431472,1709,BIN_5438522,CWE-121,1,1712,BIN_7140615,CWE-121,2
BIN_3694881,16528,CWE-127,CWE-122,1,key_len_ins_calls,7,377,0.9334157541504768,16527,BIN_5397262,CWE-127,1,16529,BIN_8440128,CWE-127,1
BIN_3711506,41950,CWE-562,CWE-416,1,key_callseq,12,61,0.9922970071978784,41948,BIN_5614966,CWE-561,2,41951,BIN_6494103,CWE-562,1
BIN_3728058,19636,CWE-190,CWE-191,6,key_ins_full|key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36|key_op_full,3,56,0.9933922671667114,19632,BIN_2871505,CWE-190,4,19638,BIN_4039409,CWE-190,2
BIN_3746614,37062,CWE-401,CWE-690,1,key_len_ins_calls,3,377,0.9334157541504768,37058,BIN_8986057,CWE-401,4,37063,BIN_8131350,CWE-401,1
BIN_3803881,14563,CWE-127,CWE-126,1,key_len_ins_calls,2,377,0.9334157541504768,14561,BIN_7228570,CWE-127,2,14564,BIN_3505497,CWE-127,1
BIN_3811120,27497,CWE-195,CWE-194,1,key_callseq,2,61,0.9922970071978784,27496,BIN_8489667,CWE-195,1,27503,BIN_6871665,CWE-195,6
BIN_3825654,21678,CWE-190,CWE-191,2,key_len_ins_calls|key_marker_tail,2,46,0.9945901446548278,21675,BIN_8137276,CWE-190,3,21679,BIN_4089955,CWE-190,1
BIN_3845926,36475,CWE-401,CWE-690,1,key_len_ins_calls,2,377,0.9334157541504768,36473,BIN_5279809,CWE-401,2,36477,BIN_2468922,CWE-401,2
BIN_3868604,52948,CWE-773,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,52947,BIN_6399260,CWE-773,1,52950,BIN_2408266,CWE-773,2
BIN_3881675,56027,CWE-843,CWE-197,1,key_len_ins_calls,3,377,0.9334157541504768,56025,BIN_8708503,CWE-843,2,56029,BIN_7834359,CWE-843,2
BIN_3882279,29023,CWE-197,CWE-194,3,key_ins_tail18|key_ins_tail24|key_ins_tail30,4,74,0.9933922671667114,29022,BIN_8926568,CWE-197,1,29044,BIN_1570804,CWE-197,21
BIN_3896170,15170,CWE-127,CWE-126,1,key_len_ins_calls,2,377,0.9334157541504768,15167,BIN_9924516,CWE-127,3,15172,BIN_8112723,CWE-127,2
BIN_3902411,47887,CWE-690,CWE-590,1,key_len_ins_calls,2,377,0.9334157541504768,47884,BIN_7744181,CWE-690,3,47888,BIN_2838128,CWE-690,1
BIN_3905824,35465,CWE-398,CWE-546,7,key_ins_full|key_ins_tail18|key_ins_tail24|key_ins_tail30|key_ins_tail36|key_len_ins_calls|key_op_full,2,56,0.9933922671667114,35463,BIN_1324255,CWE-398,2,35466,BIN_5874301,CWE-398,1
BIN_3948351,19353,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,19352,BIN_7579833,CWE-190,1,19356,BIN_3203644,CWE-190,3
