binary_id,sid,pred,prev_sid,prev_c,next_sid,next_c,dp,dn,near_c,pred_dist,reason,score
BIN_5091731,41570,CWE-478,41569.0,CWE-478,41572.0,CWE-479,1,2,CWE-478,1,out1,9.1
BIN_5502682,41571,CWE-479,41569.0,CWE-478,41572.0,CWE-479,2,1,CWE-479,1,out1,9.1
BIN_5474899,41589,CWE-480,41588.0,CWE-479,41590.0,CWE-480,1,1,CWE-479,1,"nearest<=2diff,out1",9.1
BIN_4967771,41606,CWE-480,41605.0,CWE-480,41607.0,CWE-481,1,1,CWE-480,1,out1,9.1
BIN_3584569,41625,CWE-482,41624.0,CWE-481,41626.0,CWE-482,1,1,CWE-481,1,"nearest<=2diff,out1",9.1
BIN_7903849,41661,CWE-483,41660.0,CWE-483,41663.0,CWE-484,1,2,CWE-483,1,out1,9.1
BIN_8083459,41680,CWE-484,41679.0,CWE-484,41716.0,CWE-510,1,36,CWE-484,1,out1,9.1
BIN_4560044,41839,CWE-511,41838.0,CWE-511,41841.0,CWE-526,1,2,CWE-511,1,out1,9.1
BIN_3012821,41840,CWE-526,41838.0,CWE-511,41841.0,CWE-526,2,1,CWE-526,1,out1,9.1
BIN_8556812,41857,CWE-526,41856.0,CWE-526,41858.0,CWE-546,1,1,CWE-526,1,out1,9.1
BIN_1574217,41949,CWE-561,41948.0,CWE-561,41951.0,CWE-562,1,2,CWE-561,1,out1,9.1
BIN_3711506,41950,CWE-562,41948.0,CWE-561,41951.0,CWE-562,2,1,CWE-562,1,out1,9.1
BIN_3228938,41952,CWE-562,41951.0,CWE-562,41957.0,CWE-563,1,5,CWE-562,1,out1,9.1
BIN_1727266,41956,CWE-563,41951.0,CWE-562,41957.0,CWE-563,5,1,CWE-563,1,out1,9.1
BIN_4865561,42497,CWE-587,42496.0,CWE-571,42498.0,CWE-587,1,1,CWE-571,1,"nearest<=2diff,out1",9.1
BIN_8596009,42515,CWE-588,42514.0,CWE-587,42516.0,CWE-588,1,1,CWE-587,1,"nearest<=2diff,out1",9.1
BIN_3975838,46249,CWE-665,46248.0,CWE-665,46272.0,CWE-666,1,23,CWE-665,1,out1,9.1
BIN_8585579,46427,CWE-674,46407.0,CWE-672,46428.0,CWE-674,20,1,CWE-674,1,out1,9.1
BIN_3401214,46552,CWE-675,46551.0,CWE-675,46574.0,CWE-676,1,22,CWE-675,1,out1,9.1
BIN_2861522,46573,CWE-676,46551.0,CWE-675,46574.0,CWE-676,22,1,CWE-676,1,out1,9.1
BIN_8568395,47144,CWE-680,47143.0,CWE-680,47167.0,CWE-681,1,23,CWE-680,1,out1,9.1
BIN_5190087,47220,CWE-681,47219.0,CWE-681,47221.0,CWE-685,1,1,CWE-681,1,out1,9.1
BIN_2764012,47237,CWE-685,47236.0,CWE-685,47240.0,CWE-688,1,3,CWE-685,1,out1,9.1
BIN_5812351,47239,CWE-688,47236.0,CWE-685,47240.0,CWE-688,3,1,CWE-688,1,out1,9.1
BIN_2833325,48170,CWE-758,48149.0,CWE-690,48171.0,CWE-758,21,1,CWE-758,1,out1,9.1
BIN_4550753,49302,CWE-761,49301.0,CWE-761,49324.0,CWE-762,1,22,CWE-761,1,out1,9.1
BIN_6406922,52866,CWE-762,52865.0,CWE-762,52887.0,CWE-773,1,21,CWE-762,1,out1,9.1
BIN_8628679,52886,CWE-773,52865.0,CWE-762,52887.0,CWE-773,21,1,CWE-773,1,out1,9.1
BIN_9942078,52960,CWE-773,52959.0,CWE-773,52982.0,CWE-775,1,22,CWE-773,1,out1,9.1
BIN_1069689,54013,CWE-789,54012.0,CWE-789,54040.0,CWE-078,1,27,CWE-789,1,out1,9.1
BIN_8546391,54039,CWE-078,54012.0,CWE-789,54040.0,CWE-078,27,1,CWE-078,1,out1,9.1
BIN_8181756,55937,CWE-078,55936.0,CWE-078,55976.0,CWE-835,1,39,CWE-078,1,out1,9.1
BIN_8993957,55981,CWE-835,55980.0,CWE-835,55982.0,CWE-843,1,1,CWE-835,1,out1,9.1
BIN_4681107,56045,CWE-843,56044.0,CWE-843,,,1,999999,CWE-843,1,out1,9.1
BIN_8249526,504,CWE-126,502.0,CWE-126,505.0,CWE-121,2,1,CWE-121,0,nearest<=2diff,9.0
BIN_3049998,506,CWE-126,505.0,CWE-121,507.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_6545696,513,CWE-126,512.0,CWE-121,514.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_3790413,517,CWE-126,515.0,CWE-126,518.0,CWE-121,2,1,CWE-121,0,nearest<=2diff,9.0
BIN_8264883,520,CWE-126,519.0,CWE-121,521.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_2254329,525,CWE-126,523.0,CWE-126,526.0,CWE-121,2,1,CWE-121,0,nearest<=2diff,9.0
BIN_1812963,4913,CWE-126,4912.0,CWE-121,4914.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_1455492,4916,CWE-121,4915.0,CWE-126,4918.0,CWE-121,1,2,CWE-126,0,nearest<=2diff,9.0
BIN_4577138,4919,CWE-126,4918.0,CWE-121,4920.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_2334733,4943,CWE-126,4942.0,CWE-121,4944.0,CWE-126,1,1,CWE-121,0,nearest<=2diff,9.0
BIN_6244783,4961,CWE-126,4960.0,CWE-122,4963.0,CWE-126,1,2,CWE-122,0,nearest<=2diff,9.0
BIN_8227758,4968,CWE-126,4967.0,CWE-122,4975.0,CWE-126,1,7,CWE-122,0,nearest<=2diff,9.0
BIN_4280528,4977,CWE-126,4976.0,CWE-122,4978.0,CWE-126,1,1,CWE-122,0,nearest<=2diff,9.0
BIN_4198219,10834,CWE-122,10833.0,CWE-126,10836.0,CWE-122,1,2,CWE-126,0,nearest<=2diff,9.0
BIN_1938615,10838,CWE-122,10837.0,CWE-126,10839.0,CWE-122,1,1,CWE-126,0,nearest<=2diff,9.0
BIN_9335771,10850,CWE-126,10848.0,CWE-126,10851.0,CWE-122,2,1,CWE-122,0,nearest<=2diff,9.0
BIN_4025173,10855,CWE-126,10854.0,CWE-122,10857.0,CWE-126,1,2,CWE-122,0,nearest<=2diff,9.0
BIN_7190407,35289,CWE-396,35286.0,CWE-396,35291.0,CWE-397,3,2,CWE-397,3,"nearest<=2diff,out3",8.3
BIN_7827710,10990,CWE-123,10988.0,CWE-123,11010.0,CWE-124,2,20,CWE-123,2,out2,8.2
BIN_1606490,18994,CWE-190,18992.0,CWE-188,18996.0,CWE-190,2,2,CWE-188,2,"nearest<=2diff,out2",8.2
BIN_6848141,22954,CWE-191,22942.0,CWE-190,22956.0,CWE-191,12,2,CWE-191,2,out2,8.2
BIN_7005351,25894,CWE-191,25892.0,CWE-191,25907.0,CWE-194,2,13,CWE-191,2,out2,8.2
BIN_4199403,32199,CWE-367,32197.0,CWE-367,32201.0,CWE-369,2,2,CWE-367,2,out2,8.2
BIN_6203055,33064,CWE-036,33044.0,CWE-369,33066.0,CWE-036,20,2,CWE-036,2,out2,8.2
BIN_8781695,35180,CWE-390,35178.0,CWE-390,35184.0,CWE-391,2,4,CWE-390,2,out2,8.2
BIN_2011998,35182,CWE-391,35178.0,CWE-390,35184.0,CWE-391,4,2,CWE-391,2,out2,8.2
BIN_4705576,35288,CWE-396,35286.0,CWE-396,35291.0,CWE-397,2,3,CWE-396,2,out2,8.2
BIN_8832271,37868,CWE-404,37847.0,CWE-401,37870.0,CWE-404,21,2,CWE-404,2,out2,8.2
BIN_6299331,37896,CWE-404,37894.0,CWE-404,37916.0,CWE-415,2,20,CWE-404,2,out2,8.2
BIN_3475625,39989,CWE-427,39987.0,CWE-427,40010.0,CWE-457,2,21,CWE-427,2,out2,8.2
BIN_9426721,40954,CWE-457,40952.0,CWE-457,40958.0,CWE-459,2,4,CWE-457,2,out2,8.2
BIN_9428082,41955,CWE-563,41951.0,CWE-562,41957.0,CWE-563,4,2,CWE-563,2,out2,8.2
BIN_6777704,46250,CWE-665,46248.0,CWE-665,46272.0,CWE-666,2,22,CWE-665,2,out2,8.2
BIN_5918531,46553,CWE-675,46551.0,CWE-675,46574.0,CWE-676,2,21,CWE-675,2,out2,8.2
BIN_9942087,47145,CWE-680,47143.0,CWE-680,47167.0,CWE-681,2,22,CWE-680,2,out2,8.2
BIN_5472113,47238,CWE-685,47236.0,CWE-685,47240.0,CWE-688,2,2,CWE-685,2,out2,8.2
BIN_7613973,48169,CWE-758,48149.0,CWE-690,48171.0,CWE-758,20,2,CWE-758,2,out2,8.2
BIN_5829626,52961,CWE-773,52959.0,CWE-773,52982.0,CWE-775,2,21,CWE-773,2,out2,8.2
BIN_1841530,54014,CWE-789,54012.0,CWE-789,54040.0,CWE-078,2,26,CWE-789,2,out2,8.2
BIN_1802324,54038,CWE-078,54012.0,CWE-789,54040.0,CWE-078,26,2,CWE-078,2,out2,8.2
BIN_9986146,55938,CWE-078,55936.0,CWE-078,55976.0,CWE-835,2,38,CWE-078,2,out2,8.2
BIN_2266130,56046,CWE-843,56044.0,CWE-843,,,2,999999,CWE-843,2,out2,8.2
BIN_2902601,4969,CWE-126,4967.0,CWE-122,4975.0,CWE-126,2,6,CWE-122,0,nearest<=2diff,8.0
BIN_6066650,35181,CWE-390,35178.0,CWE-390,35184.0,CWE-391,3,3,CWE-390,3,out3,7.3
BIN_4306097,46251,CWE-665,46248.0,CWE-665,46272.0,CWE-666,3,21,CWE-665,3,out3,7.3
BIN_9362646,47146,CWE-680,47143.0,CWE-680,47167.0,CWE-681,3,21,CWE-680,3,out3,7.3
BIN_2338043,52962,CWE-773,52959.0,CWE-773,52982.0,CWE-775,3,20,CWE-773,3,out3,7.3
BIN_2883510,54015,CWE-789,54012.0,CWE-789,54040.0,CWE-078,3,25,CWE-789,3,out3,7.3
BIN_4526444,46252,CWE-665,46248.0,CWE-665,46272.0,CWE-666,4,20,CWE-665,4,out4,6.4
BIN_2519261,47147,CWE-680,47143.0,CWE-680,47167.0,CWE-681,4,20,CWE-680,4,out4,6.4
BIN_2064140,54016,CWE-789,54012.0,CWE-789,54040.0,CWE-078,4,24,CWE-789,4,out4,6.4
BIN_2982623,54017,CWE-789,54012.0,CWE-789,54040.0,CWE-078,5,23,CWE-789,5,out5,5.5
BIN_5756538,54018,CWE-789,54012.0,CWE-789,54040.0,CWE-078,6,22,CWE-789,6,out6,4.6
