token_sig,n,n_cwe,pred,pred_n,purity,dist
CWE-121:8|CWE-806:8,13,1,CWE-121,13,1.0,CWE-121:13
CWE-122:13|CWE-805:13,13,1,CWE-122,13,1.0,CWE-122:13
CWE-122:1|CWE-805:1,13,1,CWE-122,13,1.0,CWE-122:13
CWE-122:4|CWE-193:4,13,1,CWE-122,13,1.0,CWE-122:13
CWE-195:6,13,1,CWE-195,13,1.0,CWE-195:13
CWE-122:10|CWE-806:10,12,1,CWE-122,12,1.0,CWE-122:12
CWE-122:4,12,1,CWE-122,12,1.0,CWE-122:12
CWE-122:8|CWE-193:8,12,1,CWE-122,12,1.0,CWE-122:12
CWE-122:9,12,1,CWE-122,12,1.0,CWE-122:12
CWE-126:8,12,1,CWE-126,12,1.0,CWE-126:12
CWE-195:8,12,1,CWE-195,12,1.0,CWE-195:12
CWE-369:6,12,1,CWE-369,12,1.0,CWE-369:12
CWE-401:1,12,1,CWE-401,12,1.0,CWE-401:12
CWE-690:1,12,1,CWE-690,12,1.0,CWE-690:12
CWE-690:8,12,1,CWE-690,12,1.0,CWE-690:12
CWE-194:1,11,1,CWE-194,11,1.0,CWE-194:11
CWE-364:4,11,1,CWE-364,11,1.0,CWE-364:11
CWE-369:1,11,1,CWE-369,11,1.0,CWE-369:11
CWE-401:6,11,1,CWE-401,11,1.0,CWE-401:11
CWE-672:9,11,1,CWE-672,11,1.0,CWE-672:11
CWE-121:1|CWE-806:1,10,1,CWE-121,10,1.0,CWE-121:10
CWE-122:4|CWE-806:4,10,1,CWE-122,10,1.0,CWE-122:10
CWE-127:10,10,1,CWE-127,10,1.0,CWE-127:10
CWE-134:13,10,1,CWE-134,10,1.0,CWE-134:10
CWE-197:6,10,1,CWE-197,10,1.0,CWE-197:10
CWE-369:10,10,1,CWE-369,10,1.0,CWE-369:10
CWE-401:13,10,1,CWE-401,10,1.0,CWE-401:10
CWE-401:8,10,1,CWE-401,10,1.0,CWE-401:10
CWE-457:11,10,1,CWE-457,10,1.0,CWE-457:10
CWE-563:6,10,1,CWE-563,10,1.0,CWE-563:10
CWE-761:8,10,1,CWE-761,10,1.0,CWE-761:10
CWE-121:1|CWE-193:1,9,1,CWE-121,9,1.0,CWE-121:9
CWE-121:7,9,1,CWE-121,9,1.0,CWE-121:9
CWE-122:10,9,1,CWE-122,9,1.0,CWE-122:9
CWE-124:10,9,1,CWE-124,9,1.0,CWE-124:9
CWE-194:6,9,1,CWE-194,9,1.0,CWE-194:9
CWE-197:8,9,1,CWE-197,9,1.0,CWE-197:9
CWE-369:7,9,1,CWE-369,9,1.0,CWE-369:9
CWE-390:7,9,1,CWE-390,9,1.0,CWE-390:9
CWE-401:16,9,1,CWE-401,9,1.0,CWE-401:9
CWE-590:9,9,1,CWE-590,9,1.0,CWE-590:9
CWE-122:10|CWE-193:10,8,1,CWE-122,8,1.0,CWE-122:8
CWE-122:1|CWE-193:1,8,1,CWE-122,8,1.0,CWE-122:8
CWE-400:7,8,1,CWE-400,8,1.0,CWE-400:8
CWE-427:4,8,1,CWE-427,8,1.0,CWE-427:8
CWE-476:9,8,1,CWE-476,8,1.0,CWE-476:8
CWE-588:7,8,1,CWE-588,8,1.0,CWE-588:8
CWE-606:6,8,1,CWE-606,8,1.0,CWE-606:8
CWE-761:1,8,1,CWE-761,8,1.0,CWE-761:8
CWE-761:4,8,1,CWE-761,8,1.0,CWE-761:8
CWE-122:13|CWE-193:13,7,1,CWE-122,7,1.0,CWE-122:7
CWE-122:9|CWE-193:9,7,1,CWE-122,7,1.0,CWE-122:7
CWE-122:9|CWE-805:9,7,1,CWE-122,7,1.0,CWE-122:7
CWE-122:9|CWE-806:9,7,1,CWE-122,7,1.0,CWE-122:7
CWE-126:1,7,1,CWE-126,7,1.0,CWE-126:7
CWE-197:1,7,1,CWE-197,7,1.0,CWE-197:7
CWE-400:10,7,1,CWE-400,7,1.0,CWE-400:7
CWE-400:6,7,1,CWE-400,7,1.0,CWE-400:7
CWE-415:11,7,1,CWE-415,7,1.0,CWE-415:7
CWE-415:13,7,1,CWE-415,7,1.0,CWE-415:7
CWE-415:8,7,1,CWE-415,7,1.0,CWE-415:7
CWE-427:8,7,1,CWE-427,7,1.0,CWE-427:7
CWE-476:7,7,1,CWE-476,7,1.0,CWE-476:7
CWE-789:6,7,1,CWE-789,7,1.0,CWE-789:7
CWE-121:1,6,1,CWE-121,6,1.0,CWE-121:6
CWE-400:1,6,1,CWE-400,6,1.0,CWE-400:6
CWE-415:16,6,1,CWE-415,6,1.0,CWE-415:6
CWE-416:11,6,1,CWE-416,6,1.0,CWE-416:6
CWE-427:1,6,1,CWE-427,6,1.0,CWE-427:6
CWE-590:1,6,1,CWE-590,6,1.0,CWE-590:6
CWE-606:1,6,1,CWE-606,6,1.0,CWE-606:6
CWE-606:7,6,1,CWE-606,6,1.0,CWE-606:6
CWE-665:4,6,1,CWE-665,6,1.0,CWE-665:6
CWE-676:7,6,1,CWE-676,6,1.0,CWE-676:6
CWE-680:4,6,1,CWE-680,6,1.0,CWE-680:6
CWE-680:8,6,1,CWE-680,6,1.0,CWE-680:6
CWE-690:6,6,1,CWE-690,6,1.0,CWE-690:6
CWE-789:16,6,1,CWE-789,6,1.0,CWE-789:6
CWE-121:8,5,1,CWE-121,5,1.0,CWE-121:5
CWE-122:13|CWE-129:13,5,1,CWE-122,5,1.0,CWE-122:5
CWE-122:13|CWE-806:13,5,1,CWE-122,5,1.0,CWE-122:5
CWE-122:16|CWE-129:16,5,1,CWE-122,5,1.0,CWE-122:5
CWE-122:1|CWE-806:1,5,1,CWE-122,5,1.0,CWE-122:5
CWE-124:13,5,1,CWE-124,5,1.0,CWE-124:5
CWE-124:9,5,1,CWE-124,5,1.0,CWE-124:5
CWE-126:10,5,1,CWE-126,5,1.0,CWE-126:5
CWE-127:13,5,1,CWE-127,5,1.0,CWE-127:5
CWE-127:9,5,1,CWE-127,5,1.0,CWE-127:5
CWE-396:6,5,1,CWE-396,5,1.0,CWE-396:5
CWE-397:7,5,1,CWE-397,5,1.0,CWE-397:5
CWE-427:6,5,1,CWE-427,5,1.0,CWE-427:5
CWE-476:1,5,1,CWE-476,5,1.0,CWE-476:5
CWE-563:10,5,1,CWE-563,5,1.0,CWE-563:5
CWE-606:10,5,1,CWE-606,5,1.0,CWE-606:5
CWE-680:9,5,1,CWE-680,5,1.0,CWE-680:5
CWE-761:6,5,1,CWE-761,5,1.0,CWE-761:5
CWE-789:1,5,1,CWE-789,5,1.0,CWE-789:5
CWE-789:13,5,1,CWE-789,5,1.0,CWE-789:5
CWE-121:10|CWE-129:10,4,1,CWE-121,4,1.0,CWE-121:4
CWE-121:1|CWE-129:1,4,1,CWE-121,4,1.0,CWE-121:4
CWE-121:6|CWE-129:6,4,1,CWE-121,4,1.0,CWE-121:4
CWE-121:7|CWE-129:7,4,1,CWE-121,4,1.0,CWE-121:4
CWE-122:1,4,1,CWE-122,4,1.0,CWE-122:4
CWE-122:13,4,1,CWE-122,4,1.0,CWE-122:4
CWE-122:4|CWE-131:4,4,1,CWE-122,4,1.0,CWE-122:4
CWE-122:8|CWE-129:8,4,1,CWE-122,4,1.0,CWE-122:4
CWE-124:10|CWE-839:10,4,1,CWE-124,4,1.0,CWE-124:4
CWE-124:1|CWE-839:1,4,1,CWE-124,4,1.0,CWE-124:4
CWE-126:6|CWE-129:6,4,1,CWE-126,4,1.0,CWE-126:4
CWE-126:7|CWE-129:7,4,1,CWE-126,4,1.0,CWE-126:4
CWE-127:6|CWE-839:6,4,1,CWE-127,4,1.0,CWE-127:4
CWE-416:10,4,1,CWE-416,4,1.0,CWE-416:4
CWE-476:6,4,1,CWE-476,4,1.0,CWE-476:4
CWE-617:4,4,1,CWE-617,4,1.0,CWE-617:4
CWE-617:8,4,1,CWE-617,4,1.0,CWE-617:4
CWE-672:7,4,1,CWE-672,4,1.0,CWE-672:4
CWE-680:1,4,1,CWE-680,4,1.0,CWE-680:4
CWE-680:10,4,1,CWE-680,4,1.0,CWE-680:4
CWE-789:11,4,1,CWE-789,4,1.0,CWE-789:4
CWE-789:8,4,1,CWE-789,4,1.0,CWE-789:4
CWE-122:1|CWE-129:1,3,1,CWE-122,3,1.0,CWE-122:3
CWE-123:4,3,1,CWE-123,3,1.0,CWE-123:3
CWE-124:7|CWE-839:7,3,1,CWE-124,3,1.0,CWE-124:3
CWE-126:13,3,1,CWE-126,3,1.0,CWE-126:3
CWE-126:1|CWE-129:1,3,1,CWE-126,3,1.0,CWE-126:3
CWE-127:10|CWE-839:10,3,1,CWE-127,3,1.0,CWE-127:3
CWE-127:7|CWE-839:7,3,1,CWE-127,3,1.0,CWE-127:3
CWE-390:6,3,1,CWE-390,3,1.0,CWE-390:3
CWE-397:6,3,1,CWE-397,3,1.0,CWE-397:3
CWE-426:4,3,1,CWE-426,3,1.0,CWE-426:3
CWE-426:6,3,1,CWE-426,3,1.0,CWE-426:3
CWE-426:8,3,1,CWE-426,3,1.0,CWE-426:3
CWE-563:7,3,1,CWE-563,3,1.0,CWE-563:3
CWE-563:8,3,1,CWE-563,3,1.0,CWE-563:3
CWE-617:1,3,1,CWE-617,3,1.0,CWE-617:3
CWE-617:6,3,1,CWE-617,3,1.0,CWE-617:3
CWE-665:1,3,1,CWE-665,3,1.0,CWE-665:3
CWE-676:6,3,1,CWE-676,3,1.0,CWE-676:3
CWE-843:4,3,1,CWE-843,3,1.0,CWE-843:3
CWE-121:10,2,1,CWE-121,2,1.0,CWE-121:2
CWE-121:13,2,1,CWE-121,2,1.0,CWE-121:2
CWE-121:1|CWE-131:1,2,1,CWE-121,2,1.0,CWE-121:2
CWE-121:6|CWE-131:6,2,1,CWE-121,2,1.0,CWE-121:2
CWE-122:11|CWE-129:11,2,1,CWE-122,2,1.0,CWE-122:2
CWE-122:1|CWE-131:1,2,1,CWE-122,2,1.0,CWE-122:2
CWE-122:6|CWE-129:6,2,1,CWE-122,2,1.0,CWE-122:2
CWE-122:6|CWE-131:6,2,1,CWE-122,2,1.0,CWE-122:2
CWE-124:6|CWE-839:6,2,1,CWE-124,2,1.0,CWE-124:2
CWE-126:10|CWE-129:10,2,1,CWE-126,2,1.0,CWE-126:2
CWE-126:9,2,1,CWE-126,2,1.0,CWE-126:2
CWE-127:1|CWE-839:1,2,1,CWE-127,2,1.0,CWE-127:2
CWE-415:1,2,1,CWE-415,2,1.0,CWE-415:2
CWE-415:6,2,1,CWE-415,2,1.0,CWE-415:2
CWE-476:10,2,1,CWE-476,2,1.0,CWE-476:2
CWE-588:10,2,1,CWE-588,2,1.0,CWE-588:2
CWE-588:4,2,1,CWE-588,2,1.0,CWE-588:2
CWE-588:6,2,1,CWE-588,2,1.0,CWE-588:2
CWE-665:6,2,1,CWE-665,2,1.0,CWE-665:2
CWE-675:10,2,1,CWE-675,2,1.0,CWE-675:2
CWE-680:13,2,1,CWE-680,2,1.0,CWE-680:2
CWE-773:1,2,1,CWE-773,2,1.0,CWE-773:2
CWE-773:6,2,1,CWE-773,2,1.0,CWE-773:2
CWE-775:1,2,1,CWE-775,2,1.0,CWE-775:2
CWE-121:10|CWE-135:10,1,1,CWE-135,1,1.0,CWE-135:1
CWE-121:1|CWE-135:1,1,1,CWE-135,1,1.0,CWE-135:1
CWE-121:4|CWE-131:4,1,1,CWE-121,1,1.0,CWE-121:1
CWE-121:6|CWE-135:6,1,1,CWE-135,1,1.0,CWE-135:1
CWE-122:10|CWE-135:10,1,1,CWE-135,1,1.0,CWE-135:1
CWE-122:16,1,1,CWE-122,1,1.0,CWE-122:1
CWE-122:6|CWE-135:6,1,1,CWE-135,1,1.0,CWE-135:1
CWE-122:7|CWE-135:7,1,1,CWE-135,1,1.0,CWE-135:1
CWE-122:8|CWE-131:8,1,1,CWE-122,1,1.0,CWE-122:1
CWE-123:1,1,1,CWE-123,1,1.0,CWE-123:1
CWE-123:6,1,1,CWE-123,1,1.0,CWE-123:1
CWE-123:8,1,1,CWE-123,1,1.0,CWE-123:1
CWE-404:1,1,1,CWE-404,1,1.0,CWE-404:1
CWE-404:8,1,1,CWE-404,1,1.0,CWE-404:1
CWE-426:1,1,1,CWE-426,1,1.0,CWE-426:1
CWE-464:1,1,1,CWE-464,1,1.0,CWE-464:1
CWE-464:4,1,1,CWE-464,1,1.0,CWE-464:1
CWE-464:8,1,1,CWE-464,1,1.0,CWE-464:1
CWE-468:13,1,1,CWE-468,1,1.0,CWE-468:1
CWE-476:13,1,1,CWE-476,1,1.0,CWE-476:1
CWE-562:23,1,1,CWE-562,1,1.0,CWE-562:1
CWE-588:1,1,1,CWE-588,1,1.0,CWE-588:1
CWE-665:8,1,1,CWE-665,1,1.0,CWE-665:1
CWE-672:10,1,1,CWE-672,1,1.0,CWE-672:1
CWE-672:11,1,1,CWE-672,1,1.0,CWE-672:1
CWE-672:16,1,1,CWE-672,1,1.0,CWE-672:1
CWE-672:21,1,1,CWE-672,1,1.0,CWE-672:1
CWE-675:1,1,1,CWE-675,1,1.0,CWE-675:1
CWE-675:6,1,1,CWE-675,1,1.0,CWE-675:1
CWE-675:7,1,1,CWE-675,1,1.0,CWE-675:1
CWE-773:4,1,1,CWE-773,1,1.0,CWE-773:1
CWE-773:8,1,1,CWE-773,1,1.0,CWE-773:1
CWE-775:4,1,1,CWE-775,1,1.0,CWE-775:1
CWE-775:6,1,1,CWE-775,1,1.0,CWE-775:1
CWE-775:8,1,1,CWE-775,1,1.0,CWE-775:1
