binary_id,sid,cur,new,nearest_cwe,nearest_dist,left1,left2,right1,right2,source_supports_new,source_supports_cur,token,token_has_new,token_has_cur,fixed_pred,fixed_has_new,fixed_has_cur,fixed_support,dwarf_pred,dwarf_support,dwarf_ex_sids,dwarf_has_new,score
BIN_3790413,517,CWE-121,CWE-126,CWE-121,1,CWE-126@515 d2,CWE-126@514 d3,CWE-121@518 d1,CWE-121@519 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_8264883,520,CWE-121,CWE-126,CWE-121,1,CWE-121@519 d1,CWE-121@518 d2,CWE-126@521 d1,CWE-126@522 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_2254329,525,CWE-121,CWE-126,CWE-121,1,CWE-126@523 d2,CWE-126@522 d3,CWE-121@526 d1,CWE-126@527 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_8227758,4968,CWE-122,CWE-126,CWE-122,1,CWE-122@4967 d1,CWE-126@4965 d3,CWE-126@4975 d7,CWE-122@4976 d8,False,True,,False,False,,False,False,,,,,False,-2
BIN_2902601,4969,CWE-122,CWE-126,CWE-122,2,CWE-122@4967 d2,CWE-126@4965 d4,CWE-126@4975 d6,CWE-122@4976 d7,False,True,,False,False,,False,False,,,,,False,-2
BIN_4615687,4970,CWE-122,CWE-126,CWE-122,3,CWE-122@4967 d3,CWE-126@4965 d5,CWE-126@4975 d5,CWE-122@4976 d6,False,True,,False,False,,False,False,,,,,False,-2
BIN_4280528,4977,CWE-122,CWE-126,CWE-122,1,CWE-122@4976 d1,CWE-126@4975 d2,CWE-126@4978 d1,CWE-122@4979 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_4669287,7935,CWE-122,CWE-369,CWE-122,1,CWE-122@7934 d1,CWE-122@7933 d2,CWE-122@7956 d21,CWE-122@7957 d22,False,True,,False,False,,False,False,,,,,False,-2
BIN_3939978,8124,CWE-122,CWE-369,CWE-122,1,CWE-122@8123 d1,CWE-122@8120 d4,CWE-122@8125 d1,CWE-122@8127 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_5574840,10800,CWE-122,CWE-690,CWE-122,3,CWE-122@10797 d3,CWE-122@10796 d4,CWE-122@10805 d5,CWE-122@10806 d6,False,True,,False,False,CWE-675,False,False,3,,,,False,-2
BIN_9335771,10850,CWE-122,CWE-126,CWE-122,1,CWE-126@10848 d2,CWE-126@10847 d3,CWE-122@10851 d1,CWE-122@10852 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_4395961,11034,CWE-124,CWE-369,CWE-124,1,CWE-124@11033 d1,CWE-124@11032 d2,CWE-124@11035 d1,CWE-124@11037 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_6722415,11133,CWE-124,CWE-369,CWE-124,2,CWE-124@11131 d2,CWE-124@11127 d6,CWE-124@11154 d21,CWE-124@11156 d23,False,True,,False,False,,False,False,,,,,False,-2
BIN_4364914,11181,CWE-124,CWE-369,CWE-124,1,CWE-124@11180 d1,CWE-124@11178 d3,CWE-124@11203 d22,CWE-124@11207 d26,False,True,,False,False,,False,False,,,,,False,-2
BIN_2932823,11626,CWE-124,CWE-127,CWE-124,1,CWE-124@11625 d1,CWE-124@11623 d3,CWE-124@11627 d1,CWE-124@11628 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_9575719,12921,CWE-124,CWE-127,CWE-124,1,CWE-124@12916 d5,CWE-124@12909 d12,CWE-124@12922 d1,CWE-124@12938 d17,False,True,,False,False,,False,False,,,,,False,-2
BIN_4272523,13041,CWE-124,CWE-127,CWE-124,1,CWE-124@13040 d1,CWE-124@13037 d4,CWE-124@13042 d1,CWE-126@13058 d17,False,True,,False,False,,False,False,,,,,False,-2
BIN_5412419,15168,CWE-127,CWE-126,CWE-127,1,CWE-127@15167 d1,CWE-127@15166 d2,CWE-127@15172 d4,CWE-127@15176 d8,False,True,,False,False,,False,False,,,,,False,-2
BIN_2539058,31033,CWE-252,CWE-390,CWE-252,1,CWE-252@31032 d1,CWE-252@31031 d2,CWE-252@31034 d1,CWE-252@31037 d4,False,True,,False,False,,False,False,,,,,False,-2
BIN_4042300,31035,CWE-252,CWE-390,CWE-252,1,CWE-252@31034 d1,CWE-252@31032 d3,CWE-252@31037 d2,CWE-252@31038 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_6400026,31036,CWE-252,CWE-390,CWE-252,1,CWE-252@31034 d2,CWE-252@31032 d4,CWE-252@31037 d1,CWE-252@31038 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_1877534,31040,CWE-252,CWE-390,CWE-252,1,CWE-252@31039 d1,CWE-252@31038 d2,CWE-252@31041 d1,CWE-252@31043 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_4742855,31042,CWE-252,CWE-390,CWE-252,1,CWE-252@31041 d1,CWE-252@31039 d3,CWE-252@31043 d1,CWE-252@31045 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_5602134,31044,CWE-252,CWE-390,CWE-252,1,CWE-252@31043 d1,CWE-252@31041 d3,CWE-252@31045 d1,CWE-252@31046 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_7244684,31203,CWE-252,CWE-253,CWE-252,1,CWE-252@31202 d1,CWE-252@31201 d2,CWE-252@31204 d1,CWE-252@31205 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_6928513,31571,CWE-253,CWE-390,CWE-253,1,CWE-253@31570 d1,CWE-252@31568 d3,CWE-253@31572 d1,CWE-253@31573 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_5266840,31574,CWE-253,CWE-390,CWE-253,1,CWE-253@31573 d1,CWE-253@31572 d2,CWE-253@31576 d2,CWE-253@31578 d4,False,True,,False,False,,False,False,,,,,False,-2
BIN_2476648,31575,CWE-253,CWE-390,CWE-253,1,CWE-253@31573 d2,CWE-253@31572 d3,CWE-253@31576 d1,CWE-253@31578 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_2479657,31577,CWE-253,CWE-390,CWE-253,1,CWE-253@31576 d1,CWE-253@31573 d4,CWE-253@31578 d1,CWE-253@31579 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_2248875,31580,CWE-253,CWE-390,CWE-253,1,CWE-253@31579 d1,CWE-253@31578 d2,CWE-253@31582 d2,CWE-253@31584 d4,False,True,,False,False,,False,False,,,,,False,-2
BIN_4328827,31583,CWE-253,CWE-390,CWE-253,1,CWE-253@31582 d1,CWE-253@31579 d4,CWE-253@31584 d1,CWE-253@31586 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_9503534,31585,CWE-253,CWE-390,CWE-253,1,CWE-253@31584 d1,CWE-253@31582 d3,CWE-253@31586 d1,CWE-253@31588 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_3004177,31587,CWE-253,CWE-390,CWE-253,1,CWE-253@31586 d1,CWE-253@31584 d3,CWE-253@31588 d1,CWE-253@31592 d5,False,True,,False,False,,False,False,,,,,False,-2
BIN_5585056,31683,CWE-253,CWE-252,CWE-253,1,CWE-253@31682 d1,CWE-253@31681 d2,CWE-253@31684 d1,CWE-253@31686 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_2604835,31685,CWE-253,CWE-252,CWE-253,1,CWE-253@31684 d1,CWE-253@31682 d3,CWE-253@31686 d1,CWE-253@31687 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_8319758,31688,CWE-253,CWE-252,CWE-253,1,CWE-253@31687 d1,CWE-253@31686 d2,CWE-253@31689 d1,CWE-253@31690 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_2053101,31693,CWE-253,CWE-252,CWE-253,1,CWE-253@31692 d1,CWE-253@31691 d2,CWE-253@31694 d1,CWE-253@31695 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_3922031,31955,CWE-253,CWE-252,CWE-253,1,CWE-253@31952 d3,CWE-253@31951 d4,CWE-253@31956 d1,CWE-253@31957 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_9212447,31965,CWE-253,CWE-252,CWE-253,1,CWE-253@31963 d2,CWE-253@31962 d3,CWE-253@31966 d1,CWE-253@31967 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_2693713,42494,CWE-571,CWE-253,CWE-571,1,CWE-571@42493 d1,CWE-571@42491 d3,CWE-571@42495 d1,CWE-571@42496 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_4745552,124,CWE-121,CWE-369,CWE-121,2,CWE-121@122 d2,CWE-121@120 d4,CWE-121@144 d20,CWE-121@145 d21,False,True,CWE-121:6|CWE-129:6,False,True,,False,False,,,,,False,-3
BIN_3956042,11134,CWE-124,CWE-369,CWE-124,3,CWE-124@11131 d3,CWE-124@11127 d7,CWE-124@11154 d20,CWE-124@11156 d22,False,True,CWE-124:6|CWE-839:6,False,True,,False,False,,,,,False,-3
BIN_2292619,11630,CWE-124,CWE-127,CWE-124,1,CWE-124@11629 d1,CWE-124@11628 d2,CWE-124@11650 d20,CWE-124@11652 d22,False,True,CWE-124:6|CWE-839:6,False,True,,False,False,,,,,False,-3
