binary_id,sid,pred,alt,side,pred_sim,alt_sim,alt_minus_pred,top_pred,top_alt
BIN_4942051,10844,CWE-122,CWE-126,left_to_CWE-126,0.9985350370407104,0.9700825810432434,-0.02845245599746704,BIN_4188820:10832:0.9985,BIN_2396068:10845:0.9701
BIN_6330929,27058,CWE-195,CWE-194,right_from_CWE-194,0.9969913959503174,0.9667491912841797,-0.030242204666137695,BIN_5308041:27059:0.9970,BIN_2079993:25921:0.9667
BIN_4577138,4919,CWE-126,CWE-121,right_from_CWE-121,0.9380497336387634,0.9077300429344177,-0.030319690704345703,BIN_7419271:4937:0.9380,BIN_7462689:4922:0.9077
BIN_9335771,10850,CWE-126,CWE-122,left_to_CWE-122,0.9981736540794373,0.9641157984733582,-0.0340578556060791,BIN_3937573:10862:0.9982,BIN_5505869:10863:0.9641
BIN_1938615,10838,CWE-122,CWE-126,right_from_CWE-126,0.9879992604255676,0.9516785740852356,-0.03632068634033203,BIN_3056539:10839:0.9880,BIN_9832796:10833:0.9517
BIN_5472113,47238,CWE-685,CWE-688,left_to_CWE-688,0.930005669593811,0.8905478119850159,-0.039457857608795166,BIN_4248613:47221:0.9300,BIN_2935720:47256:0.8905
BIN_3049998,506,CWE-126,CWE-121,right_from_CWE-121,0.96111661195755,0.9207702279090881,-0.040346384048461914,BIN_9951199:499:0.9611,BIN_2692299:505:0.9208
BIN_6066650,35181,CWE-390,CWE-391,left_to_CWE-391,0.9102174043655396,0.864166259765625,-0.04605114459991455,BIN_5479991:35165:0.9102,BIN_6870406:35193:0.8642
BIN_1445445,25906,CWE-194,CWE-191,right_from_CWE-191,0.9986591935157776,0.9438621997833252,-0.05479699373245239,BIN_2079993:25921:0.9987,BIN_6500472:24787:0.9439
BIN_3297563,38878,CWE-416,CWE-415,right_from_CWE-415,0.9803122878074646,0.9173145890235901,-0.06299769878387451,BIN_8155538:38893:0.9803,BIN_2859427:37916:0.9173
BIN_5812351,47239,CWE-688,CWE-685,right_from_CWE-685,0.9640936255455017,0.8865347504615784,-0.07755887508392334,BIN_3112948:47241:0.9641,BIN_4248613:47221:0.8865
BIN_9514021,16558,CWE-134,CWE-127,right_from_CWE-127,0.9993629455566406,0.9173895120620728,-0.08197343349456787,BIN_8230626:16573:0.9994,BIN_4152435:14526:0.9174
BIN_3711506,41950,CWE-562,CWE-561,right_from_CWE-561,0.6556879281997681,0.5643572807312012,-0.0913306474685669,BIN_6494103:41951:0.6557,BIN_5614966:41948:0.5644
BIN_9837273,7860,CWE-135,CWE-122,right_from_CWE-122,0.950458288192749,0.8497018814086914,-0.10075640678405762,BIN_7275837:7877:0.9505,BIN_3849489:8937:0.8497
BIN_1802324,54038,CWE-078,CWE-789,right_from_CWE-789,0.9996131062507629,0.8921190500259399,-0.107494056224823,BIN_8343477:54053:0.9996,BIN_7508969:53478:0.8921
BIN_8950290,408,CWE-135,CWE-121,right_from_CWE-121,0.9553563594818115,0.8423313498497009,-0.1130250096321106,BIN_6279004:423:0.9554,BIN_5289631:4346:0.8423
BIN_4390572,41662,CWE-483,CWE-484,left_to_CWE-484,0.9439088702201843,0.8255957365036011,-0.11831313371658325,BIN_4890945:41645:0.9439,BIN_7472672:41674:0.8256
BIN_2011998,35182,CWE-391,CWE-390,right_from_CWE-390,0.9892419576644897,0.8283801674842834,-0.1608617901802063,BIN_8613476:35197:0.9892,BIN_5479991:35165:0.8284
BIN_3584569,41625,CWE-482,CWE-481,right_from_CWE-481,0.932761013507843,0.7688890099525452,-0.16387200355529785,BIN_6011955:41642:0.9328,BIN_3631256:41612:0.7689
BIN_3124360,28227,CWE-196,CWE-197,left_to_CWE-197,0.9007256627082825,0.7043682336807251,-0.19635742902755737,BIN_2513813:28210:0.9007,BIN_3591971:28584:0.7044
BIN_6516479,532,CWE-121,CWE-126,right_from_CWE-126,0.9890599250793457,0.7888081073760986,-0.20025181770324707,BIN_8174033:547:0.9891,BIN_3769896:13499:0.7888
BIN_4199403,32199,CWE-367,CWE-369,left_to_CWE-369,0.9863662123680115,0.7795389294624329,-0.2068272829055786,BIN_3854119:32182:0.9864,BIN_7491006:32600:0.7795
BIN_1282514,18993,CWE-188,CWE-190,left_to_CWE-190,0.92177414894104,0.6870585083961487,-0.23471564054489136,BIN_3057071:18976:0.9218,BIN_3794985:22673:0.6871
BIN_4560044,41839,CWE-511,CWE-526,left_to_CWE-526,0.9022554159164429,0.6602836847305298,-0.24197173118591309,BIN_5826734:41822:0.9023,BIN_3799682:41855:0.6603
BIN_8993957,55981,CWE-835,CWE-843,left_to_CWE-843,1.0000039339065552,0.7506147027015686,-0.24938923120498657,BIN_5809489:55979:1.0000,BIN_6027524:55998:0.7506
BIN_5190087,47220,CWE-681,CWE-685,left_to_CWE-685,0.9589776992797852,0.7080706357955933,-0.2509070634841919,BIN_6210942:47203:0.9590,BIN_4248613:47221:0.7081
BIN_3918710,18958,CWE-188,CWE-134,right_from_CWE-134,0.9479130506515503,0.677635133266449,-0.2702779173851013,BIN_3332501:18959:0.9479,BIN_7055834:16866:0.6776
BIN_2660949,32200,CWE-369,CWE-367,right_from_CWE-367,0.9984952211380005,0.7249835729598999,-0.2735116481781006,BIN_6295083:32215:0.9985,BIN_8078591:32167:0.7250
BIN_3012821,41840,CWE-526,CWE-511,right_from_CWE-511,0.9845101833343506,0.7085176706314087,-0.2759925127029419,BIN_3799682:41855:0.9845,BIN_4977353:41833:0.7085
BIN_8628679,52886,CWE-773,CWE-762,right_from_CWE-762,0.9964526891708374,0.7142484188079834,-0.282204270362854,BIN_7653539:52901:0.9965,BIN_1035749:49420:0.7142
BIN_3372307,35489,CWE-398,CWE-400,left_to_CWE-400,0.9469142556190491,0.6642246246337891,-0.28268963098526,BIN_3954014:35344:0.9469,BIN_8258031:35792:0.6642
BIN_4865561,42497,CWE-587,CWE-571,right_from_CWE-571,0.9561889171600342,0.6727964282035828,-0.2833924889564514,BIN_7656369:42498:0.9562,BIN_3851401:42487:0.6728
BIN_1606490,18994,CWE-190,CWE-188,right_from_CWE-188,0.9429062604904175,0.6470328569412231,-0.29587340354919434,BIN_5477929:18996:0.9429,BIN_3332501:18959:0.6470
BIN_8832271,37868,CWE-404,CWE-401,right_from_CWE-401,0.9723488092422485,0.6648920774459839,-0.30745673179626465,BIN_9531146:37870:0.9723,BIN_9388174:37724:0.6649
BIN_4184059,40994,CWE-464,CWE-459,right_from_CWE-459,0.9793118834495544,0.666912853717804,-0.3123990297317505,BIN_8543291:41009:0.9793,BIN_2074684:40992:0.6669
BIN_7613973,48169,CWE-758,CWE-690,right_from_CWE-690,0.9507209062576294,0.6365615725517273,-0.3141593337059021,BIN_3240352:48171:0.9507,BIN_7469780:47666:0.6366
BIN_2597033,7908,CWE-122,CWE-135,right_from_CWE-135,0.9986730813980103,0.6831958889961243,-0.315477192401886,BIN_3462454:7923:0.9987,BIN_6225494:7878:0.6832
BIN_6537894,41133,CWE-469,CWE-468,right_from_CWE-468,0.9953335523605347,0.66423499584198,-0.3310985565185547,BIN_1764225:41148:0.9953,BIN_3074339:41113:0.6642
BIN_8921984,35490,CWE-400,CWE-398,right_from_CWE-398,0.9990581274032593,0.6587516665458679,-0.34030646085739136,BIN_4737745:35505:0.9991,BIN_4514167:35320:0.6588
BIN_5091731,41570,CWE-478,CWE-479,left_to_CWE-479,0.9400647878646851,0.5981164574623108,-0.34194833040237427,BIN_1446375:41553:0.9401,BIN_5739603:41588:0.5981
BIN_8083459,41680,CWE-484,CWE-510,left_to_CWE-510,0.9408789277076721,0.5968539714813232,-0.3440249562263489,BIN_9717506:41663:0.9409,BIN_7027254:41743:0.5969
BIN_2150059,31012,CWE-242,CWE-023,right_from_CWE-023,0.9942308664321899,0.6384662389755249,-0.35576462745666504,BIN_1589058:31027:0.9942,BIN_5463401:29668:0.6385
BIN_5502682,41571,CWE-479,CWE-478,right_from_CWE-478,0.9547799229621887,0.5955414772033691,-0.3592384457588196,BIN_2443123:41573:0.9548,BIN_9880299:41569:0.5955
BIN_5474899,41589,CWE-480,CWE-479,right_from_CWE-479,0.9948486685752869,0.5508161783218384,-0.4440324902534485,BIN_5799337:41591:0.9948,BIN_2443123:41573:0.5508
BIN_8585579,46427,CWE-674,CWE-672,right_from_CWE-672,0.8537605404853821,0.3980230987071991,-0.455737441778183,BIN_1133206:46428:0.8538,BIN_3865997:46387:0.3980
BIN_4967771,41606,CWE-480,CWE-481,left_to_CWE-481,0.9920406341552734,0.5313829779624939,-0.46065765619277954,BIN_5588728:41604:0.9920,BIN_2746655:41622:0.5314
