split,binary_id,sid,label,cwe,entry_line,high_pc,var_lines,ptr_sig,struct_size_sig,member_sig,char_first_type,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,ins_preview
test,BIN_4577138,4919,1,CWE-126,31,213,36|50,structCharVoid:0|structCharVoid:0,structCharVoid:48|structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|33|37|39|41|42|43|44|61|51|53|55|56|57|58|61,213,48,8,2,9738fba5a6d2a98c,ff49a0dbd6aafabc,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:"
train,BIN_5186093,4920,1,CWE-126,31,107,36,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|33|37|39|41|42|43|44|47,107,28,4,1,af2c270baded3ce5,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:"
train,BIN_1874889,4921,1,CWE-121,31,107,36,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|33|37|39|41|42|43|44|47,107,28,4,1,af2c270baded3ce5,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:"
train,BIN_7462689,4922,1,CWE-121,31,94,37,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|38|40|42|43|44|45|47|53,94,25,4,0,d4ab082053de10b8,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:N mov:wordptr_[rbp-N],0 l"
train,BIN_2449103,4942,1,CWE-121,31,159,33|37,j:0|structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|34|38|40|42|43|44|45|34|48,159,36,3,2,5769a97ba1db465c,a9f7b4b8912ac808,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rax,[rbp-N] movabs:rdx,N movabs:rcx,N mov:qwordptr_"
test,BIN_2334733,4943,1,CWE-121,31,136,36,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|33|37|39|41|42|43|44|46,136,31,3,0,820b2e884a725b32,e4a844a82bf043d9,"push:rbp mov:rbp,rsp sub:rsp,N nop: lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rax,[rbp-N] movabs:rdx,N movabs:rcx,N mov:qwordptr_[rax],rdx mov:qwordptr_["
train,BIN_3741859,4944,1,CWE-126,30,150,33,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],31|33|34|35|37|39|40|41|42|43|45,150,38,7,1,94dfc6bbfbfe50f7,296a57376a31da14,"push:rbp mov:rbp,rsp sub:rsp,N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[rax+N],rdx mov:rax,qwordpt"
train,BIN_7606177,4963,1,CWE-126,30,172,35,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],31|35|36|37|39|41|42|43|44|47,172,39,5,1,a148355fccd403b5,a13ae6716c046214,"push:rbp mov:rbp,rsp sub:rsp,N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[rax+N],rdx mov:rax,qwordpt"
train,BIN_6440355,4965,1,CWE-126,36,185,41,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],37|38|41|42|43|45|47|48|49|50|53,185,42,5,2,b238daeca889549d,a13ae6716c046214,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,1 test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr"
test,BIN_4860053,4966,1,CWE-122,36,186,41,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],37|38|41|42|43|45|47|48|49|50|53,186,42,5,2,b238daeca889549d,a13ae6716c046214,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+"
train,BIN_2890346,4967,1,CWE-122,35,186,40,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],36|37|40|41|42|44|46|47|48|49|52,186,42,5,2,40c2c978bc685b67,a13ae6716c046214,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_["
train,BIN_3881198,10836,1,CWE-122,35,167,40,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],36|37|40|41|42|44|46|47|48|49|50|53,167,41,7,2,f16de7ab23b9d60a,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N]"
train,BIN_1752079,10837,1,CWE-126,43,165,48,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],44|45|48|49|50|52|54|55|56|57|58|61,165,41,8,2,c8cfd183c0297d3b,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[r"
test,BIN_1938615,10838,1,CWE-122,30,169,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|48,169,42,7,2,7165bcda995bc560,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordpt"
train,BIN_3056539,10839,1,CWE-122,30,169,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|48,169,42,7,2,7165bcda995bc560,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordpt"
train,BIN_2739460,10840,1,CWE-122,30,165,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|48,165,41,8,2,c8cfd183c0297d3b,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[r"
train,BIN_3080167,10841,1,CWE-122,30,307,35|51,structCharVoid:1|structCharVoid:1,structCharVoid:48|structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|64|51|52|53|55|57|58|59|60|61|64,307,73,15,4,66ebfdff80a2ffde,cef2e729949ac698,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N mov:ecx,N call:N mov:qwordptr_[rbp-N],rax cmp:qwordptr_[rbp-N],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-N] lea:rdx,[rip+N] mov:qwordptr_[r"
train,BIN_1054821,10842,1,CWE-122,30,170,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|48,170,42,7,2,d00602dbfef15121,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_"
train,BIN_5683592,10843,1,CWE-122,30,170,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|48,170,42,7,2,d00602dbfef15121,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_"
test,BIN_4942051,10844,1,CWE-126,30,153,36,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|36|37|38|40|42|43|44|45|46|48|54,153,39,7,1,f9d19439f12fc755,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[rax+N],rdx mov:rax,qwordpt"
train,BIN_2396068,10845,1,CWE-126,30,153,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|35|36|37|39|41|42|43|44|45|47|49,153,39,7,1,f9d19439f12fc755,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[rax+N],rdx mov:rax,qwordpt"
train,BIN_7458335,10846,1,CWE-122,30,179,32|36,j:0|structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|33|36|37|38|40|42|43|44|45|46|33|49,179,44,7,3,c1779d7829deb373,3040821e47970db4,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:ecx,N call:N mov:qwordptr_[rbp-N],rax cmp:qwordptr_[rbp-N],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-N] lea:rdx,[rip+N] mov:qwordpt"
train,BIN_1952368,10847,1,CWE-126,30,153,35,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],31|32|35|36|37|39|41|42|43|44|45|47,153,39,7,1,ba758718c4a94335,e6a954b82df6e9a2,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:ecx,N call:N mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp-8] lea:rdx,[rip+N] mov:qwordptr_[rax+N],rdx mov:rax,qw"
train,BIN_8866122,18991,1,CWE-188,17,43,29,unionStructLong:0,,,,18|30|33|34|36|38,43,15,1,0,49bc24a70b87b98e,55589614774fa86d,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N nop: nop: add:rsp,N pop:rbp ret:"
train,BIN_3097684,18992,1,CWE-188,17,62,19|30,j:0|unionStructLong:0,,,,18|20|31|34|35|20|38,62,20,1,2,410e37cf83ecde38,1cd023f1a5b4374e,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:dwordptr_[rbp-8],N movzx:eax,byteptr_[rbp-5] or:eax,N mov:byteptr_[rbp-5],al mov:eax,dwordptr_[rbp-8] mov:ecx,eax call:N add:dwordptr_[r"
test,BIN_1606490,18994,1,CWE-190,19,79,21|27,data:0|result:0,,,,20|22|24|27|28|30,79,23,3,0,8ac7a7a06b5105e0,833da4979cffd76a,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax,byteptr_[rbp-2] add"
train,BIN_5477929,18996,1,CWE-190,19,79,21|32,data:0|result:0,,,,20|22|26|32|33|36,79,23,3,0,8ac7a7a06b5105e0,833da4979cffd76a,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax,byteptr_[rbp-2] add"
train,BIN_2843151,18997,1,CWE-190,25,97,27|38,data:0|result:0,,,,26|28|29|32|34|38|39|42,97,29,3,2,6cae5c85382efc46,833da4979cffd76a,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:eax,1 test:eax,eax je:N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N m"
train,BIN_7712857,35091,1,CWE-377,37,128,42|43,filename:1|fileDesc:0,,,,38|39|44|45|47|49|51|52|54|55|58,128,35,6,2,a334ed062770313d,4e0032095b46ca69,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 jne:N mov:ecx,1 call:N mov:rax,qwordptr_[rbp-8] mov:rcx,rax call:N mov:r"
test,BIN_9273197,35092,1,CWE-390,-1,-1,,,,,,,259,77,15,4,c5533fca3e8ead07,7af90653fc9e0b4e,"push:rbp push:rsi push:rbx add:rsp,-N lea:rbp,[rsp+N] lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax nop: nop: lea:rcx,[rbp-N] lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8,rcx mov:rcx,rax call:N lea:rax,[rbp-N] m"
train,BIN_1223120,35093,1,CWE-390,-1,-1,,,,,,,259,77,15,4,c5533fca3e8ead07,7af90653fc9e0b4e,"push:rbp push:rsi push:rbx add:rsp,-N lea:rbp,[rsp+N] lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax nop: nop: lea:rcx,[rbp-N] lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8,rcx mov:rcx,rax call:N lea:rax,[rbp-N] m"
train,BIN_2938290,35095,1,CWE-390,-1,-1,,,,,,,259,77,15,4,c5533fca3e8ead07,7af90653fc9e0b4e,"push:rbp push:rsi push:rbx add:rsp,-N lea:rbp,[rsp+N] lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax nop: nop: lea:rcx,[rbp-N] lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8,rcx mov:rcx,rax call:N lea:rax,[rbp-N] m"
train,BIN_5033876,35234,1,CWE-391,19,105,21|25|26,j:0|bytesTranslated:0|charString:0,,,,20|22|25|27|28|30|31|22|34,105,27,3,2,c34a83b4671736b0,28ad1af7c1ff4e84,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:qwordptr_[rbp-N],0 mov:byteptr_[rbp-N],0 lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:N mov:qwordptr_[rbp-N],rax mov:rax,q"
train,BIN_6027412,35235,1,CWE-391,19,86,24|25,bytesTranslated:0|charString:0,,,,20|21|24|26|27|29|30|32,86,22,3,0,1380084431a5ed1a,d70bcda95e9dd81a,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:qwordptr_[rbp-8],0 mov:byteptr_[rbp-N],0 lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:N mov:qwordptr_[rbp-8],rax mov:rax,qwordptr_[rbp-8] mov:ecx,"
test,BIN_7681509,35236,1,CWE-396,-1,-1,,,,,,,273,75,16,6,568e477cc98e23e4,1f0d51ef714b04de,"push:rbp push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov:rcx,rbx call:N mov:rdx,qwordptr_["
train,BIN_1541420,35238,1,CWE-396,-1,-1,,,,,,,273,75,16,6,568e477cc98e23e4,1f0d51ef714b04de,"push:rbp push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov:rcx,rbx call:N mov:rdx,qwordptr_["
train,BIN_3501205,35239,1,CWE-396,-1,-1,,,,,,,273,75,16,6,568e477cc98e23e4,1f0d51ef714b04de,"push:rbp push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov:rcx,rbx call:N mov:rdx,qwordptr_["
train,BIN_7608591,35286,1,CWE-396,-1,-1,,,,,,,368,102,22,9,90400c2b11a6354b,2a53e4541da82976,"push:rbp push:rdi push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov:rcx,rbx call:N mov:rdx,q"
test,BIN_7190407,35289,1,CWE-396,-1,-1,,,,,,,369,103,22,9,7d0f93cf7a3036ec,2a53e4541da82976,"push:rbp push:rdi push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] nop: call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov:rcx,rbx call:N mov:"
train,BIN_4451059,35291,1,CWE-397,-1,-1,,,,,,,61,16,3,0,4b0575d8873fffb2,1f0d51ef714b04de,"push:rbp push:rbx sub:rsp,N lea:rbp,[rsp+N] mov:ecx,8 call:N mov:rbx,rax mov:rcx,rbx call:N mov:rdx,qwordptr_[rip+N] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax mov:rcx,rbx call:N nop:"
train,BIN_2651530,40991,1,CWE-459,28,157,33|34|35,filename:1|tmpl:0|pFile:1,pFile:8,_Placeholder@0:*void,,29|34|37|38|40|41|43|44|49|51,157,38,4,2,f32ee636ec4af8b7,49b26f9a0d3d0a04,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N movabs:rdx,N mov:qwordptr_[rbp-N],rax mov:qwordptr_[rbp-N],rdx mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:qwor"
