binary_id,sid,train_cwe,entry_line,high_pc,vars
BIN_2254329,525,,31,215,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void|structCharVoid@L50:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2693860,526,CWE-121,31,139,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_8299834,527,CWE-126,31,139,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2813467,4912,CWE-121,37,103,structCharVoid@L42:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1812963,4913,,36,103,structCharVoid@L41:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_8892575,4914,CWE-126,36,104,structCharVoid@L41:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_3772631,4915,CWE-126,44,102,structCharVoid@L49:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1455492,4916,,31,106,structCharVoid@L36:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_8878834,4918,CWE-121,31,102,structCharVoid@L36:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_2449103,4942,CWE-121,31,159,j@L33:ptr0:S4:|structCharVoid@L37:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_2334733,4943,,31,136,structCharVoid@L36:ptr0:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_3741859,4944,CWE-126,30,150,structCharVoid@L33:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_9870703,4960,CWE-122,30,177,j@L32:ptr0:S4:|structCharVoid@L36:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_6244783,4961,,30,151,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_7606177,4963,CWE-126,30,172,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_6440355,4965,CWE-126,36,185,structCharVoid@L41:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4860053,4966,,36,186,structCharVoid@L41:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2890346,4967,CWE-122,35,186,structCharVoid@L40:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_8227758,4968,,35,187,structCharVoid@L40:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2902601,4969,,43,185,structCharVoid@L48:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4615687,4970,,30,189,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2308106,4975,CWE-126,30,190,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4485257,4976,CWE-122,30,173,structCharVoid@L36:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4280528,4977,,30,173,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_6493055,4978,CWE-126,30,199,j@L32:ptr0:S4:|structCharVoid@L36:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_3277066,4979,CWE-122,30,173,structCharVoid@L35:ptr1:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4188820,10832,CWE-122,30,152,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_9832796,10833,CWE-126,36,165,structCharVoid@L41:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_4198219,10834,,36,166,structCharVoid@L41:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_3881198,10836,CWE-122,35,167,structCharVoid@L40:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1752079,10837,CWE-126,43,165,structCharVoid@L48:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1938615,10838,,30,169,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_3056539,10839,CWE-122,30,169,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_2739460,10840,CWE-122,30,165,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1054821,10842,CWE-122,30,170,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_5683592,10843,CWE-122,30,170,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_4942051,10844,,30,153,structCharVoid@L36:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_2396068,10845,CWE-126,30,153,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_7458335,10846,CWE-122,30,179,j@L32:ptr0:S4:|structCharVoid@L36:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1091477,10848,CWE-126,30,182,structCharVoid@L33:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_9335771,10850,,30,182,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_8437590,10851,CWE-122,36,195,structCharVoid@L41:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_5261044,10852,CWE-122,36,196,structCharVoid@L41:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_1260116,10854,CWE-122,35,197,structCharVoid@L40:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_4025173,10855,,43,195,structCharVoid@L48:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
BIN_4377584,10857,CWE-126,30,199,structCharVoid@L35:ptr1:S48:charFirst@0:short unsigned int[16];voidSecond@32:*void;voidThird@40:*void
