fold,binary_id,sid,true,old,new,dist,body_pred,struct_pred
2,BIN_1141382,5331,CWE-122,CWE-122,CWE-121,604,CWE-121,CWE-121
2,BIN_1144420,6014,CWE-122,CWE-122,CWE-121,1287,CWE-122,CWE-126
2,BIN_1147753,5004,CWE-122,CWE-122,CWE-121,277,CWE-126,CWE-121
2,BIN_1178984,5700,CWE-122,CWE-122,CWE-121,973,CWE-122,CWE-121
2,BIN_1199158,5470,CWE-122,CWE-122,CWE-121,743,CWE-122,CWE-121
2,BIN_1226539,5580,CWE-122,CWE-122,CWE-121,853,CWE-122,CWE-126
2,BIN_1228284,6282,CWE-122,CWE-122,CWE-121,1555,CWE-121,CWE-121
2,BIN_1233196,5667,CWE-122,CWE-122,CWE-121,940,CWE-122,CWE-121
2,BIN_1267824,6039,CWE-122,CWE-122,CWE-121,1312,CWE-121,CWE-121
2,BIN_1285560,6350,CWE-122,CWE-122,CWE-121,1623,CWE-121,CWE-121
2,BIN_1294524,6916,CWE-122,CWE-122,CWE-121,2189,CWE-122,CWE-121
2,BIN_1322804,6773,CWE-122,CWE-122,CWE-121,2046,CWE-122,CWE-121
2,BIN_1334840,5630,CWE-122,CWE-122,CWE-121,903,CWE-122,CWE-121
2,BIN_1335782,6338,CWE-122,CWE-122,CWE-121,1611,CWE-121,CWE-121
2,BIN_1345022,5723,CWE-122,CWE-122,CWE-121,996,CWE-121,CWE-121
2,BIN_1350709,6430,CWE-122,CWE-122,CWE-121,1703,CWE-121,CWE-121
2,BIN_1364799,7148,CWE-122,CWE-122,CWE-121,2421,CWE-122,CWE-121
2,BIN_1371198,6342,CWE-122,CWE-122,CWE-121,1615,CWE-121,CWE-121
2,BIN_1381583,5275,CWE-122,CWE-122,CWE-121,548,CWE-122,CWE-121
2,BIN_1390376,5290,CWE-122,CWE-122,CWE-121,563,CWE-122,CWE-121
2,BIN_1409168,6962,CWE-122,CWE-122,CWE-121,2235,CWE-122,CWE-121
2,BIN_1410677,5708,CWE-122,CWE-122,CWE-121,981,CWE-122,CWE-121
2,BIN_1431795,6333,CWE-122,CWE-122,CWE-121,1606,CWE-121,CWE-121
2,BIN_1435755,5748,CWE-122,CWE-122,CWE-121,1021,CWE-121,CWE-121
2,BIN_1443758,7104,CWE-122,CWE-122,CWE-121,2377,CWE-122,CWE-121
2,BIN_1448895,6860,CWE-122,CWE-122,CWE-121,2133,CWE-122,CWE-121
2,BIN_1454836,5150,CWE-122,CWE-122,CWE-121,423,CWE-121,CWE-121
2,BIN_1455038,6183,CWE-122,CWE-122,CWE-121,1456,CWE-121,CWE-121
2,BIN_1491791,5002,CWE-122,CWE-122,CWE-121,275,CWE-126,CWE-126
2,BIN_1494655,4990,CWE-122,CWE-122,CWE-121,263,CWE-126,CWE-126
2,BIN_1501132,6592,CWE-122,CWE-122,CWE-121,1865,CWE-122,CWE-121
2,BIN_1524469,5808,CWE-122,CWE-122,CWE-121,1081,CWE-121,CWE-121
2,BIN_1536960,5796,CWE-122,CWE-122,CWE-121,1069,CWE-121,CWE-121
2,BIN_1548056,5858,CWE-122,CWE-122,CWE-121,1131,CWE-122,CWE-121
2,BIN_1549443,7097,CWE-122,CWE-122,CWE-121,2370,CWE-122,CWE-121
2,BIN_1555350,4925,CWE-126,CWE-126,CWE-121,198,CWE-121,CWE-126
2,BIN_1567335,5294,CWE-122,CWE-122,CWE-121,567,CWE-122,CWE-121
2,BIN_1568148,6976,CWE-122,CWE-122,CWE-121,2249,CWE-122,CWE-126
2,BIN_1581477,6709,CWE-122,CWE-122,CWE-121,1982,CWE-126,CWE-121
2,BIN_1590552,5078,CWE-122,CWE-122,CWE-121,351,CWE-126,CWE-121
2,BIN_1596632,5754,CWE-122,CWE-122,CWE-121,1027,CWE-121,CWE-121
2,BIN_1611957,5992,CWE-122,CWE-122,CWE-121,1265,CWE-122,CWE-121
2,BIN_1620925,5814,CWE-122,CWE-122,CWE-121,1087,CWE-121,CWE-121
2,BIN_1649295,5994,CWE-122,CWE-122,CWE-121,1267,CWE-122,CWE-121
2,BIN_1658643,6013,CWE-122,CWE-122,CWE-121,1286,CWE-122,CWE-121
2,BIN_1668725,6812,CWE-122,CWE-122,CWE-121,2085,CWE-122,CWE-121
2,BIN_1677536,5053,CWE-122,CWE-122,CWE-121,326,CWE-121,CWE-121
2,BIN_1683774,7092,CWE-122,CWE-122,CWE-121,2365,CWE-122,CWE-121
2,BIN_1693371,6040,CWE-122,CWE-122,CWE-121,1313,CWE-121,CWE-121
2,BIN_1714399,5034,CWE-122,CWE-122,CWE-121,307,CWE-126,CWE-121
2,BIN_1730279,5339,CWE-122,CWE-122,CWE-121,612,CWE-121,CWE-121
2,BIN_1734505,5248,CWE-122,CWE-122,CWE-121,521,CWE-126,CWE-121
2,BIN_1744211,6332,CWE-122,CWE-122,CWE-121,1605,CWE-121,CWE-121
2,BIN_1749583,6714,CWE-122,CWE-122,CWE-121,1987,CWE-126,CWE-121
2,BIN_1764065,5524,CWE-122,CWE-122,CWE-121,797,CWE-121,CWE-121
2,BIN_1799704,6925,CWE-122,CWE-122,CWE-121,2198,CWE-122,CWE-121
2,BIN_1803923,5338,CWE-122,CWE-122,CWE-121,611,CWE-121,CWE-121
2,BIN_1807451,5868,CWE-122,CWE-122,CWE-121,1141,CWE-122,CWE-121
2,BIN_1820726,6762,CWE-122,CWE-122,CWE-121,2035,CWE-122,CWE-121
2,BIN_1834468,6784,CWE-122,CWE-122,CWE-121,2057,CWE-122,CWE-126
2,BIN_1853292,7199,CWE-122,CWE-122,CWE-121,2472,CWE-122,CWE-121
2,BIN_1866659,6135,CWE-122,CWE-122,CWE-121,1408,CWE-121,CWE-121
2,BIN_1869027,6010,CWE-122,CWE-122,CWE-121,1283,CWE-121,CWE-121
2,BIN_1879044,6301,CWE-122,CWE-122,CWE-121,1574,CWE-121,CWE-121
2,BIN_1894173,5948,CWE-122,CWE-122,CWE-121,1221,CWE-122,CWE-121
2,BIN_1910762,6056,CWE-122,CWE-122,CWE-121,1329,CWE-121,CWE-121
2,BIN_1933063,7117,CWE-122,CWE-122,CWE-121,2390,CWE-122,CWE-121
2,BIN_1934033,6900,CWE-122,CWE-122,CWE-121,2173,CWE-122,CWE-121
2,BIN_1942771,5099,CWE-122,CWE-122,CWE-121,372,CWE-126,CWE-121
2,BIN_1945579,6108,CWE-122,CWE-122,CWE-121,1381,CWE-122,CWE-126
2,BIN_1956589,5237,CWE-122,CWE-122,CWE-121,510,CWE-126,CWE-121
2,BIN_1966184,6483,CWE-122,CWE-122,CWE-121,1756,CWE-126,CWE-121
2,BIN_1981948,6964,CWE-122,CWE-122,CWE-121,2237,CWE-122,CWE-121
2,BIN_1998060,6974,CWE-122,CWE-122,CWE-121,2247,CWE-122,CWE-121
2,BIN_2001343,6949,CWE-122,CWE-122,CWE-121,2222,CWE-122,CWE-121
2,BIN_2003951,5715,CWE-122,CWE-122,CWE-121,988,CWE-122,CWE-121
2,BIN_2036373,5140,CWE-122,CWE-122,CWE-121,413,CWE-126,CWE-121
2,BIN_2059093,5003,CWE-122,CWE-122,CWE-121,276,CWE-126,CWE-126
2,BIN_2066435,6569,CWE-122,CWE-122,CWE-121,1842,CWE-126,CWE-121
2,BIN_2069473,6622,CWE-122,CWE-122,CWE-121,1895,CWE-126,CWE-121
2,BIN_2069883,5422,CWE-122,CWE-122,CWE-121,695,CWE-122,CWE-121
2,BIN_2073575,4955,CWE-122,CWE-122,CWE-121,228,CWE-122,CWE-122
2,BIN_2110203,6185,CWE-122,CWE-122,CWE-121,1458,CWE-121,CWE-121
2,BIN_2111672,6680,CWE-122,CWE-122,CWE-121,1953,CWE-126,CWE-121
2,BIN_2114752,6768,CWE-122,CWE-122,CWE-121,2041,CWE-122,CWE-121
2,BIN_2118506,6640,CWE-122,CWE-122,CWE-121,1913,CWE-122,CWE-121
2,BIN_2158139,5327,CWE-122,CWE-122,CWE-121,600,CWE-121,CWE-121
2,BIN_2176461,6051,CWE-122,CWE-122,CWE-121,1324,CWE-121,CWE-121
2,BIN_2178000,6485,CWE-122,CWE-122,CWE-121,1758,CWE-126,CWE-121
2,BIN_2191638,6577,CWE-122,CWE-122,CWE-121,1850,CWE-126,CWE-121
2,BIN_2197970,5749,CWE-122,CWE-122,CWE-121,1022,CWE-121,CWE-121
2,BIN_2212345,5805,CWE-122,CWE-122,CWE-121,1078,CWE-121,CWE-121
2,BIN_2277109,5152,CWE-122,CWE-122,CWE-121,425,CWE-126,CWE-121
2,BIN_2283793,6670,CWE-122,CWE-122,CWE-121,1943,CWE-126,CWE-121
2,BIN_2306383,5769,CWE-122,CWE-122,CWE-121,1042,CWE-121,CWE-121
2,BIN_2308106,4975,CWE-126,CWE-126,CWE-121,248,CWE-122,CWE-122
2,BIN_2317564,4954,CWE-126,CWE-126,CWE-121,227,CWE-122,CWE-122
2,BIN_2325008,5770,CWE-122,CWE-122,CWE-121,1043,CWE-121,CWE-121
2,BIN_2327080,6998,CWE-122,CWE-122,CWE-121,2271,CWE-122,CWE-121
2,BIN_2339225,5668,CWE-122,CWE-122,CWE-121,941,CWE-121,CWE-121
2,BIN_2356911,6303,CWE-122,CWE-122,CWE-121,1576,CWE-126,CWE-121
2,BIN_2357173,5853,CWE-122,CWE-122,CWE-121,1126,CWE-122,CWE-121
2,BIN_2360461,5415,CWE-122,CWE-122,CWE-121,688,CWE-122,CWE-121
2,BIN_2366858,5007,CWE-122,CWE-122,CWE-121,280,CWE-126,CWE-121
2,BIN_2367216,6637,CWE-122,CWE-122,CWE-121,1910,CWE-126,CWE-126
2,BIN_2389950,7209,CWE-122,CWE-122,CWE-121,2482,CWE-121,CWE-121
2,BIN_2429904,7206,CWE-122,CWE-122,CWE-121,2479,CWE-122,CWE-121
2,BIN_2465593,7151,CWE-122,CWE-122,CWE-121,2424,CWE-122,CWE-121
2,BIN_2465627,6101,CWE-122,CWE-122,CWE-121,1374,CWE-121,CWE-121
2,BIN_2492772,5802,CWE-122,CWE-122,CWE-121,1075,CWE-121,CWE-121
2,BIN_2495138,6675,CWE-122,CWE-122,CWE-121,1948,CWE-126,CWE-121
2,BIN_2495516,5189,CWE-122,CWE-122,CWE-121,462,CWE-126,CWE-126
2,BIN_2513058,6476,CWE-122,CWE-122,CWE-121,1749,CWE-126,CWE-121
2,BIN_2516403,5677,CWE-122,CWE-122,CWE-121,950,CWE-122,CWE-121
2,BIN_2517589,5525,CWE-122,CWE-122,CWE-121,798,CWE-122,CWE-121
2,BIN_2518872,5418,CWE-122,CWE-122,CWE-121,691,CWE-122,CWE-121
2,BIN_2531858,7145,CWE-122,CWE-122,CWE-121,2418,CWE-122,CWE-121
2,BIN_2586497,5182,CWE-122,CWE-122,CWE-121,455,CWE-126,CWE-126
2,BIN_2586737,6195,CWE-122,CWE-122,CWE-121,1468,CWE-121,CWE-121
2,BIN_2612370,7093,CWE-122,CWE-122,CWE-121,2366,CWE-122,CWE-121
2,BIN_2619366,5953,CWE-122,CWE-122,CWE-121,1226,CWE-122,CWE-121
2,BIN_2634328,5270,CWE-122,CWE-122,CWE-121,543,CWE-122,CWE-121
2,BIN_2642266,5867,CWE-122,CWE-122,CWE-121,1140,CWE-121,CWE-121
2,BIN_2643118,5773,CWE-122,CWE-122,CWE-121,1046,CWE-121,CWE-121
2,BIN_2671974,6375,CWE-122,CWE-122,CWE-121,1648,CWE-121,CWE-121
2,BIN_2701287,5857,CWE-122,CWE-122,CWE-121,1130,CWE-122,CWE-121
2,BIN_2704166,6662,CWE-122,CWE-122,CWE-121,1935,CWE-126,CWE-121
2,BIN_2705331,6054,CWE-122,CWE-122,CWE-121,1327,CWE-121,CWE-121
2,BIN_2706866,5625,CWE-122,CWE-122,CWE-121,898,CWE-121,CWE-121
2,BIN_2711275,5535,CWE-122,CWE-122,CWE-121,808,CWE-126,CWE-121
2,BIN_2741125,5376,CWE-122,CWE-122,CWE-121,649,CWE-122,CWE-121
2,BIN_2742106,7070,CWE-122,CWE-122,CWE-121,2343,CWE-121,CWE-121
2,BIN_2752525,5854,CWE-122,CWE-122,CWE-121,1127,CWE-122,CWE-121
2,BIN_2753060,5574,CWE-122,CWE-122,CWE-121,847,CWE-121,CWE-121
2,BIN_2758777,5956,CWE-122,CWE-122,CWE-121,1229,CWE-121,CWE-121
2,BIN_2773902,6382,CWE-122,CWE-122,CWE-121,1655,CWE-121,CWE-121
2,BIN_2777182,5661,CWE-122,CWE-122,CWE-121,934,CWE-122,CWE-121
2,BIN_2811640,6674,CWE-122,CWE-122,CWE-121,1947,CWE-126,CWE-121
2,BIN_2812389,5570,CWE-122,CWE-122,CWE-121,843,CWE-121,CWE-121
2,BIN_2827558,6495,CWE-122,CWE-122,CWE-121,1768,CWE-126,CWE-121
2,BIN_2841800,5523,CWE-122,CWE-122,CWE-121,796,CWE-122,CWE-121
2,BIN_2863604,5915,CWE-122,CWE-122,CWE-121,1188,CWE-121,CWE-121
2,BIN_2871693,5130,CWE-122,CWE-122,CWE-121,403,CWE-126,CWE-121
2,BIN_2886650,6712,CWE-122,CWE-122,CWE-121,1985,CWE-126,CWE-121
2,BIN_2890346,4967,CWE-122,CWE-122,CWE-121,240,CWE-122,CWE-122
2,BIN_2891149,7216,CWE-122,CWE-122,CWE-121,2489,CWE-122,CWE-126
2,BIN_2909581,6969,CWE-122,CWE-122,CWE-121,2242,CWE-122,CWE-121
2,BIN_2926315,5560,CWE-122,CWE-122,CWE-121,833,CWE-121,CWE-121
2,BIN_2936408,5370,CWE-122,CWE-122,CWE-121,643,CWE-122,CWE-121
2,BIN_2949104,6482,CWE-122,CWE-122,CWE-121,1755,CWE-126,CWE-121
2,BIN_2993958,6725,CWE-122,CWE-122,CWE-121,1998,CWE-126,CWE-121
2,BIN_3002619,5894,CWE-122,CWE-122,CWE-121,1167,CWE-122,CWE-121
2,BIN_3012468,5037,CWE-122,CWE-122,CWE-121,310,CWE-126,CWE-121
2,BIN_3013191,6829,CWE-122,CWE-122,CWE-121,2102,CWE-122,CWE-121
2,BIN_3015630,5178,CWE-122,CWE-122,CWE-121,451,CWE-126,CWE-126
2,BIN_3018078,7000,CWE-122,CWE-122,CWE-121,2273,CWE-122,CWE-121
2,BIN_3033706,6153,CWE-122,CWE-122,CWE-121,1426,CWE-121,CWE-121
2,BIN_3047927,5274,CWE-122,CWE-122,CWE-121,547,CWE-122,CWE-121
2,BIN_3057542,5273,CWE-122,CWE-122,CWE-121,546,CWE-122,CWE-121
2,BIN_3067531,5509,CWE-122,CWE-122,CWE-121,782,CWE-122,CWE-121
2,BIN_3073305,6971,CWE-122,CWE-122,CWE-121,2244,CWE-122,CWE-121
2,BIN_3097698,6858,CWE-122,CWE-122,CWE-121,2131,CWE-122,CWE-121
2,BIN_3101393,5864,CWE-122,CWE-122,CWE-121,1137,CWE-121,CWE-121
2,BIN_3101461,6044,CWE-122,CWE-122,CWE-121,1317,CWE-121,CWE-121
2,BIN_3104038,5674,CWE-122,CWE-122,CWE-121,947,CWE-122,CWE-121
2,BIN_3129690,6810,CWE-122,CWE-122,CWE-121,2083,CWE-122,CWE-121
2,BIN_3148000,5818,CWE-122,CWE-122,CWE-121,1091,CWE-121,CWE-121
2,BIN_3155265,4948,CWE-126,CWE-126,CWE-121,221,CWE-122,CWE-122
2,BIN_3163724,5033,CWE-122,CWE-122,CWE-121,306,CWE-126,CWE-121
2,BIN_3164615,6388,CWE-122,CWE-122,CWE-121,1661,CWE-121,CWE-121
2,BIN_3185813,5041,CWE-122,CWE-122,CWE-121,314,CWE-126,CWE-121
2,BIN_3196572,5960,CWE-122,CWE-122,CWE-121,1233,CWE-121,CWE-121
2,BIN_3205541,5852,CWE-122,CWE-122,CWE-121,1125,CWE-122,CWE-121
2,BIN_3235485,6628,CWE-122,CWE-122,CWE-121,1901,CWE-126,CWE-121
2,BIN_3238667,5436,CWE-122,CWE-122,CWE-121,709,CWE-122,CWE-126
2,BIN_3242294,5390,CWE-122,CWE-122,CWE-121,663,CWE-122,CWE-121
2,BIN_3243416,6615,CWE-122,CWE-122,CWE-121,1888,CWE-126,CWE-121
2,BIN_3252892,6853,CWE-122,CWE-122,CWE-121,2126,CWE-122,CWE-121
2,BIN_3252988,6571,CWE-122,CWE-122,CWE-121,1844,CWE-126,CWE-121
2,BIN_3254462,6399,CWE-122,CWE-122,CWE-121,1672,CWE-126,CWE-121
2,BIN_3262607,6285,CWE-122,CWE-122,CWE-121,1558,CWE-121,CWE-121
2,BIN_3277066,4979,CWE-122,CWE-122,CWE-121,252,CWE-126,CWE-126
2,BIN_3294095,5377,CWE-122,CWE-122,CWE-121,650,CWE-122,CWE-121
2,BIN_3294476,5328,CWE-122,CWE-122,CWE-121,601,CWE-121,CWE-121
2,BIN_3295339,6281,CWE-122,CWE-122,CWE-121,1554,CWE-121,CWE-121
2,BIN_3327546,5871,CWE-122,CWE-122,CWE-121,1144,CWE-126,CWE-121
2,BIN_3332500,6302,CWE-122,CWE-122,CWE-121,1575,CWE-121,CWE-121
2,BIN_3333959,7053,CWE-122,CWE-122,CWE-121,2326,CWE-121,CWE-121
2,BIN_3347258,5474,CWE-122,CWE-122,CWE-121,747,CWE-122,CWE-121
2,BIN_3351929,5813,CWE-122,CWE-122,CWE-121,1086,CWE-121,CWE-121
2,BIN_3364127,5296,CWE-122,CWE-122,CWE-121,569,CWE-122,CWE-126
2,BIN_3372387,7107,CWE-122,CWE-122,CWE-121,2380,CWE-122,CWE-121
2,BIN_3387246,6624,CWE-122,CWE-122,CWE-121,1897,CWE-126,CWE-121
2,BIN_3394259,6193,CWE-122,CWE-122,CWE-121,1466,CWE-121,CWE-121
2,BIN_3416280,6150,CWE-122,CWE-122,CWE-121,1423,CWE-121,CWE-121
2,BIN_3424554,7055,CWE-122,CWE-122,CWE-121,2328,CWE-121,CWE-121
2,BIN_3446980,6625,CWE-122,CWE-122,CWE-121,1898,CWE-126,CWE-121
2,BIN_3451962,6093,CWE-122,CWE-122,CWE-121,1366,CWE-121,CWE-121
2,BIN_3465977,6228,CWE-122,CWE-122,CWE-121,1501,CWE-121,CWE-121
2,BIN_3480476,6926,CWE-122,CWE-122,CWE-121,2199,CWE-122,CWE-121
2,BIN_3485855,4958,CWE-122,CWE-122,CWE-121,231,CWE-122,CWE-122
2,BIN_3503754,6245,CWE-122,CWE-122,CWE-121,1518,CWE-121,CWE-121
2,BIN_3520362,5200,CWE-122,CWE-122,CWE-121,473,CWE-126,CWE-126
2,BIN_3542991,7064,CWE-122,CWE-122,CWE-121,2337,CWE-121,CWE-121
2,BIN_3546650,4998,CWE-122,CWE-122,CWE-121,271,CWE-126,CWE-121
2,BIN_3579849,5054,CWE-122,CWE-122,CWE-121,327,CWE-121,CWE-121
2,BIN_3583981,5510,CWE-122,CWE-122,CWE-121,783,CWE-122,CWE-121
2,BIN_3584712,5193,CWE-122,CWE-122,CWE-121,466,CWE-121,CWE-126
2,BIN_3603819,6733,CWE-122,CWE-122,CWE-121,2006,CWE-126,CWE-121
2,BIN_3609878,6677,CWE-122,CWE-122,CWE-121,1950,CWE-126,CWE-121
2,BIN_3614675,6379,CWE-122,CWE-122,CWE-121,1652,CWE-121,CWE-121
2,BIN_3627551,6486,CWE-122,CWE-122,CWE-121,1759,CWE-126,CWE-121
2,BIN_3628172,6915,CWE-122,CWE-122,CWE-121,2188,CWE-122,CWE-121
2,BIN_3641473,5378,CWE-122,CWE-122,CWE-121,651,CWE-122,CWE-121
2,BIN_3667325,6621,CWE-122,CWE-122,CWE-121,1894,CWE-126,CWE-121
2,BIN_3670623,6280,CWE-122,CWE-122,CWE-121,1553,CWE-121,CWE-121
2,BIN_3672596,6005,CWE-122,CWE-122,CWE-121,1278,CWE-122,CWE-121
2,BIN_3679602,7049,CWE-122,CWE-122,CWE-121,2322,CWE-121,CWE-121
2,BIN_3696882,6713,CWE-122,CWE-122,CWE-121,1986,CWE-126,CWE-121
2,BIN_3699690,6429,CWE-122,CWE-122,CWE-121,1702,CWE-121,CWE-121
2,BIN_3703700,5097,CWE-122,CWE-122,CWE-121,370,CWE-121,CWE-121
2,BIN_3712224,6922,CWE-122,CWE-122,CWE-121,2195,CWE-122,CWE-121
2,BIN_3714608,5618,CWE-122,CWE-122,CWE-121,891,CWE-122,CWE-121
2,BIN_3724702,5564,CWE-122,CWE-122,CWE-121,837,CWE-121,CWE-121
2,BIN_3741859,4944,CWE-126,CWE-126,CWE-121,217,CWE-122,CWE-122
2,BIN_3757806,5718,CWE-122,CWE-122,CWE-121,991,CWE-122,CWE-121
2,BIN_3758294,6820,CWE-122,CWE-122,CWE-121,2093,CWE-122,CWE-121
2,BIN_3764403,5044,CWE-122,CWE-122,CWE-121,317,CWE-121,CWE-121
2,BIN_3772631,4915,CWE-126,CWE-126,CWE-121,188,CWE-121,CWE-126
2,BIN_3786510,5534,CWE-122,CWE-122,CWE-121,807,CWE-122,CWE-121
2,BIN_3811303,6635,CWE-122,CWE-122,CWE-121,1908,CWE-126,CWE-121
2,BIN_3812170,7017,CWE-122,CWE-122,CWE-121,2290,CWE-122,CWE-121
2,BIN_3813823,6806,CWE-122,CWE-122,CWE-121,2079,CWE-122,CWE-121
2,BIN_3830335,6293,CWE-122,CWE-122,CWE-121,1566,CWE-121,CWE-121
2,BIN_3854160,5092,CWE-122,CWE-122,CWE-121,365,CWE-126,CWE-121
2,BIN_3860426,5244,CWE-122,CWE-122,CWE-121,517,CWE-126,CWE-126
2,BIN_3862175,6524,CWE-122,CWE-122,CWE-121,1797,CWE-126,CWE-121
2,BIN_3866169,7096,CWE-122,CWE-122,CWE-121,2369,CWE-122,CWE-121
2,BIN_3873280,5187,CWE-122,CWE-122,CWE-121,460,CWE-126,CWE-126
2,BIN_3878738,6344,CWE-122,CWE-122,CWE-121,1617,CWE-121,CWE-121
2,BIN_3878802,6711,CWE-122,CWE-122,CWE-121,1984,CWE-126,CWE-121
2,BIN_3896932,6154,CWE-122,CWE-122,CWE-121,1427,CWE-121,CWE-121
2,BIN_3926681,6086,CWE-122,CWE-122,CWE-121,1359,CWE-121,CWE-121
2,BIN_3942402,6814,CWE-122,CWE-122,CWE-121,2087,CWE-122,CWE-121
2,BIN_3968945,7193,CWE-122,CWE-122,CWE-121,2466,CWE-122,CWE-121
2,BIN_3988158,5186,CWE-122,CWE-122,CWE-121,459,CWE-126,CWE-126
2,BIN_4000716,6907,CWE-122,CWE-122,CWE-121,2180,CWE-122,CWE-121
2,BIN_4015146,5845,CWE-122,CWE-122,CWE-121,1118,CWE-122,CWE-121
2,BIN_4017574,5051,CWE-122,CWE-122,CWE-121,324,CWE-126,CWE-121
2,BIN_4021901,6590,CWE-122,CWE-122,CWE-121,1863,CWE-126,CWE-121
2,BIN_4031455,6869,CWE-122,CWE-122,CWE-121,2142,CWE-122,CWE-121
2,BIN_4032433,6613,CWE-122,CWE-122,CWE-121,1886,CWE-126,CWE-121
2,BIN_4063814,6570,CWE-122,CWE-122,CWE-121,1843,CWE-126,CWE-121
2,BIN_4100816,6718,CWE-122,CWE-122,CWE-121,1991,CWE-126,CWE-121
2,BIN_4124799,6094,CWE-122,CWE-122,CWE-121,1367,CWE-121,CWE-121
2,BIN_4141033,6090,CWE-122,CWE-122,CWE-121,1363,CWE-121,CWE-121
2,BIN_4155341,6335,CWE-122,CWE-122,CWE-121,1608,CWE-121,CWE-121
2,BIN_4160634,6523,CWE-122,CWE-122,CWE-121,1796,CWE-126,CWE-121
2,BIN_4162446,5468,CWE-122,CWE-122,CWE-121,741,CWE-122,CWE-121
2,BIN_4170058,6867,CWE-122,CWE-122,CWE-121,2140,CWE-122,CWE-121
2,BIN_4213355,5320,CWE-122,CWE-122,CWE-121,593,CWE-121,CWE-121
2,BIN_4220692,6518,CWE-122,CWE-122,CWE-121,1791,CWE-126,CWE-121
2,BIN_4225866,7118,CWE-122,CWE-122,CWE-121,2391,CWE-122,CWE-121
2,BIN_4230228,6062,CWE-122,CWE-122,CWE-121,1335,CWE-121,CWE-121
2,BIN_4230450,5526,CWE-122,CWE-122,CWE-121,799,CWE-122,CWE-121
2,BIN_4251166,5466,CWE-122,CWE-122,CWE-121,739,CWE-122,CWE-121
2,BIN_4261644,5005,CWE-122,CWE-122,CWE-121,278,CWE-121,CWE-121
2,BIN_4274515,6880,CWE-122,CWE-122,CWE-121,2153,CWE-122,CWE-126
2,BIN_4288050,5995,CWE-122,CWE-122,CWE-121,1268,CWE-122,CWE-121
2,BIN_4288433,5605,CWE-122,CWE-122,CWE-121,878,CWE-122,CWE-121
2,BIN_4292121,5277,CWE-122,CWE-122,CWE-121,550,CWE-122,CWE-121
2,BIN_4311542,6526,CWE-122,CWE-122,CWE-121,1799,CWE-126,CWE-121
2,BIN_4311758,5819,CWE-122,CWE-122,CWE-121,1092,CWE-121,CWE-121
2,BIN_4311999,5226,CWE-122,CWE-122,CWE-121,499,CWE-126,CWE-121
2,BIN_4319209,6723,CWE-122,CWE-122,CWE-121,1996,CWE-126,CWE-121
2,BIN_4319398,7005,CWE-122,CWE-122,CWE-121,2278,CWE-122,CWE-121
2,BIN_4335815,5652,CWE-122,CWE-122,CWE-121,925,CWE-122,CWE-121
2,BIN_4378784,6543,CWE-122,CWE-122,CWE-121,1816,CWE-126,CWE-121
